,demand
0,4029.0
1,4002.0
2,3966.0
3,3945.0
4,3955.0
5,3900.0
6,3846.0
7,3766.0
8,3694.0
9,3639.0
10,3571.0
11,3525.0
12,3478.0
13,3433.0
14,3399.0
15,3362.0
16,3355.0
17,3359.0
18,3354.0
19,3375.0
20,3382.0
21,3375.0
22,3383.0
23,3386.0
24,3439.0
25,3446.0
26,3467.0
27,3494.0
28,3522.0
29,3504.0
30,3528.0
31,3541.0
32,3572.0
33,3617.0
34,3659.0
35,3723.0
36,3783.0
37,3833.0
38,3908.0
39,3958.0
40,4007.0
41,4062.0
42,4093.0
43,4123.0
44,4177.0
45,4227.0
46,4257.0
47,4297.0
48,4319.0
49,4313.0
50,4298.0
51,4288.0
52,4266.0
53,4233.0
54,4196.0
55,4168.0
56,4218.0
57,4197.0
58,4202.0
59,4197.0
60,4200.0
61,4202.0
62,4238.0
63,4282.0
64,4342.0
65,4484.0
66,4596.0
67,4591.0
68,4615.0
69,4607.0
70,4606.0
71,4603.0
72,4601.0
73,4577.0
74,4578.0
75,4593.0
76,4594.0
77,4604.0
78,4585.0
79,4560.0
80,4520.0
81,4500.0
82,4489.0
83,4441.0
84,4408.0
85,4374.0
86,4308.0
87,4251.0
88,4198.0
89,4142.0
90,4081.0
91,4034.0
92,3977.0
93,3890.0
94,3847.0
95,3759.0
96,3678.0
97,3633.0
98,3580.0
99,3546.0
100,3559.0
101,3515.0
102,3471.0
103,3423.0
104,3390.0
105,3369.0
106,3338.0
107,3311.0
108,3313.0
109,3289.0
110,3278.0
111,3286.0
112,3342.0
113,3385.0
114,3436.0
115,3534.0
116,3619.0
117,3693.0
118,3828.0
119,3987.0
120,4223.0
121,4383.0
122,4488.0
123,4600.0
124,4746.0
125,4789.0
126,4867.0
127,4895.0
128,4939.0
129,4993.0
130,5077.0
131,5123.0
132,5182.0
133,5226.0
134,5279.0
135,5313.0
136,5335.0
137,5371.0
138,5401.0
139,5431.0
140,5458.0
141,5504.0
142,5510.0
143,5521.0
144,5560.0
145,5575.0
146,5588.0
147,5572.0
148,5556.0
149,5542.0
150,5501.0
151,5435.0
152,5489.0
153,5480.0
154,5494.0
155,5488.0
156,5508.0
157,5503.0
158,5542.0
159,5563.0
160,5560.0
161,5658.0
162,5709.0
163,5723.0
164,5692.0
165,5663.0
166,5630.0
167,5609.0
168,5590.0
169,5584.0
170,5575.0
171,5551.0
172,5529.0
173,5528.0
174,5487.0
175,5447.0
176,5378.0
177,5318.0
178,5313.0
179,5262.0
180,5225.0
181,5202.0
182,5120.0
183,5041.0
184,4995.0
185,4951.0
186,4907.0
187,4841.0
188,4794.0
189,4700.0
190,4671.0
191,4591.0
192,4501.0
193,4436.0
194,4351.0
195,4291.0
196,4277.0
197,4216.0
198,4176.0
199,4104.0
200,4040.0
201,4009.0
202,3972.0
203,3957.0
204,3936.0
205,3908.0
206,3910.0
207,3905.0
208,3951.0
209,3990.0
210,4045.0
211,4114.0
212,4186.0
213,4285.0
214,4403.0
215,4553.0
216,4823.0
217,5026.0
218,5165.0
219,5286.0
220,5374.0
221,5347.0
222,5371.0
223,5368.0
224,5384.0
225,5409.0
226,5440.0
227,5413.0
228,5431.0
229,5433.0
230,5431.0
231,5421.0
232,5418.0
233,5428.0
234,5458.0
235,5442.0
236,5442.0
237,5474.0
238,5516.0
239,5520.0
240,5553.0
241,5597.0
242,5632.0
243,5630.0
244,5667.0
245,5667.0
246,5655.0
247,5611.0
248,5680.0
249,5672.0
250,5712.0
251,5733.0
252,5791.0
253,5802.0
254,5851.0
255,5890.0
256,5898.0
257,5986.0
258,6038.0
259,6015.0
260,5962.0
261,5939.0
262,5920.0
263,5875.0
264,5842.0
265,5828.0
266,5820.0
267,5806.0
268,5777.0
269,5752.0
270,5729.0
271,5674.0
272,5597.0
273,5524.0
274,5515.0
275,5435.0
276,5444.0
277,5373.0
278,5291.0
279,5168.0
280,5117.0
281,5086.0
282,5067.0
283,4996.0
284,4926.0
285,4834.0
286,4809.0
287,4731.0
288,4624.0
289,4542.0
290,4458.0
291,4389.0
292,4360.0
293,4307.0
294,4264.0
295,4183.0
296,4151.0
297,4108.0
298,4073.0
299,4045.0
300,4040.0
301,4011.0
302,4015.0
303,4002.0
304,4037.0
305,4076.0
306,4122.0
307,4221.0
308,4305.0
309,4388.0
310,4519.0
311,4688.0
312,4969.0
313,5165.0
314,5307.0
315,5453.0
316,5550.0
317,5522.0
318,5539.0
319,5525.0
320,5531.0
321,5561.0
322,5597.0
323,5572.0
324,5590.0
325,5591.0
326,5590.0
327,5585.0
328,5575.0
329,5585.0
330,5586.0
331,5565.0
332,5545.0
333,5568.0
334,5583.0
335,5588.0
336,5597.0
337,5595.0
338,5603.0
339,5573.0
340,5595.0
341,5572.0
342,5537.0
343,5483.0
344,5539.0
345,5546.0
346,5609.0
347,5601.0
348,5633.0
349,5651.0
350,5696.0
351,5736.0
352,5748.0
353,5850.0
354,5982.0
355,5997.0
356,5984.0
357,5977.0
358,5950.0
359,5907.0
360,5870.0
361,5849.0
362,5848.0
363,5825.0
364,5793.0
365,5778.0
366,5731.0
367,5680.0
368,5627.0
369,5563.0
370,5543.0
371,5472.0
372,5452.0
373,5395.0
374,5298.0
375,5210.0
376,5153.0
377,5128.0
378,5097.0
379,5052.0
380,4991.0
381,4905.0
382,4865.0
383,4774.0
384,4664.0
385,4576.0
386,4500.0
387,4426.0
388,4422.0
389,4383.0
390,4335.0
391,4273.0
392,4208.0
393,4131.0
394,4094.0
395,4060.0
396,4059.0
397,4048.0
398,4049.0
399,4032.0
400,4079.0
401,4111.0
402,4166.0
403,4251.0
404,4338.0
405,4416.0
406,4550.0
407,4692.0
408,4971.0
409,5198.0
410,5335.0
411,5455.0
412,5578.0
413,5566.0
414,5588.0
415,5570.0
416,5566.0
417,5613.0
418,5632.0
419,5612.0
420,5616.0
421,5622.0
422,5642.0
423,5631.0
424,5604.0
425,5627.0
426,5630.0
427,5595.0
428,5603.0
429,5651.0
430,5687.0
431,5688.0
432,5675.0
433,5700.0
434,5710.0
435,5675.0
436,5697.0
437,5666.0
438,5616.0
439,5541.0
440,5596.0
441,5589.0
442,5636.0
443,5632.0
444,5636.0
445,5639.0
446,5701.0
447,5727.0
448,5753.0
449,5862.0
450,5969.0
451,5976.0
452,5941.0
453,5921.0
454,5889.0
455,5852.0
456,5817.0
457,5790.0
458,5777.0
459,5753.0
460,5709.0
461,5683.0
462,5640.0
463,5574.0
464,5496.0
465,5437.0
466,5432.0
467,5372.0
468,5361.0
469,5339.0
470,5248.0
471,5145.0
472,5104.0
473,5076.0
474,5064.0
475,5002.0
476,4947.0
477,4855.0
478,4831.0
479,4761.0
480,4649.0
481,4559.0
482,4460.0
483,4385.0
484,4386.0
485,4330.0
486,4275.0
487,4179.0
488,4113.0
489,4074.0
490,4024.0
491,4011.0
492,4003.0
493,3965.0
494,3955.0
495,3940.0
496,3953.0
497,3990.0
498,3996.0
499,4039.0
500,4077.0
501,4104.0
502,4135.0
503,4166.0
504,4290.0
505,4390.0
506,4456.0
507,4536.0
508,4626.0
509,4639.0
510,4734.0
511,4783.0
512,4826.0
513,4902.0
514,4979.0
515,5035.0
516,5108.0
517,5167.0
518,5205.0
519,5233.0
520,5281.0
521,5313.0
522,5330.0
523,5327.0
524,5351.0
525,5379.0
526,5402.0
527,5415.0
528,5400.0
529,5401.0
530,5360.0
531,5293.0
532,5240.0
533,5204.0
534,5137.0
535,5058.0
536,5059.0
537,5028.0
538,5037.0
539,5037.0
540,5045.0
541,5038.0
542,5056.0
543,5084.0
544,5128.0
545,5239.0
546,5378.0
547,5426.0
548,5421.0
549,5405.0
550,5377.0
551,5348.0
552,5349.0
553,5314.0
554,5295.0
555,5292.0
556,5276.0
557,5254.0
558,5235.0
559,5185.0
560,5161.0
561,5117.0
562,5081.0
563,5019.0
564,4983.0
565,4959.0
566,4883.0
567,4789.0
568,4736.0
569,4692.0
570,4644.0
571,4588.0
572,4544.0
573,4452.0
574,4400.0
575,4301.0
576,4196.0
577,4140.0
578,4077.0
579,4046.0
580,4058.0
581,4014.0
582,3968.0
583,3907.0
584,3844.0
585,3815.0
586,3759.0
587,3721.0
588,3703.0
589,3674.0
590,3658.0
591,3654.0
592,3669.0
593,3685.0
594,3691.0
595,3714.0
596,3734.0
597,3727.0
598,3748.0
599,3781.0
600,3878.0
601,3932.0
602,4010.0
603,4075.0
604,4149.0
605,4166.0
606,4247.0
607,4297.0
608,4358.0
609,4451.0
610,4534.0
611,4623.0
612,4705.0
613,4767.0
614,4839.0
615,4889.0
616,4936.0
617,4969.0
618,5004.0
619,5011.0
620,5048.0
621,5091.0
622,5097.0
623,5106.0
624,5088.0
625,5047.0
626,4995.0
627,4932.0
628,4907.0
629,4868.0
630,4830.0
631,4793.0
632,4818.0
633,4777.0
634,4786.0
635,4780.0
636,4791.0
637,4792.0
638,4811.0
639,4848.0
640,4924.0
641,5047.0
642,5186.0
643,5246.0
644,5279.0
645,5273.0
646,5282.0
647,5256.0
648,5262.0
649,5238.0
650,5222.0
651,5217.0
652,5222.0
653,5218.0
654,5192.0
655,5158.0
656,5104.0
657,5076.0
658,5012.0
659,4961.0
660,4914.0
661,4879.0
662,4764.0
663,4711.0
664,4671.0
665,4614.0
666,4551.0
667,4492.0
668,4434.0
669,4345.0
670,4309.0
671,4220.0
672,4144.0
673,4103.0
674,4042.0
675,3995.0
676,3997.0
677,3962.0
678,3949.0
679,3890.0
680,3851.0
681,3827.0
682,3779.0
683,3733.0
684,3723.0
685,3705.0
686,3716.0
687,3702.0
688,3730.0
689,3797.0
690,3866.0
691,3962.0
692,4063.0
693,4179.0
694,4337.0
695,4542.0
696,4894.0
697,5125.0
698,5289.0
699,5436.0
700,5566.0
701,5552.0
702,5580.0
703,5583.0
704,5601.0
705,5632.0
706,5677.0
707,5678.0
708,5694.0
709,5716.0
710,5711.0
711,5683.0
712,5673.0
713,5682.0
714,5694.0
715,5645.0
716,5631.0
717,5651.0
718,5692.0
719,5704.0
720,5686.0
721,5695.0
722,5707.0
723,5677.0
724,5696.0
725,5660.0
726,5620.0
727,5529.0
728,5562.0
729,5560.0
730,5615.0
731,5604.0
732,5645.0
733,5623.0
734,5646.0
735,5676.0
736,5672.0
737,5771.0
738,5933.0
739,5961.0
740,5938.0
741,5941.0
742,5916.0
743,5897.0
744,5866.0
745,5848.0
746,5854.0
747,5842.0
748,5830.0
749,5807.0
750,5773.0
751,5711.0
752,5642.0
