,demand
0,4870.0
1,4639.0
2,4500.0
3,4254.0
4,4047.0
5,3905.0
6,3815.0
7,3832.0
8,3724.0
9,3683.0
10,3984.0
11,4402.0
12,4824.0
13,5026.0
14,4843.0
15,4610.0
16,4555.0
17,4584.0
18,5063.0
19,5615.0
20,5750.0
21,5785.0
22,5661.0
23,5459.0
24,5040.0
25,4631.0
26,4295.0
27,4109.0
28,4015.0
29,3991.0
30,4085.0
31,4426.0
32,4886.0
33,5555.0
34,6191.0
35,6516.0
36,6747.0
37,6794.0
38,6726.0
39,6808.0
40,6700.0
41,6700.0
42,7011.0
43,7406.0
44,7507.0
45,7346.0
46,7021.0
47,6558.0
48,5887.0
49,5333.0
50,4967.0
51,4712.0
52,4619.0
53,4577.0
54,4642.0
55,5015.0
56,5667.0
57,6380.0
58,6903.0
59,7015.0
60,7199.0
61,7086.0
62,7009.0
63,7162.0
64,7089.0
65,7021.0
66,7236.0
67,7569.0
68,7653.0
69,7503.0
70,7187.0
71,6707.0
72,6086.0
73,5519.0
74,5087.0
75,4839.0
76,4731.0
77,4648.0
78,4736.0
79,5075.0
80,5768.0
81,6506.0
82,7093.0
83,7193.0
84,7350.0
85,7192.0
86,7056.0
87,7280.0
88,7134.0
89,7118.0
90,7297.0
91,7629.0
92,7726.0
93,7570.0
94,7181.0
95,6836.0
96,6161.0
97,5550.0
98,5175.0
99,4951.0
100,4798.0
101,4868.0
102,4954.0
103,5304.0
104,5945.0
105,6642.0
106,7159.0
107,7347.0
108,7512.0
109,7393.0
110,7292.0
111,7479.0
112,7389.0
113,7253.0
114,7351.0
115,7656.0
116,7711.0
117,7532.0
118,7186.0
119,6830.0
120,6251.0
121,5610.0
122,5221.0
123,4964.0
124,4837.0
125,4754.0
126,4714.0
127,4799.0
128,4954.0
129,5264.0
130,5801.0
131,6077.0
132,6219.0
133,6252.0
134,6161.0
135,6070.0
136,6003.0
137,6021.0
138,6490.0
139,7127.0
140,7273.0
141,7125.0
142,6783.0
143,6492.0
144,5996.0
145,5456.0
146,5016.0
147,4750.0
148,4591.0
149,4510.0
150,4486.0
151,4530.0
152,4561.0
153,4710.0
154,5207.0
155,5659.0
156,5951.0
157,6172.0
158,6020.0
159,5843.0
160,5747.0
161,5690.0
162,6191.0
163,6885.0
164,7104.0
165,7120.0
166,6842.0
167,6456.0
168,5806.0
169,5305.0
170,4912.0
171,4731.0
172,4623.0
173,4577.0
174,4724.0
175,5213.0
176,5974.0
177,6843.0
178,7401.0
179,7518.0
180,7589.0
181,7396.0
182,7268.0
183,7361.0
184,7245.0
185,7150.0
186,7465.0
187,8039.0
188,8253.0
189,8169.0
190,7867.0
191,7351.0
192,6533.0
193,5808.0
194,5408.0
195,5163.0
196,5062.0
197,5015.0
198,5079.0
199,5505.0
200,6232.0
201,7099.0
202,7746.0
203,7967.0
204,8250.0
205,8121.0
206,8023.0
207,8214.0
208,8123.0
209,7967.0
210,7985.0
211,8300.0
212,8433.0
213,8294.0
214,7942.0
215,7425.0
216,6593.0
217,5873.0
218,5446.0
219,5204.0
220,5087.0
221,5051.0
222,5103.0
223,5511.0
224,6265.0
225,7115.0
226,7590.0
227,7762.0
228,7873.0
229,7707.0
230,7553.0
231,7690.0
232,7589.0
233,7489.0
234,7588.0
235,8041.0
236,8222.0
237,8117.0
238,7790.0
239,7379.0
240,6593.0
241,5900.0
242,5455.0
243,5212.0
244,5114.0
245,5083.0
246,5129.0
247,5442.0
248,6232.0
249,7032.0
250,7468.0
251,7569.0
252,7653.0
253,7451.0
254,7337.0
255,7409.0
256,7300.0
257,7245.0
258,7417.0
259,7933.0
260,8143.0
261,8048.0
262,7747.0
263,7301.0
264,6505.0
265,5822.0
266,5416.0
267,5159.0
268,5067.0
269,5016.0
270,5110.0
271,5425.0
272,6228.0
273,7079.0
274,7627.0
275,7759.0
276,7866.0
277,7657.0
278,7545.0
279,7650.0
280,7605.0
281,7502.0
282,7636.0
283,8085.0
284,8194.0
285,8043.0
286,7652.0
287,7253.0
288,6522.0
289,5901.0
290,5433.0
291,5138.0
292,4980.0
293,4913.0
294,4882.0
295,4953.0
296,5065.0
297,5388.0
298,5958.0
299,6297.0
300,6531.0
301,6585.0
302,6423.0
303,6326.0
304,6196.0
305,6149.0
306,6401.0
307,7103.0
308,7332.0
309,7195.0
310,6825.0
311,6504.0
312,6041.0
313,5495.0
314,5024.0
315,4738.0
316,4588.0
317,4498.0
318,4465.0
319,4538.0
320,4559.0
321,4750.0
322,5254.0
