,demand
0,1126.0
1,1103.0
2,1056.0
3,1018.0
4,1006.0
5,1015.0
6,1057.0
7,1085.0
8,1140.0
9,1237.0
10,1321.0
11,1404.0
12,1422.0
13,1397.0
14,1362.0
15,1346.0
16,1376.0
17,1423.0
18,1446.0
19,1482.0
20,1432.0
21,1360.0
22,1293.0
23,1182.0
24,1079.0
25,1040.0
26,1038.0
27,1023.0
28,1018.0
29,1081.0
30,1184.0
31,1289.0
32,1378.0
33,1485.0
34,1546.0
35,1584.0
36,1554.0
37,1518.0
38,1470.0
39,1434.0
40,1474.0
41,1578.0
42,1613.0
43,1619.0
44,1573.0
45,1475.0
46,1371.0
47,1296.0
48,1221.0
49,1183.0
50,1198.0
51,1187.0
52,1368.0
53,1338.0
54,1681.0
55,1899.0
56,1938.0
57,1941.0
58,1936.0
59,1982.0
60,1965.0
61,1908.0
62,1892.0
63,1896.0
64,1942.0
65,2006.0
66,1981.0
67,1946.0
68,1887.0
69,1772.0
70,1668.0
71,1563.0
72,1446.0
73,1418.0
74,1375.0
75,1408.0
76,1436.0
77,1525.0
78,1809.0
79,2003.0
80,2032.0
81,2070.0
82,2016.0
83,2108.0
84,2028.0
85,2024.0
86,1979.0
87,1968.0
88,2009.0
89,2083.0
90,2088.0
91,2046.0
92,1964.0
93,1825.0
94,1691.0
95,1542.0
96,1452.0
97,1398.0
98,1385.0
99,1359.0
100,1387.0
101,1502.0
102,1806.0
103,1968.0
104,1991.0
105,1976.0
106,1978.0
107,2036.0
108,2042.0
109,2032.0
110,1952.0
111,1927.0
112,1976.0
113,2005.0
114,1972.0
115,1959.0
116,1885.0
117,1736.0
118,1638.0
119,1518.0
120,1417.0
121,1319.0
122,1288.0
123,1305.0
124,1301.0
125,1335.0
126,1483.0
127,1590.0
128,1728.0
129,1758.0
130,1831.0
131,1850.0
132,1854.0
133,1771.0
134,1686.0
135,1664.0
136,1688.0
137,1762.0
138,1760.0
139,1729.0
140,1667.0
141,1575.0
142,1474.0
143,1321.0
144,1251.0
145,1198.0
146,1202.0
147,1154.0
148,1186.0
149,1205.0
150,1302.0
151,1385.0
152,1520.0
153,1651.0
154,1696.0
155,1798.0
156,1730.0
157,1660.0
158,1557.0
159,1531.0
160,1573.0
161,1686.0
162,1714.0
163,1711.0
164,1652.0
165,1575.0
166,1478.0
167,1363.0
168,1299.0
169,1261.0
170,1215.0
171,1223.0
172,1265.0
173,1392.0
174,1732.0
175,1956.0
176,1993.0
177,1968.0
178,1967.0
179,2034.0
180,2019.0
181,1969.0
182,1921.0
183,1898.0
184,1954.0
185,1993.0
186,1979.0
187,1942.0
188,1855.0
189,1729.0
190,1618.0
191,1455.0
192,1356.0
193,1311.0
194,1295.0
195,1305.0
196,1338.0
197,1433.0
198,1739.0
199,1975.0
200,2031.0
201,2034.0
202,2026.0
203,2145.0
204,2132.0
205,2101.0
206,2013.0
207,1977.0
208,2029.0
209,2031.0
210,2037.0
211,2023.0
212,1944.0
213,1795.0
214,1669.0
215,1537.0
216,1454.0
217,1387.0
218,1355.0
219,1355.0
220,1393.0
221,1506.0
222,1842.0
223,2021.0
224,2071.0
225,2069.0
226,2062.0
227,2080.0
228,2094.0
229,2025.0
230,1945.0
231,1899.0
232,1994.0
233,2024.0
234,2070.0
235,2022.0
236,1965.0
237,1797.0
238,1681.0
239,1536.0
240,1458.0
241,1439.0
242,1378.0
243,1363.0
244,1437.0
245,1506.0
246,1818.0
247,2042.0
248,2074.0
249,2091.0
250,2073.0
251,2156.0
252,2138.0
253,2074.0
254,2025.0
255,1991.0
256,2012.0
257,2079.0
258,2059.0
259,2066.0
260,1939.0
261,1813.0
262,1684.0
263,1568.0
264,1473.0
265,1419.0
266,1378.0
267,1414.0
268,1420.0
269,1548.0
270,1877.0
271,2085.0
272,2061.0
273,2023.0
274,1980.0
275,2031.0
276,2042.0
277,2033.0
278,1972.0
279,1967.0
280,2006.0
281,2046.0
282,2047.0
283,2002.0
284,1919.0
285,1768.0
286,1686.0
287,1577.0
288,1451.0
289,1374.0
290,1342.0
