,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
0,4779.0,6671.0,0.0,2408.0,1759.0,187.0,24.0,545.0,1768.0,44.0,6345.0,329.0,144.0,0.0,370.0,2973.0,27982.0
1,4778.0,6712.0,0.0,2411.0,1724.0,187.0,25.0,446.0,1750.0,45.0,5956.0,329.0,144.0,0.0,365.0,2991.0,28618.0
2,4778.0,6739.0,0.0,2411.0,1687.0,187.0,25.0,349.0,1744.0,42.0,5753.0,329.0,144.0,0.0,370.0,2921.0,28953.0
3,4782.0,6773.0,0.0,2395.0,1674.0,187.0,24.0,581.0,1694.0,48.0,5361.0,329.0,144.0,0.0,370.0,2785.0,29088.0
4,4768.0,6828.0,0.0,2387.0,1609.0,188.0,24.0,1263.0,1633.0,47.0,4942.0,329.0,144.0,0.0,370.0,2895.0,29643.0
5,4760.0,6837.0,0.0,2415.0,1590.0,188.0,24.0,1268.0,1630.0,47.0,4790.0,329.0,144.0,0.0,369.0,3007.0,29813.0
6,4764.0,6789.0,0.0,2431.0,1605.0,188.0,24.0,705.0,1627.0,46.0,4647.0,328.0,144.0,0.0,351.0,3034.0,30304.0
7,4766.0,6786.0,0.0,2392.0,1633.0,187.0,24.0,497.0,1628.0,47.0,4637.0,327.0,144.0,0.0,318.0,3061.0,30662.0
8,4761.0,6808.0,0.0,2377.0,1669.0,188.0,24.0,943.0,1626.0,48.0,4579.0,327.0,143.0,0.0,307.0,3091.0,30793.0
9,4766.0,6774.0,0.0,2397.0,1671.0,188.0,25.0,603.0,1624.0,48.0,4560.0,327.0,143.0,0.0,307.0,3095.0,30954.0
10,4766.0,6757.0,0.0,2411.0,1711.0,188.0,24.0,416.0,1622.0,48.0,4565.0,327.0,143.0,0.0,314.0,3105.0,30663.0
11,4774.0,6724.0,0.0,2408.0,1682.0,187.0,24.0,556.0,1621.0,51.0,4660.0,322.0,143.0,0.0,310.0,3093.0,30681.0
12,4765.0,6757.0,0.0,2406.0,1694.0,187.0,24.0,69.0,1618.0,45.0,4906.0,322.0,143.0,0.0,304.0,3086.0,31412.0
13,4766.0,6715.0,0.0,2422.0,1682.0,187.0,24.0,56.0,1613.0,48.0,4898.0,322.0,143.0,0.0,300.0,3133.0,31756.0
14,4776.0,6724.0,0.0,2428.0,1671.0,187.0,24.0,52.0,1612.0,44.0,4900.0,322.0,143.0,0.0,301.0,3152.0,31638.0
15,4777.0,6716.0,0.0,2402.0,1671.0,187.0,23.0,43.0,1610.0,43.0,4851.0,322.0,143.0,0.0,310.0,3176.0,31760.0
16,4768.0,6685.0,0.0,2397.0,1668.0,187.0,23.0,47.0,1610.0,47.0,4746.0,322.0,143.0,0.0,324.0,3217.0,31712.0
17,4778.0,6711.0,0.0,2400.0,1680.0,187.0,23.0,47.0,1607.0,47.0,4691.0,322.0,143.0,0.0,319.0,3208.0,31596.0
18,4787.0,6738.0,0.0,2426.0,1685.0,188.0,23.0,47.0,1609.0,46.0,4648.0,322.0,143.0,0.0,339.0,3192.0,31457.0
19,4773.0,6705.0,0.0,2419.0,1677.0,187.0,23.0,51.0,1605.0,45.0,4701.0,322.0,143.0,0.0,347.0,3231.0,31351.0
20,4766.0,6714.0,0.0,2404.0,1680.0,187.0,23.0,51.0,1602.0,49.0,4749.0,323.0,143.0,0.0,356.0,3285.0,31968.0
21,4770.0,6736.0,0.0,2394.0,1674.0,188.0,23.0,51.0,1602.0,46.0,4798.0,323.0,143.0,0.0,364.0,3287.0,32090.0
22,4773.0,6717.0,0.0,2401.0,1685.0,187.0,23.0,51.0,1601.0,48.0,4880.0,322.0,143.0,0.0,353.0,3275.0,32157.0
23,4766.0,6743.0,0.0,2372.0,1689.0,188.0,23.0,52.0,1598.0,47.0,4896.0,322.0,143.0,0.0,353.0,3279.0,32037.0
24,4767.0,6613.0,0.0,2330.0,1687.0,187.0,23.0,460.0,1596.0,43.0,4831.0,322.0,143.0,0.0,349.0,3293.0,31777.0
25,4782.0,6638.0,0.0,2310.0,1682.0,188.0,23.0,461.0,1597.0,41.0,4742.0,322.0,143.0,0.0,350.0,3292.0,31472.0
26,4785.0,6701.0,0.0,2299.0,1712.0,188.0,24.0,459.0,1594.0,46.0,4752.0,322.0,143.0,0.0,353.0,3287.0,31194.0
27,4790.0,6713.0,0.0,2276.0,1675.0,188.0,24.0,457.0,1591.0,44.0,4725.0,322.0,143.0,0.0,353.0,3292.0,31346.0
28,4762.0,6510.0,0.0,2279.0,1682.0,187.0,24.0,454.0,1582.0,45.0,4617.0,322.0,143.0,0.0,353.0,3281.0,31014.0
29,4807.0,6528.0,0.0,2255.0,1696.0,188.0,24.0,457.0,1584.0,44.0,4624.0,322.0,143.0,0.0,353.0,3281.0,31223.0
30,4804.0,6659.0,0.0,2274.0,1692.0,188.0,24.0,457.0,1578.0,45.0,4659.0,322.0,143.0,0.0,353.0,3287.0,30622.0
31,4802.0,6621.0,0.0,2261.0,1645.0,188.0,24.0,459.0,1574.0,40.0,4656.0,322.0,143.0,0.0,354.0,3278.0,30813.0
32,4797.0,6475.0,0.0,2234.0,1512.0,188.0,24.0,455.0,1571.0,43.0,4597.0,322.0,143.0,2.0,350.0,3281.0,30283.0
33,4806.0,6485.0,0.0,2245.0,1508.0,187.0,24.0,459.0,1573.0,39.0,4604.0,322.0,143.0,28.0,353.0,3288.0,30446.0
34,4816.0,6488.0,0.0,2257.0,1502.0,188.0,24.0,457.0,1572.0,46.0,4603.0,322.0,143.0,181.0,353.0,3287.0,30301.0
35,4821.0,6578.0,0.0,2267.0,1510.0,188.0,23.0,460.0,1565.0,44.0,4661.0,322.0,143.0,483.0,351.0,3283.0,30214.0
36,4826.0,6575.0,0.0,2395.0,1512.0,188.0,23.0,462.0,1566.0,40.0,4634.0,322.0,143.0,888.0,347.0,3284.0,30506.0
37,4842.0,6478.0,0.0,2402.0,1517.0,187.0,23.0,463.0,1562.0,43.0,4606.0,322.0,143.0,1291.0,343.0,3274.0,30835.0
38,4856.0,6543.0,0.0,2439.0,1511.0,188.0,23.0,462.0,1568.0,47.0,4651.0,322.0,143.0,1768.0,343.0,3273.0,30905.0
