,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
0,115.0,264.0,667.0,0.0,5.0,0.0,1938.0,84.0,11.0,15.0,78.0
1,115.0,263.0,683.0,0.0,5.0,0.0,1937.0,84.0,11.0,14.0,83.0
2,115.0,262.0,643.0,0.0,5.0,0.0,1938.0,84.0,11.0,15.0,93.0
3,115.0,261.0,601.0,0.0,5.0,0.0,1938.0,84.0,11.0,15.0,106.0
4,114.0,274.0,691.0,0.0,5.0,0.0,1939.0,87.0,11.0,16.0,134.0
5,115.0,281.0,658.0,0.0,5.0,0.0,1937.0,87.0,11.0,16.0,145.0
6,113.0,281.0,601.0,0.0,5.0,0.0,1936.0,87.0,8.0,15.0,145.0
7,108.0,295.0,539.0,0.0,5.0,0.0,1935.0,78.0,7.0,15.0,140.0
8,99.0,324.0,630.0,0.0,5.0,0.0,1936.0,80.0,6.0,15.0,144.0
9,87.0,315.0,642.0,0.0,5.0,0.0,1899.0,80.0,6.0,16.0,146.0
10,84.0,285.0,644.0,0.0,5.0,0.0,1884.0,80.0,6.0,16.0,144.0
11,82.0,272.0,622.0,0.0,5.0,0.0,1886.0,80.0,6.0,16.0,136.0
12,79.0,266.0,589.0,0.0,5.0,0.0,1885.0,80.0,6.0,17.0,148.0
13,78.0,269.0,531.0,0.0,5.0,0.0,1882.0,80.0,6.0,15.0,157.0
14,77.0,267.0,507.0,0.0,5.0,0.0,1842.0,80.0,6.0,15.0,160.0
15,78.0,266.0,493.0,0.0,5.0,0.0,1833.0,80.0,6.0,16.0,166.0
16,77.0,267.0,458.0,0.0,5.0,0.0,1767.0,84.0,6.0,16.0,168.0
17,77.0,268.0,497.0,0.0,5.0,0.0,1739.0,84.0,6.0,15.0,162.0
18,76.0,265.0,510.0,0.0,5.0,0.0,1714.0,84.0,6.0,17.0,149.0
19,76.0,267.0,588.0,0.0,5.0,0.0,1658.0,84.0,6.0,15.0,137.0
20,77.0,262.0,653.0,0.0,5.0,0.0,1636.0,96.0,6.0,16.0,124.0
21,78.0,263.0,646.0,0.0,5.0,0.0,1636.0,96.0,6.0,16.0,126.0
22,80.0,267.0,646.0,0.0,5.0,0.0,1637.0,96.0,6.0,17.0,118.0
23,84.0,266.0,646.0,0.0,5.0,0.0,1635.0,96.0,8.0,16.0,108.0
24,87.0,264.0,656.0,0.0,5.0,0.0,1637.0,100.0,10.0,17.0,109.0
25,94.0,262.0,663.0,0.0,5.0,0.0,1636.0,100.0,10.0,18.0,97.0
26,104.0,268.0,662.0,0.0,5.0,0.0,1635.0,100.0,12.0,18.0,92.0
27,109.0,273.0,661.0,0.0,5.0,0.0,1637.0,100.0,12.0,17.0,91.0
28,112.0,264.0,664.0,0.0,5.0,0.0,1636.0,99.0,12.0,17.0,94.0
29,114.0,260.0,625.0,0.0,5.0,0.0,1638.0,99.0,13.0,17.0,87.0
30,114.0,261.0,622.0,0.0,5.0,0.0,1638.0,99.0,13.0,16.0,77.0
31,115.0,272.0,650.0,0.0,5.0,0.0,1639.0,99.0,13.0,16.0,66.0
32,115.0,269.0,652.0,0.1292179750973605,5.0,0.0,1638.0,97.0,13.0,15.0,52.0
33,115.0,269.0,668.0,0.12456757493219073,5.0,0.0,1639.0,97.0,13.0,16.0,43.0
