,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
0,76.0,0.0,316.0,88.0,19.0
1,77.0,0.0,156.0,89.0,21.0
2,77.0,0.0,156.0,89.0,21.0
3,77.0,0.0,155.0,89.0,19.0
4,76.0,0.0,186.0,88.0,17.0
5,76.0,0.0,421.0,88.0,11.0
6,76.0,1.0,512.0,88.0,10.0
7,76.0,1.0,600.0,88.0,13.0
8,76.0,1.0,667.0,88.0,10.0
9,76.0,1.0,741.0,88.0,9.0
10,76.0,1.0,747.0,88.0,13.0
11,76.0,1.0,797.0,88.0,31.0
12,77.0,1.0,814.0,88.0,39.0
13,77.0,1.0,939.0,89.0,49.0
14,77.0,1.0,1011.0,89.0,49.0
15,77.0,1.0,1012.0,89.0,46.0
16,77.0,1.0,1013.0,89.0,47.0
17,77.0,1.0,1012.0,90.0,50.0
18,77.0,1.0,1012.0,90.0,49.0
19,78.0,1.0,1012.0,90.0,51.0
20,78.0,1.0,1049.0,90.0,51.0
21,78.0,1.0,759.0,90.0,51.0
22,78.0,1.0,578.0,91.0,51.0
23,78.0,1.0,483.0,91.0,51.0
24,78.0,1.0,636.0,90.0,51.0
25,78.0,1.0,546.0,90.0,51.0
26,78.0,1.0,564.0,90.0,49.0
27,77.0,1.0,612.0,89.0,46.0
28,77.0,1.0,787.0,89.0,48.0
29,77.0,1.0,800.0,89.0,44.0
30,77.0,1.0,807.0,89.0,34.0
31,76.0,25.0,868.0,88.0,30.0
32,76.0,25.0,876.0,88.0,31.0
33,76.0,24.0,1075.0,88.0,30.0
34,76.0,24.0,1154.0,88.0,32.0
35,76.0,37.0,1147.0,88.0,29.0
36,76.0,65.0,1070.0,88.0,34.0
37,76.0,106.0,1037.0,88.0,28.0
38,74.0,216.0,925.0,85.0,25.0
39,74.0,365.0,1075.0,86.0,18.0
40,74.0,380.0,1091.0,86.0,13.0
41,75.0,379.0,1091.0,86.0,15.0
42,75.0,376.0,1102.0,86.0,16.0
43,77.0,211.0,935.0,89.0,14.0
44,75.0,61.0,927.0,87.0,13.0
45,75.0,1.0,927.0,87.0,10.0
46,75.0,1.0,921.0,87.0,12.0
47,75.0,1.0,836.0,87.0,10.0
48,75.0,1.0,892.0,87.0,7.0
49,75.0,1.0,895.0,87.0,7.0
50,75.0,1.0,883.0,87.0,5.0
51,75.0,1.0,872.0,87.0,5.0
52,75.0,1.0,894.0,87.0,5.0
53,75.0,1.0,1055.0,86.0,5.0
54,75.0,1.0,1074.0,86.0,6.0
55,74.0,1.0,1078.0,86.0,6.0
56,73.0,1.0,1099.0,85.0,5.0
57,73.0,1.0,1106.0,85.0,5.0
58,73.0,1.0,1163.0,85.0,6.0
59,73.0,1.0,1097.0,84.0,7.0
60,73.0,1.0,1166.0,84.0,7.0
61,73.0,1.0,1164.0,84.0,11.0
62,73.0,1.0,1183.0,84.0,10.0
63,73.0,1.0,1180.0,84.0,13.0
64,73.0,1.0,1161.0,85.0,13.0
65,73.0,1.0,1157.0,85.0,16.0
66,74.0,1.0,1070.0,85.0,21.0
67,74.0,1.0,1060.0,85.0,22.0
68,74.0,1.0,1059.0,85.0,28.0
69,75.0,1.0,984.0,86.0,25.0
70,75.0,1.0,895.0,86.0,25.0
71,75.0,1.0,808.0,87.0,22.0
72,72.0,1.0,963.0,83.0,24.0
73,74.0,1.0,972.0,86.0,24.0
74,74.0,1.0,971.0,86.0,26.0
75,74.0,1.0,969.0,86.0,25.0
76,74.0,1.0,973.0,86.0,23.0
77,74.0,9.0,974.0,86.0,22.0
78,74.0,19.0,1064.0,85.0,21.0
79,73.0,40.0,1064.0,85.0,18.0
80,73.0,62.0,1146.0,85.0,19.0
81,73.0,122.0,1088.0,85.0,20.0
82,73.0,138.0,1137.0,85.0,19.0
83,73.0,138.0,1088.0,84.0,21.0
84,73.0,138.0,1063.0,84.0,20.0
85,73.0,138.0,1064.0,84.0,19.0
86,73.0,138.0,1064.0,85.0,18.0
87,73.0,138.0,1228.0,85.0,23.0
88,74.0,137.0,1228.0,85.0,18.0
89,74.0,138.0,1223.0,85.0,14.0
90,74.0,135.0,1058.0,85.0,17.0
91,74.0,108.0,978.0,86.0,19.0
92,74.0,106.0,981.0,86.0,18.0
93,74.0,106.0,896.0,86.0,20.0
94,74.0,96.0,894.0,86.0,24.0
95,75.0,60.0,963.0,87.0,23.0
96,74.0,60.0,979.0,86.0,23.0
97,74.0,60.0,978.0,86.0,24.0
98,74.0,60.0,976.0,86.0,21.0
99,74.0,60.0,975.0,86.0,20.0
100,74.0,60.0,976.0,85.0,17.0
101,74.0,60.0,1063.0,85.0,16.0
102,73.0,82.0,1063.0,85.0,17.0
103,73.0,100.0,1039.0,84.0,21.0
104,73.0,132.0,1034.0,84.0,22.0
105,73.0,138.0,1084.0,84.0,20.0
106,73.0,138.0,1217.0,84.0,18.0
107,73.0,138.0,1153.0,84.0,14.0
108,76.0,138.0,1147.0,88.0,12.0
109,73.0,138.0,1147.0,84.0,10.0
110,80.0,138.0,983.0,92.0,6.0
111,81.0,138.0,1067.0,94.0,5.0
112,83.0,138.0,1149.0,96.0,5.0
113,87.0,137.0,1147.0,101.0,4.0
114,74.0,75.0,1102.0,86.0,3.0
115,75.0,1.0,1062.0,86.0,4.0
116,74.0,1.0,1061.0,86.0,2.0
117,75.0,1.0,979.0,86.0,6.0
118,75.0,1.0,977.0,86.0,6.0
119,75.0,1.0,980.0,86.0,7.0
120,75.0,1.0,835.0,87.0,7.0
121,75.0,1.0,826.0,87.0,9.0
122,75.0,1.0,826.0,86.0,7.0
123,75.0,1.0,825.0,86.0,7.0
124,75.0,1.0,830.0,86.0,10.0
125,74.0,1.0,913.0,86.0,7.0
126,74.0,1.0,917.0,86.0,8.0
127,74.0,1.0,996.0,86.0,7.0
128,74.0,1.0,996.0,85.0,6.0
129,74.0,1.0,997.0,85.0,7.0
130,73.0,1.0,997.0,85.0,7.0
131,73.0,1.0,999.0,85.0,7.0
132,73.0,1.0,999.0,84.0,8.0
133,73.0,1.0,1000.0,85.0,10.0
134,72.0,1.0,998.0,83.0,7.0
135,72.0,1.0,1143.0,84.0,7.0
136,77.0,1.0,1142.0,89.0,9.0
137,77.0,1.0,1143.0,89.0,10.0
138,73.0,1.0,1081.0,84.0,9.0
139,77.0,1.0,999.0,89.0,10.0
140,77.0,1.0,993.0,89.0,13.0
141,74.0,1.0,994.0,85.0,14.0
