,Fossil Gas  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
0,347.0,971.0,12039.0,50.0,724.0
1,347.0,973.0,12195.0,50.0,731.0
2,347.0,970.0,11290.0,50.0,708.0
3,347.0,971.0,10028.0,50.0,680.0
4,347.0,976.0,10036.0,50.0,674.0
5,348.0,976.0,10143.0,49.0,641.0
6,347.0,978.0,10624.0,49.0,631.0
7,347.0,970.0,11288.0,49.0,624.0
8,348.0,972.0,10874.0,49.0,597.0
9,348.0,991.0,11113.0,49.0,529.0
10,350.0,998.0,12063.0,49.0,491.0
11,349.0,1002.0,12598.0,49.0,465.0
12,350.0,1005.0,12857.0,49.0,434.0
13,350.0,1005.0,12844.0,49.0,416.0
14,349.0,1004.0,13106.0,49.0,422.0
15,348.0,1005.0,14094.0,49.0,402.0
16,348.0,1004.0,14915.0,49.0,387.0
17,350.0,1015.0,15691.0,49.0,371.0
18,350.0,1013.0,15459.0,49.0,350.0
19,350.0,1009.0,14631.0,49.0,337.0
20,349.0,1011.0,13871.0,48.0,311.0
21,350.0,1012.0,13358.0,48.0,292.0
22,350.0,1006.0,12117.0,48.0,278.0
23,349.0,1006.0,10884.0,48.0,266.0
24,350.0,994.0,9912.0,50.0,341.0
25,352.0,1002.0,9317.0,50.0,299.0
26,352.0,1011.0,9625.0,50.0,285.0
27,353.0,1012.0,9692.0,50.0,305.0
28,352.0,1006.0,10857.0,50.0,295.0
29,351.0,1003.0,12865.0,50.0,297.0
30,353.0,1028.0,15670.0,53.0,287.0
31,353.0,1067.0,20267.0,58.0,242.0
32,353.0,1091.0,21880.0,67.0,212.0
33,347.0,1113.0,22364.0,71.0,170.0
34,352.0,1117.0,23015.0,73.0,162.0
35,354.0,1119.0,23242.0,73.0,178.0
36,356.0,1118.0,23487.0,72.0,120.0
37,374.0,1117.0,23502.0,72.0,116.0
38,373.0,1116.0,23532.0,72.0,100.0
39,369.0,1116.0,23647.0,73.0,141.0
40,377.0,1117.0,23742.0,73.0,95.0
41,374.0,1121.0,23767.0,74.0,114.0
42,376.0,1115.0,23566.0,73.0,129.0
43,373.0,1109.0,23026.0,73.0,159.0
44,373.0,1107.0,21069.0,70.0,176.0
45,375.0,1106.0,18587.0,70.0,206.0
46,371.0,1101.0,16572.0,69.0,248.0
47,371.0,1104.0,15536.0,70.0,284.0
48,371.0,1084.0,14417.0,68.0,344.0
49,366.0,1085.0,12951.0,69.0,385.0
50,362.0,1089.0,11816.0,69.0,424.0
51,368.0,1082.0,11622.0,69.0,510.0
