,demand
0,57638.0
1,56036.0
2,54494.0
3,51574.0
4,49370.0
5,49000.0
6,49333.0
7,49528.0
8,49360.0
9,50058.0
10,51855.0
11,54412.0
12,57142.0
13,56650.0
14,54628.0
15,53357.0
16,53522.0
17,56686.0
18,60125.0
19,61285.0
20,59658.0
21,57597.0
22,58405.0
23,59383.0
24,56745.0
25,54574.0
26,53222.0
27,50818.0
28,50129.0
29,52338.0
30,56444.0
31,60260.0
32,62913.0
33,64712.0
34,66170.0
35,67635.0
36,68827.0
37,67686.0
38,65983.0
39,64144.0
40,63700.0
41,65924.0
42,68326.0
43,67828.0
44,64126.0
45,60411.0
46,60433.0
47,61401.0
48,58355.0
49,55309.0
50,53553.0
51,50731.0
52,49848.0
53,51978.0
54,56555.0
55,60765.0
56,63957.0
57,65285.0
58,66301.0
59,67195.0
60,68585.0
61,67995.0
62,66713.0
63,65170.0
64,64679.0
65,67336.0
66,70001.0
67,69914.0
68,66057.0
69,62451.0
70,62580.0
71,63484.0
72,60364.0
73,57457.0
74,55655.0
75,52669.0
76,51616.0
77,53486.0
78,57700.0
79,61599.0
80,64310.0
81,65288.0
82,66158.0
83,67196.0
84,67847.0
85,66864.0
86,65237.0
87,62970.0
88,62132.0
89,64370.0
90,67226.0
91,67314.0
92,64130.0
93,60566.0
94,60575.0
95,61688.0
96,58620.0
97,55718.0
98,54012.0
99,51334.0
100,50574.0
101,52578.0
102,57065.0
103,61604.0
104,64516.0
105,65528.0
106,65996.0
107,66637.0
108,67131.0
109,65603.0
110,64100.0
111,62366.0
112,61768.0
113,64406.0
114,67569.0
115,67552.0
116,64128.0
117,60978.0
118,61638.0
119,62881.0
120,59790.0
121,56850.0
122,54916.0
123,51932.0
124,50491.0
125,51169.0
126,53046.0
127,55189.0
128,57488.0
129,59902.0
130,61616.0
131,62710.0
132,64421.0
133,62867.0
134,60432.0
135,58449.0
136,57881.0
137,60544.0
138,63666.0
139,64039.0
140,61477.0
141,58773.0
142,59882.0
143,61509.0
144,58944.0
145,56069.0
146,54043.0
147,50831.0
148,49268.0
149,49438.0
150,50429.0
151,51518.0
152,52808.0
153,55381.0
154,58377.0
155,60909.0
156,63591.0
157,61944.0
158,59100.0
159,57339.0
160,56786.0
161,59542.0
162,63744.0
163,64960.0
164,62955.0
165,60483.0
166,60876.0
167,61955.0
168,59377.0
169,57154.0
170,55817.0
171,53207.0
172,52632.0
173,55687.0
174,62092.0
175,68827.0
176,71302.0
177,71856.0
178,72189.0
179,72658.0
180,72995.0
181,71900.0
182,70253.0
183,68526.0
184,67984.0
185,70686.0
186,74731.0
187,74522.0
188,70161.0
189,65961.0
190,65901.0
191,66651.0
192,63888.0
193,61280.0
194,59781.0
195,57149.0
196,56447.0
197,59091.0
198,65465.0
199,71819.0
200,73906.0
201,73956.0
202,73628.0
203,73915.0
204,73604.0
205,72240.0
206,70460.0
207,68668.0
208,68230.0
209,70775.0
210,74241.0
211,74068.0
212,69795.0
213,65709.0
214,65536.0
215,66235.0
216,63050.0
217,60143.0
218,58622.0
219,56036.0
220,55345.0
221,58009.0
222,63719.0
223,69767.0
224,72407.0
225,72681.0
226,72114.0
227,72024.0
228,71786.0
229,70182.0
230,68375.0
231,66366.0
232,65942.0
233,68488.0
234,72900.0
235,73323.0
236,69395.0
237,65488.0
238,65513.0
239,66351.0
240,63561.0
241,60880.0
242,59498.0
243,57012.0
244,56299.0
245,58810.0
246,64942.0
247,71523.0
248,73639.0
249,73602.0
250,73123.0
251,72959.0
252,72755.0
253,71594.0
254,70080.0
255,68146.0
256,67880.0
257,70681.0
258,75160.0
259,75335.0
260,71185.0
261,67189.0
262,67284.0
263,67967.0
264,64969.0
265,62453.0
266,61018.0
267,58724.0
268,58090.0
269,60716.0
270,66630.0
271,73282.0
272,75430.0
273,75618.0
274,75468.0
275,75375.0
276,75193.0
277,73705.0
278,71864.0
279,69797.0
280,69177.0
281,71827.0
282,75475.0
283,75007.0
284,71338.0
285,67851.0
286,68362.0
287,69458.0
288,66274.0
289,63322.0
290,61603.0
291,58830.0
292,57474.0
293,58403.0
294,60428.0
295,62928.0
296,65610.0
297,67877.0
298,68661.0
299,68811.0
300,69975.0
301,68318.0
302,65517.0
303,63407.0
304,62764.0
305,65345.0
306,69585.0
307,70183.0
308,67447.0
309,64685.0
310,65770.0
311,67441.0
312,65031.0
313,62636.0
314,60764.0
315,57594.0
316,55799.0
317,56106.0
318,57121.0
319,58520.0
320,60283.0
321,63139.0
322,65505.0
323,66833.0
324,68198.0
325,65537.0
326,62287.0
327,60013.0
328,59298.0
329,62420.0
330,68143.0
331,69727.0
332,67656.0
333,65112.0
334,65500.0
335,66610.0
336,64230.0
337,62082.0
338,60772.0
339,58123.0
340,57519.0
341,60458.0
342,66512.0
343,72668.0
344,74944.0
345,75166.0
346,74915.0
347,75202.0
348,75443.0
349,74474.0
350,73349.0
351,71613.0
352,70795.0
353,72499.0
354,76165.0
355,75838.0
356,71354.0
357,66861.0
358,66626.0
359,67115.0
360,64055.0
361,61199.0
362,59570.0
363,56758.0
364,55894.0
365,58340.0
366,64374.0
367,70614.0
368,72426.0
369,72398.0
370,72120.0
371,72108.0
372,71732.0
373,70383.0
374,68866.0
375,67258.0
376,67065.0
377,69491.0
378,73767.0
379,74244.0
380,69918.0
381,65884.0
382,65867.0
383,66738.0
384,63818.0
385,61474.0
386,60528.0
387,58059.0
388,57430.0
389,60157.0
390,66345.0
391,72611.0
392,75197.0
393,75373.0
394,74808.0
395,74270.0
396,73714.0
397,72002.0
398,70291.0
399,68432.0
400,68149.0
401,70882.0
402,76283.0
403,76537.0
404,72293.0
405,68245.0
406,67981.0
407,68517.0
408,65507.0
409,63234.0
410,61948.0
411,59412.0
412,58306.0
413,60621.0
414,66336.0
415,72321.0
416,73851.0
417,73575.0
418,73050.0
419,73061.0
420,72718.0
421,71333.0
422,69665.0
423,67994.0
424,67099.0
425,69020.0
426,73903.0
427,73948.0
428,69779.0
429,65682.0
430,65588.0
431,66511.0
432,63742.0
433,61126.0
434,59819.0
435,57317.0
436,56751.0
437,59366.0
438,65547.0
439,72121.0
440,74134.0
441,74195.0
442,73555.0
443,72838.0
444,72247.0
445,70444.0
446,68559.0
447,66528.0
448,66016.0
449,68541.0
450,73391.0
451,73578.0
452,70215.0
453,66791.0
454,67379.0
455,68402.0
456,65155.0
457,62310.0
458,60398.0
459,57437.0
460,55997.0
461,56659.0
462,58628.0
463,60826.0
464,63197.0
465,65678.0
466,66982.0
