,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
0,2.0839251907506856e-10,2.0840750887625506e-10,2.0848865451005314e-10,2.0845531654203882e-10,2.0836840084211544e-10,2.0845822462821993e-10,2.084610027067786e-10,2.0849966241748103e-10,2.0825667703247214e-10,2.082956082045264e-10,2.0807078907597193e-10,2.0838076033577632e-10,2.0850511878105994e-10
1,2.175432069648879e-10,2.1761439094975012e-10,2.176464439900449e-10,2.1761052360878374e-10,2.1751814222752054e-10,2.1761408634126006e-10,2.1760413201624193e-10,2.1765944451412958e-10,2.1739933209570945e-10,2.1743998134670746e-10,2.1720480078366235e-10,2.175327564164543e-10,2.1766437143923003e-10
2,2.1300524787321525e-10,2.1304773490156297e-10,2.1310560868119616e-10,2.1307174975761034e-10,2.1298019908846484e-10,2.1307303282066875e-10,2.1306682585460164e-10,2.1311640406037617e-10,2.1286451625420555e-10,2.129064752809808e-10,2.1267520783930632e-10,2.1299377241513448e-10,2.1311956088100493e-10
3,1.9444383901252062e-10,1.9439022920999658e-10,1.9452846480477445e-10,1.9450155780190982e-10,1.9442208737600468e-10,1.94500857917049e-10,1.9448941650886656e-10,1.9453778810229683e-10,1.9432131358774645e-10,1.9435691785930793e-10,1.9415156432043725e-10,1.9443442792996088e-10,1.9453689651160656e-10
4,1.5857976718103764e-10,1.5840564901245092e-10,1.5863760315696111e-10,1.586202258881677e-10,1.58564062988927e-10,1.5861958661702263e-10,1.5860943426034378e-10,1.5864429918290283e-10,1.5848701293426943e-10,1.585155851584033e-10,1.583581572144808e-10,1.5857310076030632e-10,1.5864353851805448e-10
5,1.5860607142702304e-10,1.5843277764124508e-10,1.5866366828794206e-10,1.58646225158217e-10,1.5859059676486576e-10,1.586453391216961e-10,1.5863355891959276e-10,1.5867023767877948e-10,1.5851378439742716e-10,1.5854069338535755e-10,1.583850770622415e-10,1.585993997445427e-10,1.5866930262341015e-10
6,1.604952610875783e-10,1.60327092343593e-10,1.6055385511008775e-10,1.605361788705042e-10,1.6047853619181903e-10,1.6053573126277325e-10,1.6052665540690188e-10,1.6056028801163272e-10,1.6040026035115069e-10,1.6042724003365027e-10,1.602710868920105e-10,1.6048829472707288e-10,1.6055935720797236e-10
7,1.7580498978576544e-10,1.7568011903387876e-10,1.7587489662372051e-10,1.7585387443025698e-10,1.7578643301805376e-10,1.758520098430607e-10,1.758450182848833e-10,1.7588076866272702e-10,1.756972645447765e-10,1.7572611703550427e-10,1.7555036464699214e-10,1.757966685283119e-10,1.7587902292946075e-10
8,1.9186587157747136e-10,1.9180136617795656e-10,1.9194346489314035e-10,1.9191873163055582e-10,1.918444435502885e-10,1.9191912292669002e-10,1.9189922176693262e-10,1.919531787004292e-10,1.9174512692156226e-10,1.9177677681787574e-10,1.917107591669121e-10,1.9185501206559127e-10,1.9195145544077571e-10
9,1.8746365636667788e-10,1.8738318943358619e-10,1.8754098393910312e-10,1.875185673394259e-10,1.8744625301341386e-10,1.8751742826038863e-10,1.8750502468813779e-10,1.8754949991297242e-10,1.8734910051438382e-10,1.8738183208405747e-10,1.874998641747295e-10,1.8745575897778056e-10,1.8754752884085836e-10
10,2.3208738730866978e-10,2.322614191324998e-10,2.3219606897996528e-10,2.3216481196284508e-10,2.3206420753534553e-10,2.321643886483307e-10,2.3215318805098816e-10,2.3221331210877458e-10,2.3193238554103487e-10,2.3197766508261e-10,2.321822835707606e-10,2.3207622663189223e-10,2.3221197442579787e-10
11,4.086428261028828e-10,4.1157866764700535e-10,4.089044750016625e-10,4.0882663672393634e-10,4.0859665776334377e-10,4.088250744373317e-10,4.088207452297864e-10,4.089544111863841e-10,4.0831983622999015e-10,4.084160348646699e-10,4.0890236407825795e-10,4.086201632240937e-10,4.08954138837744e-10
12,4.6169781621673104e-10,4.659041255079405e-10,4.6200957912845224e-10,4.619112914143472e-10,4.6163275141200127e-10,4.6191281421699035e-10,4.6192249572942114e-10,4.620736045836689e-10,4.6131423481726037e-10,4.6142622473533877e-10,4.6202117017971374e-10,4.616696299462034e-10,4.620808128429054e-10
13,5.005977790947908e-10,5.05843704608073e-10,5.009459060142904e-10,5.008285844432835e-10,5.005216288708264e-10,5.00833523924332e-10,5.008587305821025e-10,5.010214836815125e-10,5.001681711038972e-10,5.003004766966167e-10,5.009590200221648e-10,5.005639285694988e-10,5.010336456201388e-10
14,4.88495019102616e-10,4.93389721202377e-10,4.888456731293669e-10,4.887230009368719e-10,4.884197868053647e-10,4.887287361360888e-10,4.887268550976652e-10,4.889309304101096e-10,4.880624897567024e-10,4.881946580309245e-10,4.888588466548716e-10,4.884589289362757e-10,4.889572148441216e-10
15,3.838325433241453e-10,3.8621007222444434e-10,3.840898501093905e-10,3.840055749778614e-10,3.8378767645843694e-10,3.840090375713068e-10,3.8398075348388496e-10,3.8414224171931055e-10,3.8352962766216676e-10,3.836189000892305e-10,3.840897401724549e-10,3.838168942815175e-10,3.8416007277867726e-10
