,demand
0,392.0604165855194
1,1078.5929712835652
2,1315.850432254838
3,1387.476059994816
4,1966.1103793020193
5,2578.302932732243
6,2924.332149051694
7,2764.493927940869
8,2689.9697230571946
9,2456.534332123446
10,2895.638027557782
11,3046.3597109338284
12,2827.73572155202
13,2844.9793465120106
14,1587.952181050844
15,1271.0689276265673
16,1155.2647869573757
17,695.8311604356694
18,7.770138612738228e-10
19,8.243308028467214e-10
20,6.229698885799829e-10
21,847.8099235562427
22,688.0125254112431
23,7.246842077501944e-10
24,224.68012762997537
25,1493.0729101536615
26,2344.2138890168544
27,2736.7486543081545
28,3302.7358122173537
29,2218.9890378490963
30,5.589747720696102e-10
31,5.223846676342216e-10
32,8.24387317619176e-10
33,1.4653807678470752e-09
34,1.8224945298146285e-09
35,2.6376225754168496e-09
36,1.0884455873630513e-08
37,6.585993585035616e-09
38,2.25213210224249e-09
39,1.0939920516357659e-09
40,8.320655724365948e-10
41,8.609809064963729e-10
42,9.641298446822962e-10
43,7.092433176886401e-10
44,5.588465525016582e-10
45,290.89339899739497
46,770.8323368456164
47,1330.5232922294308
48,3790.1701576203845
49,2183.996499804104
50,2658.6446860085625
51,2706.4080177328924
52,2779.327156257301
53,1452.9558224813563
54,788.703966163792
55,82.82278968159594
56,7.276175139596924e-10
57,7.397468174517481e-10
58,6.916354900996888e-10
59,6.689992130751155e-10
60,7.245058650571707e-10
61,9.712564510791472e-10
62,1510.4022681945105
63,1545.214596990826
64,1612.3343289542602
65,916.4259525936769
66,7.039204688894645e-10
67,6.113947208279228e-10
68,5.769647470307015e-10
69,2089.640300016857
70,2172.3933059629794
71,2281.285544133617
72,1868.6508361190538
73,2571.1290824533125
74,3495.8220690663748
75,2984.3542252255093
76,3318.7371527285477
77,2179.519385929828
78,1451.6286209508387
79,534.4395172432502
80,8.820229264746334e-10
81,9.849225617036423e-10
82,8.669745341065399e-10
83,8.779621222666425e-10
84,8.716399324652877e-10
85,8.107247057876269e-10
86,5.98018419320622e-10
87,4.83867527179998e-10
88,4.84813360224619e-10
89,4.784580220900888e-10
90,5.890152766852587e-10
91,6.146812879937383e-10
92,835.3364008514221
93,2309.9973320200356
94,2147.605986810419
95,1978.6255794758347
96,2697.179935324114
97,3425.907533461182
98,3638.590766711272
99,2600.853322850128
100,2230.378732943484
101,1821.8630103813798
102,1769.2532001034963
103,6.302368746047503e-10
104,1.077357543617869e-09
105,1.259375662564625e-09
106,1.498257290695782e-09
107,3.9999117554678295e-09
108,5.634007082335475e-09
109,740.1503610509934
110,852.287549670659
111,1.2740246699321419e-09
112,1.0120142091708313e-09
113,1.3085297209204227e-09
114,5.771395485102687e-09
115,8.269870519523295
116,2.0954572560868657e-09
117,1.2318761664515207e-09
118,1.4437589317284088e-09
119,2.13299017018316e-09
120,1058.0191478663278
121,1795.3533324223185
122,2552.94917023089
123,2470.4115668867043
124,3849.0526946731106
125,4050.4532531736013
126,3685.356121194486
127,2681.4105220832107
128,6.706904423355558e-10
129,9.073529233203352e-10
130,7.184262761930876e-09
131,49.42247465598815
132,97.3919891893591
133,34.280262947199674
134,4.770038420918929e-09
135,972.9265520132332
136,7.056917503789745e-10
137,7.836746600881114e-10
138,1.1116257828927056e-09
139,1.2305070540489883e-09
140,7.131716827629172e-10
141,6.264762190512431e-10
142,6.907997947346166e-10
143,7.505913978355562e-10
144,771.9105364719546
145,2374.543149055412
146,2860.4826999939028
147,2298.0514504365133
148,3551.5164236983696
149,4015.917266572352
150,4189.005113910149
151,3640.775487631079
152,3191.9187935260497
153,2197.3513294786017
154,1445.2165557608628
155,751.388862181558
156,4.554204013578358e-10
157,5.431415567116756e-10
158,869.8174699116385
159,1462.7511326195897
160,1118.8468071787777
161,581.4205138623134
162,7.788274477253843e-10
163,9.827920334583501e-10
164,382.38882692505496
165,1721.156293339917
166,1888.356733882158
167,803.9962400288761
168,650.1278279743537
169,1939.79695474316
170,2991.4754395046484
171,2257.790344649638
172,3843.9954581606835
173,2486.0531491036404
174,1644.7159397307225
175,8.420688836996291e-10
176,2.162425872218469e-09
177,1.902767294215133e-09
178,1.2935553324014293e-09
179,2.0029378058018397e-09
180,3.13250666349765e-09
181,3.5147310251137053e-09
182,1.5560364103586265e-09
183,1.1780854271408048e-09
184,8.008948000925627e-10
185,1.9082751764487234e-09
186,3.7194411449710786e-09
187,1.5332862640316341e-09
188,8.806796786237606e-10
189,2144.2570030595853
190,2076.1747126646546
191,796.3809124830746
192,1898.2465250036635
193,2808.9194254798917
194,2794.6595040774027
195,2802.232081602551
196,4011.118166236902
197,3819.106335504987
198,2073.210247409799
199,1.3239845455322619e-09
200,5.465325448267053e-08
201,99.83236935419562
202,2.8058888275404455e-09
203,4.204559027499459e-09
204,3.3188729105442953e-09
205,453.0439822669504
206,1380.8456677128997
207,1550.1374535619302
208,982.0322407145719
209,1.9624068252555135e-09
210,6.4412622700061204e-09
211,1.7728968608717107e-09
212,1399.0562144101832
213,2880.834182593063
214,2865.9986087818393
215,1778.1069401247635
216,1667.31800263167
217,2622.939413046897
218,2069.9303961643645
219,2407.105231703453
220,3535.0054960197112
221,3659.729285629699
222,2073.2392678996216
223,1.0164477597821356e-09
224,2.6728238118159246e-09
225,2.8083510190842384e-09
226,2.177258231935845e-09
227,1.2716455196638079e-09
228,1.1558869445110248e-09
229,9.995163407674546e-10
230,7.699892825684932e-10
231,6.086131941177001e-10
232,5.210842193418506e-10
233,6.417158966788902e-10
234,1.4792154776154409e-09
235,1.511014757691615e-09
236,9.968842048368047e-10
237,1566.9901666254484
238,1537.5904502093465
239,1364.5636778953333
240,1702.4410953919944
241,2644.937285622975
242,2864.9136046247186
243,2483.16210985378
244,3702.711032781823
245,3158.9440266092856
246,1561.3888790773303
247,8.858078369290586e-10
248,6.592693740905075e-09
249,5.538756733486959e-09
250,1.5739876820340994e-09
251,1.265632534599059e-09
252,8.789605129474228e-10
253,7.992578994131639e-10
254,6.056279116618068e-10
255,5.549272031526275e-10
256,5.579020879893517e-10
257,1.3381969499052457e-09
258,1.8798568409483488e-06
259,2.5255293999352395e-09
260,9.871322625006404e-10
261,1801.5490132170846
262,1016.9320684529084
263,1.6042319398707393e-09
264,538.8057442121245
265,1916.1097536112586
266,2343.267927917779
267,2540.0745842820506
268,3719.720646610977
269,2846.5447329786048
270,2.029543065534961e-09
271,116.62713217551081
272,380.5789351666341
273,390.60387108670807
274,278.36703400890775
275,250.86890980959143
276,312.9419720641657
277,140.29266433605332
278,2.3959317206734347e-08
279,3.081564144136163e-09
280,5.891026770459076e-09
281,324.9964688075882
282,437.4880991983968
283,367.45484914275596
284,214.38077838556615
285,1271.713916811176
286,267.6304997585476
287,1.3011588068896176e-08
288,408.6569517260505
289,901.8145382794926
290,1749.101232843796
291,2886.5104003174183
292,4116.456747272704
293,4553.199165343558
294,4450.275976339015
295,2155.1532023892264
296,8.263661311811544e-09
297,146.95447069951433
298,235.09494893698732
299,269.2285782948741
300,276.99519193861494
301,171.02384071530648
302,1.0568012487469376e-08
303,2.8075725392654618e-09
304,2.536014201362292e-09
305,5.2340154366915224e-09
306,1.0484357559634934e-08
307,26.738378919067884
308,8.382134503867036e-09
309,2027.0718396129557
310,2072.7381149627668
311,841.6741581881175
312,917.9946899056378
313,1863.246881228629
314,2261.19927112561
315,3041.274822111039
316,3979.9224305690163
317,4611.410771672924
318,4381.800966655048
319,4182.157167375484
320,3044.1180806758716
321,2099.4975945112606
322,1333.1546186860828
323,122.02018169356045
324,236.0629644473383
325,183.28016176884657
326,2222.7770240005098
327,3269.362649383026
328,3506.788528848702
329,2241.0037476740576
330,228.84238340284983
331,203.80077651112808
332,65.56641008124922
333,4.88011835401159e-09
334,2.942798550179243e-09
335,8.533525181512404e-10
336,584.3361904189551
337,2705.7866771266126
338,3460.5012100489157
339,2972.2457405494565
340,4010.249218048251
341,3770.6824161248824
342,1734.0170889250373
343,1.709930255513571e-09
344,4.475042426113237e-09
345,4.0910124591192906e-09
346,1.074541704172629e-09
347,9.150894010078027e-10
348,8.614775131571748e-10
349,9.316987488332423e-10
350,1.0455274782309305e-09
351,7.590965306448196e-10
352,6.618801730828491e-10
353,8.495894343543965e-10
354,1.0923304442742172e-09
355,7.669070717577259e-10
356,6.355440840251126e-10
357,1343.6793353955252
358,712.8239361554428
359,3.3780385476842024e-09
360,622.6646202188738
361,2221.934582220389
362,3013.4242892989873
363,2802.3703595639404
364,3847.6560675834476
365,3724.4012977797424
366,3038.574681908079
367,8.320243294219507e-10
368,1.2198396091638696e-09
369,9.543604649402928e-10
370,9.400277857461472e-10
371,1.0198552228340697e-09
372,8.780244720039076e-10
373,8.674606253677434e-10
374,5.0235091487424116e-09
375,694.1417071296623
376,1.2773380793536107e-09
377,2.8222778634368878e-09
378,165.53505194482315
379,262.25151051943345
380,52.832675452371504
381,3463.700838658253
382,3419.130005451531
383,3259.2223632913606
384,1179.454153620802
385,2034.0097195401643
386,2717.9592047896494
387,2659.0294319210416
388,3159.6628501446708
389,2799.7839962003086
390,1674.061150731582
391,8.838498373968784e-10
392,1.527911484449215e-09
393,9.592675681011609e-10
394,1.257865892088033e-09
395,1.1431917818847254e-09
396,9.974299900264537e-10
397,9.41500457839073e-10
398,62.56764464543536
399,1372.6607078189927
400,1122.6265608676902
401,9.057165639257244e-10
402,7.797400616195395e-09
403,6.903947861126172e-09
404,1.0973917844962587e-09
405,1457.2886859061446
406,1621.197186912114
407,1200.175188583294
408,2185.343302461104
409,2796.7516246831165
410,2831.1768674805635
411,3115.592784161342
412,3111.224337946961
413,3905.821744027293
414,2502.1355777949784
415,7.149379612418769e-10
416,8.131877659656312e-10
417,1.0521750862010074e-09
418,9.914865669985177e-10
419,1.1160577655206703e-09
420,1.0853346883341215e-09
421,1460.8448850927284
422,1895.2082445295964
423,2133.6529926579337
424,1738.372802352331
425,2.1621237621969886e-09
426,30.754651252302395
427,6.886673187932688e-09
428,1413.819969634641
429,3574.429069225829
430,3311.911200643827
431,1826.8622374766344
432,2067.4881752640194
433,1846.5665035879094
434,1693.6202939578534
435,2903.5285451599807
436,3813.981148261124
437,3195.2346555985982
438,8.404212008348898e-10
439,1.9451252712593586e-09
440,20.6608235447069
441,127.43244359986019
442,147.027201617082
443,8.326758678227408e-09
444,3.752282771126331e-09
445,2.025647624327426e-09
446,1.1945529261719746e-09
447,9.315439058979846e-10
448,8.444113593546455e-10
