,demand
0,8.868516009189158e-11
1,1.0145283693903327e-10
2,9.058451674131235e-11
3,1.0628308815875095e-10
4,1.58912489112102e-10
5,1.525124324655516e-10
6,1.2268606068954328e-10
7,1.2069753406090814e-10
8,1.0192340175202276e-10
9,1.4459931384603905e-10
10,1.5232179131683458e-10
11,1.5164782664139426e-10
12,1.9761266821733397e-10
13,3.794142343862903e-10
14,2.0060860835249404e-10
15,1.1365332500827671e-10
16,8.558479311844378e-11
17,5.351141367473853e-11
18,5.1877285165934017e-11
19,6.140803986622427e-11
20,7.376447200958651e-11
21,1.1290446925845455e-10
22,1.2672368244173006e-10
23,1.0992707759576302e-10
24,1.0621709980979372e-10
25,1.1305184593775759e-10
26,1.301490896364474e-10
27,2.0294875450488395e-10
28,1.9710676813496232e-10
29,1.0653591729151046e-10
30,1.0463405641681517e-10
31,1.0546829376668405e-10
32,8.411652533273355e-11
33,9.701907186719897e-11
34,9.896512277791579e-11
35,1.0720424924189953e-10
36,1.1248696794526148e-10
37,1.280376238412227e-10
38,1.1920097904555846e-10
39,1.147998424304784e-10
40,8.495069467468475e-11
41,6.83847145814117e-11
42,6.676878523926554e-11
43,6.988132176366958e-11
44,8.439679582413755e-11
45,1.1377879489290803e-10
46,1.180819458828372e-10
47,1.1326969909695655e-10
48,1.075673545334179e-10
49,1.0393860941120164e-10
50,1.0063935037435152e-10
51,9.587021188517419e-11
52,9.894418446086353e-11
53,9.788385165842389e-11
54,9.763132549521443e-11
55,8.276057673962991e-11
56,8.627234216639619e-11
57,9.734548636663154e-11
58,1.1388500977418642e-10
59,1.2569595817403052e-10
60,1.2905108274247135e-10
61,1.2286962401406099e-10
62,1.2378702824890894e-10
63,1.0618999379623032e-10
64,8.552219677592978e-11
65,7.159747489805646e-11
66,7.410569671680749e-11
67,7.575034960703873e-11
68,1.0303424123222456e-10
69,1.1880809696471558e-10
70,1.079877479251239e-10
71,1.0431239281240852e-10
72,1.0384840062047936e-10
73,1.6145483406583167e-10
74,2.420528744380963e-10
75,2.3455130186005807e-10
76,1.7733857361076907e-10
77,1.023072516445098e-10
78,9.80702267861852e-11
79,7.240860185879698e-11
80,6.952351640745622e-11
81,7.104324303987009e-11
82,9.420989288908375e-11
83,9.724145681117186e-11
84,1.0191953903699417e-10
85,1.2048824499503237e-10
86,1.2807405095227204e-10
87,1.2504505668698925e-10
88,1.1396652465935761e-10
89,8.249304614810747e-11
90,8.635183770138289e-11
91,8.335138719810147e-11
92,1.0351019668373692e-10
93,1.3099223366037884e-10
94,1.3880647038627107e-10
95,1.3122855995073743e-10
96,1.5011160088125703e-10
97,1.6022233816150814e-10
98,1.641085082655054e-10
99,1.5708704762629916e-10
100,1.3896237857121854e-10
101,9.818560384649975e-11
102,9.045254998924533e-11
103,8.469092731415463e-11
104,9.361872056178459e-11
105,1.079115803284089e-10
106,1.0931379675520887e-10
107,1.117955416099546e-10
108,1.082663638977984e-10
109,1.1779578507970111e-10
110,1.2800352113196476e-10
111,1.17450894964126e-10
112,8.315022049948e-11
113,5.992443750625845e-11
114,6.234325525406009e-11
115,6.72491579488688e-11
116,8.983842345768275e-11
117,1.2094798046896858e-10
118,1.3425707700583503e-10
119,1.2220217673778727e-10
120,9.689025847648663e-11
