,demand
0,8.806705845035945e-11
1,1.018100093987029e-10
2,1.5333443024599484e-10
3,4.1353460761495207e-10
4,1.2398844093883902e-10
5,1.3572848761791857e-10
6,1.876056511004271e-10
7,2.1811397637774687e-10
8,3.0095958814747297e-10
9,1.5582902792075403e-10
10,2.3616992004744054e-10
11,1.5456381999523502e-10
12,1.4098182692678099e-10
13,1.9090976334574362e-10
14,1.5006175006638904e-10
15,1.4768282259259683e-10
16,1.2420770357638323e-10
17,7.362974478500365e-11
18,5.0260755719262745e-11
19,5.942115604276349e-11
20,4.670069093681102e-11
21,3.5507005115473856e-11
22,3.186367086960665e-11
23,3.0382319966501716e-11
24,3.105236778474334e-11
25,5.4530902226099773e-11
26,8.524972813391707e-11
27,1.220124152762518e-09
28,83.16753392358848
29,45.978368524848776
30,57.81174998169441
31,1.2685394982900838e-10
32,7.743259261397859e-11
33,5.64196153473369e-11
34,5.366430673819582e-11
35,5.928093953897469e-11
36,6.239913272454368e-11
37,6.290799884384348e-11
38,7.844096104254197e-11
39,1.3523705821302246e-10
40,1.544721966825401e-10
41,1.479014682660272e-10
42,5.5964916954234935e-11
43,3.8773989488727265e-11
44,3.8279086886071114e-11
45,7.78176755603815e-11
46,6.800453519204488e-11
47,5.445452026911073e-11
48,7.603451475122455e-11
49,8.809867163525584e-11
50,2.127837660752292e-10
51,3.9393984910932494e-10
52,3.1531608905018806e-10
53,2.0724316741099836e-10
54,2.734252177916095e-10
55,3.205969692933225e-10
56,1.5571196079664453e-10
57,1.0745108641774957e-10
58,8.543680745769588e-11
59,1.0700872583233874e-10
60,7.003734559687498e-11
61,1.0210285610487061e-10
62,8.67881674886873e-11
63,8.771339740643904e-11
64,8.255916171421493e-11
65,7.577496524649582e-11
66,6.364561323569881e-11
67,5.6073164937518116e-11
68,5.804283907025517e-11
69,5.98194413148347e-11
70,5.235282104466147e-11
71,3.8249649148775666e-11
72,3.651191229287951e-11
73,5.850383479530359e-11
74,1.3610377465400352e-10
75,1.5427953549679734e-10
76,3.087890187332009e-10
77,2.521395620315486e-10
78,2.0372481132975892e-10
79,7.148818017984103e-10
80,21.637608863230575
81,9.089374838560993e-09
82,1.6386238498872775e-09
83,4.666145219073008e-10
84,3.7181846385781717e-10
85,5.919642965725306e-10
86,2.4274060693658123e-10
87,2.536971803777212e-10
88,2.0438066446988232e-10
89,5.7649502029751243e-11
90,6.269877862089444e-11
91,6.14353487901125e-11
92,6.119416901074486e-11
93,5.829315248448017e-11
94,5.916100128234206e-11
95,1.4188523176586358e-10
96,3.171709623393353e-08
97,140.43261179308163
98,98.81761631880282
99,105.41660599099167
100,101.9365388541535
101,124.08079811226823
102,108.22338041759193
103,47.4157340113129
104,32.32467910044874
105,5.590798773518181e-10
106,2.0011070441610663e-10
107,1.3259505216496804e-10
108,1.0419958756287998e-10
109,2.0399026787109766e-10
110,1.8909742469885094e-10
111,9.439771471298287e-11
112,8.41137733938301e-11
113,7.663002527056559e-11
114,7.745547935598404e-11
115,7.157332825685669e-11
116,8.532646941367551e-11
117,8.535597706841037e-11
118,1.2253260204504834e-10
119,1.1051176473078287e-10
120,9.648785657041646e-11
121,4.633871812812559e-11
122,4.341784737259611e-11
123,1.2607064594969954e-10
124,5.192284647401637e-10
125,3.3000022609989127e-10
126,2.2062544335749327e-10
127,2.93729470943169e-10
128,1.0749258707955279e-10
129,1.2841037688990017e-10
130,1.9100259513317023e-10
131,1.6554830375520062e-10
132,1.3095929662922113e-10
133,1.2221868711539887e-10
134,9.890105037780488e-11
135,1.0714043176065017e-10
136,7.169745383184004e-11
137,6.5328708686895e-11
138,5.870953720263287e-11
139,5.627463774839415e-11
140,5.546972422543514e-11
141,5.162774292252694e-11
142,4.8689536871668666e-11
143,5.595594256204408e-11
144,5.323286902766201e-11
145,4.609127791540074e-11
146,6.048965802846412e-11
147,1.124854024321613e-10
148,1.9559007617399942e-10
149,4.276740528186784e-10
150,2.5502618464156233e-10
151,1.849640917047489e-10
152,6.944490808941273e-11
153,9.168211354616953e-11
154,1.967094895757087e-10
155,1.640238578009555e-10
156,2.0069889296662966e-10
157,1.7268353225297785e-10
158,2.1779199247091908e-10
159,1.5759350177361787e-10
160,2.477003001857682e-10
161,3.733843390581462e-10
162,4.5803168203914037e-10
163,1.1783000282128166e-10
164,2.3902574557653095e-10
165,4.974364442825603e-10
166,1.6143407003885315e-10
167,3.7414654750969846e-10
168,1.0665689617777909e-10
169,4.378597986714399e-10
170,20.308824297941776
171,18.27696404670506
172,22.471451990247292
173,24.37534593284499
174,22.076501684733287
175,3.1834579777369647e-10
176,1.851157987847453e-10
177,2.541011526129028e-10
178,1.8605228229718977e-10
179,8.916819029405445e-11
180,9.478251968023432e-11
181,1.557378730577161e-10
182,2.524175862350838e-10
183,1.1527065198404766e-10
184,1.8181048530334223e-10
185,1.3396200504395406e-10
186,1.0539724709914751e-10
187,9.719212158801957e-11
188,7.950758804488509e-11
189,1.3260557279347179e-10
190,8.80263531392735e-11
191,9.370025015382217e-11
192,6.005530785077869e-11
193,6.242715034820083e-11
194,1.1441683695291342e-10
195,3.117891277134973e-10
196,2.101642491336455e-10
197,4.5028944419606193e-10
198,3.4704094609126345e-10
199,2.89800376106934e-10
200,1.6216533292978744e-10
201,1.672206518708782e-10
202,1.231763725040597e-10
203,2.3265194262964354e-10
204,3.7319004576496394e-10
205,5.191142588098189e-10
206,3.630532891419981e-10
207,1.3785382127895952e-10
208,5.1107025857478713e-11
209,5.910208110050145e-11
210,6.337308656745748e-11
211,4.575852763176425e-11
212,3.857369383225178e-11
213,4.0534086770735676e-11
214,4.2598885329831273e-11
215,3.822616153094199e-11
216,4.14097389844001e-11
217,8.027196648483815e-11
218,2.956290406646992e-10
219,1.2187401168601353e-09
220,2.903090020531455e-10
221,2.1165509233429947e-10
222,2.486704238799551e-10
223,1.9215139500723672
224,1.344751723853576e-10
225,5.357256493372288e-11
226,4.9332753681992584e-11
227,5.8028099672389297e-11
228,5.006479163037285e-11
229,6.310101038683512e-11
230,7.275591090274692e-11
231,6.124656805732155e-11
232,4.8317796760187605e-11
233,4.2124514201576846e-11
234,4.117882074276194e-11
235,4.8183291245741145e-11
236,6.353281083307416e-11
237,7.96463282965603e-11
238,8.38152621168162e-11
239,1.7848155971317172e-10
240,1.2773335407698874e-10
241,3.442706419191451e-10
242,1.8853331967040727e-10
243,3.982955281687519e-10
244,4.3110487526468683e-10
245,3.953421820266957e-10
246,2.326170315122464e-10
247,1.343975504880677e-10
248,4.412986732424564e-11
249,3.267235431458987e-11
250,3.5122958263165747e-11
251,3.306252345304323e-11
252,3.796156330182031e-11
253,4.3085906489778505e-11
254,4.5464230871136567e-11
255,5.052385454670767e-11
256,4.582391081956135e-11
257,4.399821708971927e-11
258,4.298090076435549e-11
259,4.397389214084182e-11
260,6.418637162992178e-11
261,6.636439751312328e-11
262,1.3155329888686413e-10
263,1.0436694395705538e-10
264,7.564006849445628e-11
265,8.587934439350145e-11
266,1.3242823881787385e-09
267,37.561199454486264
268,40.676118232007234
269,2.72099721613648e-08
270,7.0108078465486e-10
271,1.719793868784665e-10
272,1.0828071826040698e-10
273,1.2588185618850352e-10
274,9.514705998449322e-11
275,1.6361508878383455e-10
276,1.2346783323698815e-10
277,1.2199252103951288e-10
278,1.1034761794656268e-10
279,9.043445174252859e-11
280,7.674279096836432e-11
281,7.648436726616679e-11
282,5.907590769164346e-11
283,5.337085753590288e-11
284,6.971857484980603e-11
285,9.912751806486758e-11
286,1.2691519718512457e-10
287,9.458305732125384e-11
288,5.7989938484813324e-11
289,7.1237299007816e-11
290,1.1230543005350877e-10
291,1.1204441137698229e-10
292,8.623486027373367e-11
293,8.926338185898888e-11
294,9.237090984095228e-11
295,7.567187476701816e-11
296,4.5946745509626294e-11
297,4.725753618251443e-11
298,4.270377918735652e-11
299,4.3664180393860954e-11
300,8.495706118882958e-11
301,1.774476759895989e-10
302,1.3477180554326557e-10
303,1.5814005065304674e-10
304,2.245928389278881e-10
305,1.3388437307940233e-10
306,1.404212884481407e-10
307,1.162913420846159e-10
308,9.880392145946258e-11
309,7.169067449078037e-11
310,4.846521031576576e-11
311,4.6461604016681166e-11
312,6.841470574374812e-11
313,5.7463805755174663e-11
