,demand
0,262.25345199457394
1,231.50262189881593
2,0.6252928481046479
3,0.583134660147712
4,0.6048561326313753
5,0.8017391013870973
6,5.042460224229451
7,0.8042179083273904
8,0.7995027622253242
9,0.8080126700611505
10,243.75734478799413
11,256.5067945668777
12,249.75652685982968
13,246.50622447847954
14,235.7556344327792
15,260.7560645361084
16,9.218634653678887
17,0.22470164085369934
18,0.21473551084956952
19,0.19817408126426267
20,0.17819194798369953
21,0.15440662789708018
22,0.11495375693293425
23,1.1171884905091207
24,1.4055794088713292
25,1.5439726929985043
26,2.1176640689707456
27,9.027897761814294e-12
28,8.02105227733448e-12
29,1.0040811811990069e-11
30,7.861912144210892e-12
31,1.1312372283940327e-11
32,1.2536911869832471e-11
33,1.0182475259667243e-11
34,1.044654034264232e-11
35,1.082143385547085e-11
36,9.866158919365555e-12
37,1.1034491297046427e-11
38,9.554191507266602e-12
39,1.1266918343004938e-11
40,1.384571165975142e-11
41,1.4790312401584123e-11
42,9.049323657824391e-12
43,8.699261379160645e-12
44,1.0316588032522484e-11
45,1.1005975252959488e-11
46,7.28721195194736e-12
47,6.818535250633887e-12
48,8.145246037865111e-12
49,1.3999565061662183e-11
50,1.726512373437921e-11
51,1.768959092269092e-11
52,1.3225558976870341e-11
53,1.1558451211520733e-11
54,1.666379702010699e-11
55,1.65333176544017e-11
56,1.524150883276091e-11
57,1.4454665878357615e-11
58,1.3514173675173107e-11
59,1.633721665840055e-11
60,1.5133125751064323e-11
61,1.689944760816517e-11
62,1.5966415512459046e-11
63,1.4594839407590797e-11
64,1.3388521104727926e-11
65,1.621119319099122e-11
66,1.7640227592581526e-11
67,1.6448002910796968e-11
68,1.3896931601188915e-11
69,1.3357291834451e-11
70,1.3853443800644025e-11
71,1.4214203613979849e-11
72,1.6623522474974857e-11
73,3.047120845140236e-11
74,3.8456649694511815e-11
75,4.482677797725303e-11
76,1.6224152035235247e-11
77,1.667588921599468e-11
78,1.6852832771352208e-11
79,1.4835196265907202e-11
80,8.768022787084358e-12
81,1.036804021524999e-11
82,1.1103013308943293e-11
83,1.3139878143622168e-11
84,1.5322720534180417e-11
85,1.3299914855200074e-11
86,1.1578746664995504e-11
87,1.2127845632087045e-11
88,1.7428096544033145e-11
89,1.613204508221189e-11
90,1.3624283436133121e-11
91,1.276550944284312e-11
92,1.2094493318083085e-11
93,2.0048683330952527e-11
94,32.38269091800841
95,25.479342246450344
96,1.5257906053093524e-10
97,6.124004233511211e-11
98,27.632244377992475
99,4.78182235424245e-10
100,4.4925228446235227e-11
101,1.9713262600023076e-11
102,2.0700242040272698e-11
103,1.4330731394231752e-11
104,1.1540762424965003e-11
105,1.1452264603841005e-11
106,1.1060617598588164e-11
107,1.0398467138099262e-11
108,9.49502644508273e-12
109,9.384720287503277e-12
110,9.632692620974412e-12
111,1.00742616754473e-11
112,1.056507480536063e-11
113,1.1757875931799096e-11
114,1.1768519061672421e-11
115,1.3085531038852792e-11
116,1.301345497069524e-11
117,1.655942913646091e-11
118,1.049151058837366e-11
119,1.0357992806295835e-11
120,1.0546844101696265e-11
121,1.3933215320617634e-11
122,1.5316958456950022e-11
123,1.735900566274563e-11
124,2.4258316926009218e-11
125,2.7210580765010546e-11
126,2.8757935247235305e-11
127,2.3476654469234643e-11
128,2.4722539128546134e-11
129,1.5995588869560186e-11
130,1.2398699148562319e-11
131,1.3995174309169168e-11
132,1.3006838617740174e-11
133,1.3169307072791053e-11
134,1.423806282859111e-11
135,1.898860321263676e-11
136,1.6015457455019823e-11
137,1.432411818509528e-11
138,1.1851638624303444e-11
139,9.904877388065817e-12
140,1.0009126398226408e-11
141,1.0033524133513499e-11
142,6.442221184103587e-12
143,8.034812143289482e-12
144,9.167316348660293e-12
145,1.0971929615065949e-11
146,3.8468526325423154e-11
147,3.846551915117876e-11
148,1.180719998635971e-11
149,1.1649282560536453e-11
150,1.2926566713304386e-11
151,88917.66015672356
152,1.2841046317345904e-11
153,1.4321382691609941e-11
154,1.864848034937843e-11
155,1.9412732329144977e-11
156,1.8211144953880354e-11
157,1.948259847022114e-11
158,1.8524108677770673e-11
159,1.580054858393442e-11
160,1.5829824883156843e-11
161,1.751142077309739e-11
162,1.5442014991518924e-11
163,1.7946936976621998e-11
164,1.6676700609205928e-11
165,1.526429629915962e-11
166,1.2754883500914667e-11
167,1.3867881633613562e-11
168,2.4980202529527373e-11
169,3.2070252130744364e-11
170,4.727426317859488e-11
171,1.7351689369257157e-11
172,1.794426345554721e-11
173,1.348385353133989e-11
174,1.1260642690227437e-11
175,1.0785725240743398e-11
176,1.3808122406618715e-11
