,demand
0,144.19518217758286
1,105.44969521228872
2,7.859390722235137e-11
3,7.291190884007951e-11
4,7.747005470891781e-11
5,1.9537377530164184e-10
6,2.5508600518545977e-10
7,2.1011837436375852e-10
8,3.709294471083415e-10
9,2.5565124186686635e-09
10,218.6797095515852
11,235.42849024089705
12,237.67355241932302
13,236.81606949724087
14,225.74520499085483
15,249.80439590256287
16,4.868296162840346e-09
17,1.1054060518788996e-09
18,1.5884367808340939e-09
19,1.1842549181333056e-09
20,8.693832651252646e-10
21,4.858614316014334e-10
22,2.909437215083182e-10
23,4.5149091192432504e-10
24,20.894917116286972
25,10.88094362523846
26,2.10174801892994
27,4.418835261853733
28,18.118341942255466
29,1.1071919485423047e-09
30,3.5290973566615247e-10
31,1.2095157368590548e-10
32,1.2284501039559204e-10
33,9.174907156933917e-11
34,9.589962329775829e-11
35,9.959263047087266e-11
36,9.256984958799362e-11
37,1.0301655029270392e-10
38,9.170977066436044e-11
39,1.079418558095859e-10
40,1.3187190905091438e-10
41,1.4188802398610363e-10
42,8.787256968756106e-11
43,8.771247970362127e-11
44,1.0600130309787313e-10
45,1.0821918382496011e-10
46,6.57625927617367e-11
47,6.139041683125816e-11
48,7.554857574492244e-11
49,1.2281590202437765e-10
50,1.5264733480496353e-10
51,1.5346653934265382e-10
52,1.2349164196752542e-10
53,1.1241551336076138e-10
54,1.4896754122929043e-10
55,1.5146812446537034e-10
56,1.2886220688685244e-10
57,1.3050320367991406e-10
58,1.248126069066834e-10
59,1.547760269967248e-10
60,1.4920004977212382e-10
61,1.720812133386026e-10
62,1.8591842775572474e-10
63,1.569299201618431e-10
64,1.3566701925937946e-10
65,1.6508389334318835e-10
66,1.8027183171356184e-10
67,1.654435294172035e-10
68,1.3279291417027185e-10
69,1.2785979717432616e-10
70,1.3864397068414821e-10
71,1.3730676495630974e-10
72,1.7605843564214658e-10
73,2.39387769622295e-10
74,3.075585787167509e-10
75,2.9906661448830214e-10
76,1.4786584818480007e-10
77,1.614287531200123e-10
78,1.448293858471945e-10
79,1.310132166291565e-10
80,9.047550868630653e-11
81,8.342307409055747e-11
82,1.0026159611513345e-10
83,4.031569383070356e-10
84,7.451869415391602e-10
85,58.487750432718244
86,27.852523447907846
87,2.426107823910996
88,1.3795481041523624e-10
89,1.223354835678208e-10
90,1.051154766074927e-10
91,1.0370511690702106e-10
92,9.568370827157562e-11
93,1.475184111003116e-10
94,2.5614146891352064e-10
95,3.668751698540122e-10
96,5.201812811751185e-10
97,3.23914623403712e-10
98,3.8285906487772444e-10
99,3.386969147404552e-10
100,2.4763737226305144e-10
101,1.4131968191546276e-10
102,1.4631379720537925e-10
103,1.0945400656080619e-10
104,8.938333760975641e-11
105,9.100921522751096e-11
106,9.057473377690958e-11
107,8.620022562121475e-11
108,8.028394986593674e-11
109,8.012477126254488e-11
110,8.451051194496037e-11
111,8.730054745526918e-11
112,8.755277818481237e-11
113,9.345547376391218e-11
114,8.944827163414574e-11
115,9.966891837854213e-11
116,9.424896458354858e-11
117,1.1168241888130615e-10
118,8.022257488225999e-11
119,8.534690388749324e-11
120,8.83787460704276e-11
121,1.1268966290221104e-10
122,1.188719708940407e-10
123,1.2509784719385062e-10
124,1.562525282309521e-10
125,1.6758056656705633e-10
126,1.5591861293843322e-10
127,1.3459957093968532e-10
128,1.4442175999078023e-10
129,1.0544369051338696e-10
130,8.738616785266203e-11
131,9.561798481499955e-11
132,9.19084833154133e-11
133,9.319674137737236e-11
134,9.890416268156214e-11
135,1.2501401037290692e-10
136,1.1303334123688995e-10
137,1.0786783302774968e-10
138,9.538814542037528e-11
139,8.112304817984155e-11
140,8.03749769213155e-11
141,8.234275667895756e-11
142,5.888180497527555e-11
143,6.948780550878244e-11
144,8.02957560312369e-11
145,9.540739738071282e-11
146,2.2233710361191494e-10
147,2.1427598625341108e-10
148,9.614997673726304e-11
149,9.7443882617799e-11
150,1.100798524355828e-10
151,3.2568799201024315e-10
152,1.1158621863294842e-10
