,demand
0,2.4553184997790644e-12
1,2.5635497370067998e-12
2,2.678136516854339e-12
3,2.7393956432646626e-12
4,2.83670819361023e-12
5,2.7394539855888625e-12
6,2.4151371117956833e-12
7,2.4489281242154413e-12
8,2.344270712117952e-12
9,2.209220348511581e-12
10,2.0798278204832748e-12
11,2.1259352052091887e-12
12,2.135399921603711e-12
13,2.154589389367999e-12
14,2.0268518860433405e-12
15,1.868993867340082e-12
16,1.926839375659811e-12
17,2.2094735979008203e-12
18,2.7374905834258602e-12
19,2.9003536418783012e-12
20,3.670359250746502e-12
21,3.847761878825044e-12
22,3.836180033036135e-12
23,3.5576093450943955e-12
24,4.392547275542755e-12
25,5.587578046472507e-12
26,7.1289456651418474e-12
27,9.696532792092145e-12
28,9.058612862097876e-12
29,1.3065792152218255e-11
30,1.0454721654149503e-11
31,8.199581073885458e-12
32,2.3247952212119667e-11
33,2.2147775186669368e-11
34,1.9317102444726456e-11
35,1.8395545474495424e-11
36,5.451892149056466e-11
37,1.1681261693322232e-10
38,1.0594063864170502e-10
39,7.25633780317845e-11
40,2.4234566950842036e-11
41,1.9623686097838562e-11
42,2.1488680266894124e-11
43,1.8597043776280982e-11
44,1.5804151553406097e-11
45,6.8202168590740126e-12
46,3.795569544806003e-12
47,3.2271561628961266e-12
48,3.217275367802486e-12
49,3.8045060273680776e-12
50,4.242143165716736e-12
51,4.4180739474066376e-12
52,4.891352076469294e-12
53,5.126743228811444e-12
54,4.242070248067759e-12
55,3.2358751572153787e-12
56,4.749690166826004e-12
57,9.321881060316117e-12
58,8.273266118028036e-12
59,9.128619326246505e-12
60,8.905104153958955e-12
61,8.598337882406852e-12
62,8.453958427579925e-12
63,1.0833202142965997e-11
64,9.730168415333946e-12
65,1.0394653411587308e-11
66,1.0102220979732762e-11
67,1.183285626657779e-11
68,3.316677464339584e-12
69,3.2441987161340968e-12
70,2.6508842192876144e-12
71,2.6008964844776068e-12
72,3.562275618166134e-12
73,3.897575606122051e-12
74,3.790913235774823e-12
75,4.107343463723924e-12
76,4.3959120510200716e-12
77,5.148394186274334e-12
78,4.017702121791224e-12
79,6.815429939456939e-12
80,9.180988784864666e-12
81,9.719101522470162e-12
82,1.0841188088261023e-11
83,1.600989134279538e-11
84,1.8378604135179033e-11
85,1.9063601475059326e-11
86,2.1166870017872432e-11
