,demand
0,7.37615464666722e-11
1,8.78474485083306e-11
2,1.4850016866149623e-10
3,90.82965336448851
4,386.46160945549013
5,394.56975110538303
6,399.4722125907564
7,350.32523063958934
8,336.6757810855847
9,241.156542961677
10,212.50402048693468
11,133.36978605589752
12,86.4123477257146
13,40.06544232943858
14,59.96685550093696
15,40.21536556080767
16,9.522767035769901e-11
17,9.063502528369842e-11
18,9.45294718578094e-11
19,9.209941874701206e-11
20,9.256689918197118e-11
21,8.635162898973086e-11
22,9.764208425494784e-11
23,1.4835351777853758e-10
24,1.5363997870819267e-10
25,9.773425454443709e-10
26,115.42295558846361
27,91.35239457773388
28,115.97112099078288
29,84.1996055506687
30,40.084623024898704
31,3.7691095997384396e-10
32,25.982981936126226
33,1.494332025766173e-10
34,1.082209648047704e-10
35,1.1174187032050904e-10
36,1.5497239954726407e-10
37,7.150831763481493e-11
38,7.865655989439984e-11
39,5.9647701865561e-11
40,5.024040080254143e-11
41,4.773558838904847e-11
42,4.946581377333138e-11
43,4.659903110210365e-11
44,5.426396752585996e-11
45,3.597799605423815e-11
46,3.990709082774587e-11
47,5.395526636456893e-11
48,6.141548105538641e-11
49,6.178584999460799e-11
50,6.070568815020466e-11
51,6.530132939262465e-11
52,5.566918659619509e-11
53,5.496147952545668e-11
54,4.37720522154648e-11
55,4.274044020408851e-11
56,4.42683535189965e-11
57,4.9439718707945e-11
58,6.483042813392203e-11
59,6.466871801377767e-11
60,7.601045377304723e-11
61,8.470015871942082e-11
62,8.359764818669424e-11
63,9.086408388348085e-11
64,8.875022177991677e-11
65,5.958868179507159e-11
66,6.108487078405704e-11
67,6.283404683634396e-11
68,5.2785922407570284e-11
69,3.9520464548711545e-11
70,4.313207341423032e-11
71,5.839800166818011e-11
72,7.280010098996648e-11
73,8.029423624800077e-11
74,60.069089884904365
75,50.268498317276126
76,8.671572933911736e-10
77,1.6347096647586528e-10
78,1.3912921780272949e-10
79,1.9802877476376798e-10
80,2.204327598219462e-10
81,1.255544313865242e-10
82,1.1569752665790193e-10
83,1.2102905149470922e-10
84,1.2824377947740037e-10
85,1.824001390636906e-10
86,1.8806621300073625e-10
87,1.845381014616365e-10
88,1.7139573164986452e-10
89,1.0476021751419581e-10
90,1.0178071576527567e-10
91,6.952879130164464e-11
92,4.643473468522543e-11
93,7.251766268115106e-11
94,9.406542374061758e-11
95,1.3379739956918375e-10
96,1.7827881614739435e-10
97,3.2055630829487127e-10
98,228.74418026486984
99,231.8551636630428
100,242.4742822077802
101,195.1272114726954
102,1.3468105768888752e-10
103,1.3856889924217882e-09
104,0.5882959618252006
105,9.083517074332454e-10
106,4.668042784483292e-10
107,1.6736056836546504e-09
108,5.270308252373651e-10
109,8.60527880803643e-10
110,1.761404555500603e-09
111,1.1001009157097156e-09
112,6.712817021469211e-10
113,4.775315211182087e-10
114,9.426386962835101e-10
115,1.2437136495957767e-09
116,1.423452538097451e-10
117,7.527514676216742e-11
118,6.017728405064046e-11
119,6.605312740847383e-11
120,5.58003651587546e-11
121,9.827241801898902e-11
122,10.962115670761126
123,157.08265692765383
124,137.4776259153816
125,149.32386104513267
126,305.33671361269177
127,239.50208902029541
128,4.936507144057768e-10
129,4.1747281848609193e-10
130,2.753788852472371e-10
131,2.3720885832835415e-10
132,2.984409811962784e-10
133,2.7879578468975976e-10
134,2.9067333768035083e-10
135,1.6740227635793357e-10
136,1.1265407151782695e-10
137,1.0058542742334074e-10
138,9.077205297134e-11
139,1.0065005777540705e-10
140,1.1705838647580162e-10
141,1.0275717115803525e-10
142,9.713758133684144e-11
143,7.935799628834506e-11
144,7.751244994368309e-11
145,1.891186201820876e-10
146,88.09128150956025
147,76.10159687277664
148,71.25643269708316
149,108.50693251775253
150,428.3594741403662
151,508.5270007054537
152,420.82522977620806
153,331.8166196824841
154,349.7958431763277
155,383.7905107942604
156,452.80817896769224
157,544.2693255553863
158,646.8007931691016
159,654.513761259589
160,510.635174820057
161,497.469871808871
162,442.82145503863717
163,369.82357761928426
164,306.2586123791121
165,272.89258995262026
166,159.88666546875316
167,168.18418267510074
168,127.22206506226514
169,182.93605449159145
170,167.40809022089627
171,158.39608993306825
172,158.40439018478617
173,181.47109074831508
174,281.45458474705305
175,36.21704810115953
176,335.71830327863984
177,275.04391400354245
178,211.23823554246846
179,206.5445272751734
180,257.52591426742737
181,217.08377716841008
182,278.34304564353283
183,195.58820614142448
184,253.23522962303252
185,203.62145306137185
186,228.10257650172082
187,231.64067331368696
188,4.940681283071954e-10
189,9.852996178722246e-11
190,1.1712272479237864e-10
191,1.0782010535137298e-10
