,demand
0,3.980777146644482e-10
1,743.8764412235427
2,780.8367371476958
3,905.8347676482617
4,931.8286131312382
5,906.8352158042953
6,904.8443963279839
7,728.8792601003481
8,756.876996256204
9,697.8953684473984
10,608.9145153123056
11,597.9187662350183
12,691.9073530302135
13,716.9016029663834
14,623.9170522279849
15,579.9249773939544
16,478.9360102532176
17,724.8910855025404
18,768.8894171983032
19,902.8733273112332
20,894.8686802968369
21,925.828761102344
22,798.8669132636066
23,698.8902440761556
24,2.1430702251241885e-10
25,1.3090509067533565e-10
26,1.587230458048251e-10
27,1.0725448744740734e-10
28,8.903607965002851e-11
29,8.857159341565652e-11
30,1.485719068067849e-10
31,2.2559308256972665e-10
32,2.538297759718463e-10
33,2.1505258245136558e-10
34,2.5815995193762204e-10
35,2.732646590219086e-10
36,2.3647059318795e-09
37,3.6305154452473724e-10
38,3.3115153458771287e-10
39,1.464278208872886e-10
40,2.0902940704220552e-10
41,1.6754357404685232e-10
42,1.6477276781091777e-10
43,2.331001691422876e-10
44,2.6462860986412437e-10
45,3.767391299335635e-10
46,8.018531202383979e-10
47,4.8161032003018164e-09
48,42.37089488892821
49,1.07423246156071e-09
50,38.64405999076154
51,46.79751366120691
52,9.971583380584955
53,2.623370989100374e-10
54,1.3934211904953886e-10
55,1.3195049039338172e-10
56,1.8934964180191848e-10
57,2.467954862545154e-10
58,2.0322722845657693e-10
59,1.5511339122286773e-10
60,1.7256916679951804e-10
61,1.6148532534229456e-10
62,1.1140452168125475e-10
63,1.4009711566498273e-10
64,3.6226389255279074e-10
65,2.1792437902877362e-10
66,1.8344567495370755e-10
67,1.5609450111458929e-10
68,1.5370992618405348e-10
69,2.0109314584585052e-10
70,2.2855622330194453e-10
71,1.921888188463689e-10
72,41.019806940302125
73,9.239586668729325e-10
74,0.4723190380264799
75,0.46959275900343117
76,5.5806692534896545
77,7.877436629076618e-09
78,2.8020045130917055e-10
79,1.4639640973936052e-10
80,1.2981326422029248e-10
81,1.38451288468605e-10
