,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,3.8856947358929503e-10,3.867198729434975e-10,3.867198729434975e-10,3.886443978181004e-10,3.886186689518322e-10,3.885517476147788e-10,3.867198729434975e-10,3.867198729434975e-10,3.867198729434975e-10,3.867198729434975e-10,3.8862094123837075e-10,3.886231043435916e-10,3.867198729434975e-10,3.886524806401772e-10,3.8846019645833954e-10,3.8849616661120786e-10,3.8820605952296295e-10,3.885607840335683e-10,3.867198729434975e-10,3.886565183721797e-10
1,4.0564174776869063e-10,4.0373636072591014e-10,4.0373636072591014e-10,4.0572203954855554e-10,4.056940838398746e-10,4.0562351083779273e-10,4.0373636072591014e-10,4.0373636072591014e-10,4.0373636072591014e-10,4.0373636072591014e-10,4.05696881402283e-10,4.05688712636136e-10,4.0373636072591014e-10,4.0573159915462855e-10,4.055231672453528e-10,4.0556230709741594e-10,4.0525047758689215e-10,4.056341047022352e-10,4.0373636072591014e-10,4.057352377078984e-10
2,3.971753460409273e-10,3.9529715099332024e-10,3.9529715099332024e-10,3.9725356286198473e-10,3.972272915493006e-10,3.9715706005845813e-10,3.9529715099332024e-10,3.9529715099332024e-10,3.9529715099332024e-10,3.9529715099332024e-10,3.9722829855942584e-10,3.9722341803532934e-10,3.9529715099332024e-10,3.9726149521611383e-10,3.970606365804579e-10,3.9710020398889184e-10,3.967980883906594e-10,3.97166920830482e-10,3.9529715099332024e-10,3.9726382287238425e-10
3,3.6255149329828423e-10,3.607978917797748e-10,3.607978917797748e-10,3.626178839987803e-10,3.6259710677210066e-10,3.6253529170922623e-10,3.607978917797748e-10,3.607978917797748e-10,3.607978917797748e-10,3.607978917797748e-10,3.6259656038556703e-10,3.625872173613994e-10,3.607978917797748e-10,3.6262471005223834e-10,3.624556628235191e-10,3.624868436128061e-10,3.6223225974323573e-10,3.625444390590463e-10,3.607978917797748e-10,3.6262405719498425e-10
4,2.9565919268382234e-10,2.941979786847491e-10,2.941979786847491e-10,2.9570447127642114e-10,2.9569130100761584e-10,2.9564681437165115e-10,2.941979786847491e-10,2.941979786847491e-10,2.941979786847491e-10,2.941979786847491e-10,2.956908176252941e-10,2.956827407089994e-10,2.941979786847491e-10,2.957093564977157e-10,2.955893936310559e-10,2.9561135421731417e-10,2.954397803210745e-10,2.956539662638932e-10,2.941979786847491e-10,2.95708800879451e-10
5,2.957090940684782e-10,2.9424819663315626e-10,2.9424819663315626e-10,2.957541582868819e-10,2.9574093092391097e-10,2.956969127478053e-10,2.9424819663315626e-10,2.9424819663315626e-10,2.9424819663315626e-10,2.9424819663315626e-10,2.9574026060886115e-10,2.957308952258655e-10,2.9424819663315626e-10,2.9575895357544177e-10,2.9563963909383695e-10,2.956604055755827e-10,2.954900716742854e-10,2.957038721132618e-10,2.9424819663315626e-10,2.957582704424289e-10
6,2.9923308031753404e-10,2.9775513063756066e-10,2.9775513063756066e-10,2.992789472027708e-10,2.992655133994009e-10,2.992199937625169e-10,2.9775513063756066e-10,2.9775513063756066e-10,2.9775513063756066e-10,2.9775513063756066e-10,2.9926517420242755e-10,2.992579333596455e-10,2.9775513063756066e-10,2.9928364754920793e-10,2.991614285452387e-10,2.991825278678966e-10,2.9900955795086713e-10,2.9922764558082696e-10,2.9775513063756066e-10,2.9928296719348746e-10
7,3.2778667365842755e-10,3.2617586578485036e-10,3.2617586578485036e-10,3.278414284732822e-10,3.2782539237029435e-10,3.2777245734755706e-10,3.2617586578485036e-10,3.2617586578485036e-10,3.2617586578485036e-10,3.2617586578485036e-10,3.2782396245934535e-10,3.2781827107006044e-10,3.2617586578485036e-10,3.278457255310687e-10,3.277044012031385e-10,3.2772823740314555e-10,3.2752166845925525e-10,3.277802899214854e-10,3.2617586578485036e-10,3.2784444943849507e-10
8,3.5774338538255835e-10,3.560086175192245e-10,3.560086175192245e-10,3.5780426255948096e-10,3.577851090576161e-10,3.5772736556199717e-10,3.560086175192245e-10,3.560086175192245e-10,3.560086175192245e-10,3.560086175192245e-10,3.577854134814e-10,3.57769393545759e-10,3.560086175192245e-10,3.5781138854248606e-10,3.576492339846899e-10,3.5767695050343557e-10,3.5761346713226317e-10,3.577352315531996e-10,3.560086175192245e-10,3.578101258255259e-10
9,3.495346745552113e-10,3.47834162309044e-10,3.47834162309044e-10,3.4959533163765155e-10,3.495780210099807e-10,3.4952158161536406e-10,3.47834162309044e-10,3.47834162309044e-10,3.47834162309044e-10,3.47834162309044e-10,3.495771378720262e-10,3.495670891058241e-10,3.47834162309044e-10,3.496015739141718e-10,3.4944597767478304e-10,3.4947402500899153e-10,3.495629868516886e-10,3.495287243277004e-10,3.47834162309044e-10,3.4960013172708e-10
10,4.3277685444282725e-10,4.3078959697451184e-10,4.3078959697451184e-10,4.328605395987868e-10,4.3283622037960357e-10,4.3276016580792165e-10,4.3078959697451184e-10,4.3078959697451184e-10,4.3078959697451184e-10,4.3078959697451184e-10,4.3283588712479424e-10,4.328270723820461e-10,4.3078959697451184e-10,4.3287382339102075e-10,4.3264447261838576e-10,4.326902725785286e-10,4.3284991645545277e-10,4.3276880778749806e-10,4.3078959697451184e-10,4.3287283756532147e-10
11,7.622028641611929e-10,7.607134660806755e-10,7.607134660806755e-10,7.624057812945537e-10,7.623470778399781e-10,7.621571314623416e-10,7.607134660806755e-10,7.607134660806755e-10,7.607134660806755e-10,7.607134660806755e-10,7.623459314051931e-10,7.623427592400828e-10,7.607134660806755e-10,7.624449937145342e-10,7.61798542623903e-10,7.619378822537578e-10,7.62404149097217e-10,7.621816323023571e-10,7.607134660806755e-10,7.624447854865131e-10
12,8.612015099955553e-10,8.607811086880814e-10,8.607811086880814e-10,8.614509353843159e-10,8.613781145157095e-10,8.611307575014931e-10,8.607811086880814e-10,8.607811086880814e-10,8.607811086880814e-10,8.607811086880814e-10,8.613792215933831e-10,8.613862619013705e-10,8.607811086880814e-10,8.615008715871122e-10,8.606901274854919e-10,8.608599777290482e-10,8.614598097222388e-10,8.611728603086605e-10,8.607811086880814e-10,8.61506402686884e-10
13,9.337957603849512e-10,9.345361993734611e-10,9.345361993734611e-10,9.340833106179116e-10,9.339970448224186e-10,9.337075317945047e-10,9.345361993734611e-10,9.345361993734611e-10,9.345361993734611e-10,9.345361993734611e-10,9.340006710811352e-10,9.340190767807198e-10,9.345361993734611e-10,9.341417517356309e-10,9.331989484751865e-10,9.334045502046361e-10,9.34093226299087e-10,9.337592398357077e-10,9.345361993734611e-10,9.341510822275932e-10
14,9.111667180069635e-10,9.114850551580408e-10,9.114850551580408e-10,9.114495107162564e-10,9.113595238597273e-10,9.110825100926065e-10,9.114850551580408e-10,9.114850551580408e-10,9.114850551580408e-10,9.114850551580408e-10,9.113636711625127e-10,9.113623116690397e-10,9.114850551580408e-10,9.11516001749165e-10,9.105759241407561e-10,9.107798037616394e-10,9.114595651472089e-10,9.111288763593688e-10,9.114850551580408e-10,9.115362186893812e-10
15,7.15758744390428e-10,7.139177040617431e-10,7.139177040617431e-10,7.159549318377245e-10,7.158903710478342e-10,7.157171336099145e-10,7.139177040617431e-10,7.139177040617431e-10,7.139177040617431e-10,7.139177040617431e-10,7.158929398650839e-10,7.158719985168107e-10,7.139177040617431e-10,7.159960438875075e-10,7.153926798373836e-10,7.155226234335582e-10,7.159548456752443e-10,7.157450060522384e-10,7.139177040617431e-10,7.160094801294203e-10
16,7.731333051489776e-10,7.717094467071622e-10,7.717094467071622e-10,7.733570750480234e-10,7.732875638296372e-10,7.730836724508191e-10,7.717094467071622e-10,7.717094467071622e-10,7.717094467071622e-10,7.717094467071622e-10,7.732892342491412e-10,7.73266450654727e-10,7.717094467071622e-10,7.734048152933814e-10,7.727121660386836e-10,7.72849555761991e-10,7.733373829200609e-10,7.731202696714336e-10,7.717094467071622e-10,7.734209535525404e-10
17,8.716764095536306e-10,8.713943501683602e-10,8.713943501683602e-10,8.719546370983224e-10,8.718617834908134e-10,8.716131887418819e-10,8.713943501683602e-10,8.713943501683602e-10,8.713943501683602e-10,8.713943501683602e-10,8.7187095919127e-10,8.718792523709104e-10,8.713943501683602e-10,8.72008800374165e-10,8.711463114193378e-10,8.713255847604268e-10,8.718412120436316e-10,8.716574261374774e-10,8.713943501683602e-10,8.720290932974321e-10
18,1.4589754707752942e-09,1.4772710081299836e-09,1.4772710081299836e-09,1.4597198602412177e-09,1.4595007262117745e-09,1.4588071051548702e-09,1.4772710081299836e-09,1.4772710081299836e-09,1.4772710081299836e-09,1.4772710081299836e-09,1.4595280187635065e-09,1.459688377112423e-09,1.4772710081299836e-09,1.459838395786204e-09,1.4577022792226854e-09,1.4580949686547544e-09,1.4587311678033648e-09,1.4589185354856567e-09,1.4772710081299836e-09,1.4598945376716354e-09
19,1.6854540355937826e-09,1.7151466793517004e-09,1.7151466793517004e-09,1.686462025247757e-09,1.6861555063451016e-09,1.6852397877841804e-09,1.7151466793517004e-09,1.7151466793517004e-09,1.7151466793517004e-09,1.7151466793517004e-09,1.6862074084863794e-09,1.6864287999082495e-09,1.7151466793517004e-09,1.686606591301606e-09,1.6838589256558406e-09,1.6843327626895244e-09,1.6847956758166494e-09,1.685403855868367e-09,1.7151466793517004e-09,1.6866773197323507e-09
20,1.708556092601559e-09,1.7395061157871927e-09,1.7395061157871927e-09,1.709557873598886e-09,1.7092441458991544e-09,1.7083256255647868e-09,1.7395061157871927e-09,1.7395061157871927e-09,1.7395061157871927e-09,1.7395061157871927e-09,1.709313765990439e-09,1.7094844481260607e-09,1.7395061157871927e-09,1.7097017443624698e-09,1.7069403267502674e-09,1.707428047113224e-09,1.7078373623286867e-09,1.7084817589880354e-09,1.7395061157871927e-09,1.7097670439022374e-09
21,1.7744666454708856e-09,1.8090972634577457e-09,1.8090972634577457e-09,1.7755276977911933e-09,1.775176661246811e-09,1.7741772028522959e-09,1.8090972634577457e-09,1.8090972634577457e-09,1.8090972634577457e-09,1.8090972634577457e-09,1.775257802879628e-09,1.7754911702903843e-09,1.8090972634577457e-09,1.7756857304397283e-09,1.77272213244019e-09,1.7732475121350736e-09,1.7734348178388812e-09,1.7743597512514643e-09,1.8090972634577457e-09,1.7757541165115109e-09
22,1.4919025685028993e-09,1.5117021065820977e-09,1.5117021065820977e-09,1.4926726678542696e-09,1.4924177456343006e-09,1.4916959367623616e-09,1.5117021065820977e-09,1.5117021065820977e-09,1.5117021065820977e-09,1.5117021065820977e-09,1.4924682469509748e-09,1.4926437867200267e-09,1.5117021065820977e-09,1.4927904409672612e-09,1.4905745900959514e-09,1.4909738954508903e-09,1.4907337501739332e-09,1.4918191890890374e-09,1.5117021065820977e-09,1.4928490698886822e-09
23,1.5381375138976644e-09,1.5601936961865957e-09,1.5601936961865957e-09,1.538978653508788e-09,1.5387109465725104e-09,1.537947625307174e-09,1.5601936961865957e-09,1.5601936961865957e-09,1.5601936961865957e-09,1.5601936961865957e-09,1.5387513647484888e-09,1.5388589262995105e-09,1.5601936961865957e-09,1.5390899222074902e-09,1.536768348178921e-09,1.537137906811002e-09,1.5367471415623562e-09,1.53806468367044e-09,1.5601936961865957e-09,1.5391442682404891e-09
24,5.559576120018727e-10,5.537432731277147e-10,5.537432731277147e-10,5.561012961835228e-10,5.560471761408937e-10,5.559303170200206e-10,5.537432731277147e-10,5.537432731277147e-10,5.537432731277147e-10,5.537432731277147e-10,5.560494424718439e-10,5.560325164923152e-10,5.537432731277147e-10,5.561149583335704e-10,5.557425546366116e-10,5.55806224755667e-10,5.554510906843769e-10,5.559452893990353e-10,5.537432731277147e-10,5.561232423693074e-10
