,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
0,0.6356616831879079,13.46447018348963,1.6758353453748962,0.005778743307597181,0.005778743307597181,10.979610879377304,40.27783569763173,0.005778743307597181,0.5778742575108259,0.05778742641532861
1,1.1422336917581519e-10,1.1425695705275442e-10,1.1423847036935488e-10,1.139473060638621e-10,1.139473060638621e-10,1.1425051557790013e-10,1.1426087254761353e-10,1.139473060638621e-10,1.1422336917581519e-10,1.1414221582403745e-10
2,1.4945051245273996e-10,1.4950183924422004e-10,1.4947305515235588e-10,1.4898319810343018e-10,1.4898319810343018e-10,1.4948701879761608e-10,1.4950875004445212e-10,1.4898319810343018e-10,1.494476168722966e-10,1.4931654250522624e-10
3,9.092322445176447e-11,9.094618455791802e-11,9.093445766250715e-11,9.07445155079257e-11,9.07445155079257e-11,9.094533911022053e-11,9.094870178332673e-11,9.07445155079257e-11,9.092203599291473e-11,9.087097594935603e-11
4,8.222338775967267e-11,8.224248741526226e-11,8.223391053278546e-11,8.207446930937601e-11,8.207446930937601e-11,8.224107556919058e-11,8.224454999381323e-11,8.207446930937601e-11,8.222338775967267e-11,8.218035648980858e-11
5,8.402954506452413e-11,8.404957736927844e-11,8.403980025700439e-11,8.38746340953711e-11,8.38746340953711e-11,8.404811024606058e-11,8.405170081559063e-11,8.38746340953711e-11,8.402954506452413e-11,8.398462320057712e-11
6,9.053578674297793e-11,9.055869826406113e-11,9.05488336577231e-11,9.035841682464282e-11,9.035841682464282e-11,9.0557053955872e-11,9.056119917083293e-11,9.035841682464282e-11,9.053325761238591e-11,9.035841682464282e-11
7,1.2387752374184332e-10,1.239153510810566e-10,1.2389688860578466e-10,1.235536242927345e-10,1.235536242927345e-10,1.2391007607310695e-10,1.2392048554087263e-10,1.235536242927345e-10,1.238755379997174e-10,1.235536242927345e-10
8,1.2684174476362328e-10,1.2688145596006071e-10,1.2686225677198779e-10,1.265023851827489e-10,1.265023851827489e-10,1.2688018389667132e-10,1.2688656174332e-10,1.2674267859680634e-10,1.268396655545998e-10,1.2674267859680634e-10
9,1.3995607845016516e-10,1.4000320439526153e-10,1.3998008812580617e-10,1.3954432642102365e-10,1.3954432642102365e-10,1.4000329807302698e-10,1.4000901697392268e-10,1.3993039397081294e-10,1.3995058008489387e-10,1.3983708629152584e-10
