,demand
0,1.6527623939865466e-10
1,1.900950815208092e-10
2,1.6882110217585247e-10
3,2.001202011075177e-10
4,3.0037799962957853e-10
5,2.8774999489625877e-10
6,2.310967209377538e-10
7,2.265743103747992e-10
8,1.903955607856164e-10
9,2.716596994329073e-10
10,2.859737339124434e-10
11,2.8449514874133066e-10
12,3.714365241436433e-10
13,7.0696441615464e-10
14,3.7648085889061393e-10
15,2.1267871022743763e-10
16,1.59743741172013e-10
17,9.980288882654386e-11
18,9.669070997997164e-11
19,1.1451753525040413e-10
20,1.375398388875115e-10
21,2.1041199717098928e-10
22,2.371499518870789e-10
23,2.0487318758699905e-10
24,1.9794987928893777e-10
25,2.1068534985920578e-10
26,2.425631206941686e-10
27,3.7822625020103e-10
28,3.6732819037509644e-10
29,1.9854566159338147e-10
30,1.949980203829618e-10
31,1.965508932657853e-10
32,1.5676326333126067e-10
33,1.8081172731060626e-10
34,1.8443503341087514e-10
35,1.9978713173213753e-10
36,2.096252251348184e-10
37,2.3858570290692523e-10
38,2.2213374486596941e-10
39,2.1394294439674667e-10
40,1.583221924058097e-10
41,1.2745234388836977e-10
42,1.2444092427592003e-10
43,1.302415379585412e-10
44,1.5729283266102015e-10
45,2.1205328469343483e-10
46,2.200693975642406e-10
47,2.110961312073689e-10
48,2.004682161006507e-10
49,1.9370737673479103e-10
50,1.8755976136852223e-10
51,1.7867313006622124e-10
52,1.8440002736798226e-10
53,1.8241768028356111e-10
54,1.8195141621372043e-10
55,1.542331800253718e-10
56,1.6077806472803863e-10
57,1.8141652935979077e-10
58,2.1223624499375872e-10
59,2.34232747188892e-10
60,2.4048041834875103e-10
61,2.289650054845935e-10
62,2.3065704516311782e-10
63,1.9788147576932264e-10
64,1.5936884461384972e-10
65,1.3343619080531098e-10
66,1.3811197743932715e-10
67,1.411794210976656e-10
68,1.9202109621019433e-10
69,2.2139556435376646e-10
70,2.0123798964223938e-10
71,1.944026134042214e-10
72,1.935397051665625e-10
73,3.008924432335581e-10
74,4.5106844946472863e-10
75,4.370947609540245e-10
76,3.3049742234485493e-10
77,1.9066635814891583e-10
78,1.8276665105897807e-10
79,1.34950694025622e-10
80,1.295737517647443e-10
81,1.3240532805548288e-10
82,1.755752626449951e-10
83,1.8122065870169243e-10
84,1.8993703568383517e-10
85,2.2454270520856872e-10
86,2.3867667191998536e-10
87,2.3304024032895783e-10
88,2.1240273494806887e-10
89,1.5374610347388148e-10
90,1.6093766815161097e-10
91,1.5534501474025734e-10
92,1.9291498245571743e-10
93,2.441345915115746e-10
94,2.5867896082263267e-10
95,2.445517663827613e-10
96,2.7974840183412897e-10
97,2.985939093016165e-10
98,3.0583908672851157e-10
99,2.9275457175240667e-10
100,2.5897484351098676e-10
101,1.829870154860551e-10
102,1.685618998367477e-10
103,1.5783233486620625e-10
104,1.7446904569077078e-10
105,2.011081635238955e-10
106,2.037216402257788e-10
107,2.083456010111994e-10
108,2.0176782872792988e-10
109,2.195143040273167e-10
110,2.385385148258487e-10
111,2.1888218268064087e-10
112,1.5496150640682353e-10
113,1.1168325890548869e-10
114,1.1619133679538284e-10
115,1.2533384739699476e-10
116,1.6742774126739163e-10
117,2.2540729668672363e-10
118,2.5020797042295953e-10
119,2.2774442637119564e-10
120,1.8057417856154009e-10
121,2.0215924900753425e-10
122,1.961265891196831e-10
123,1.8606077397732075e-10
124,1.8397299741776615e-10
125,1.7020273893016357e-10
126,1.5895712766474203e-10
127,1.6299536354358629e-10
128,1.8408337500539186e-10
129,2.0860232485225768e-10
130,2.0885386989369636e-10
131,2.366536115379173e-10
132,2.3847566125140214e-10
133,3.157161942250359e-10
134,3.4631691714029934e-10
135,2.631379666199279e-10
136,2.2177827294016632e-10
137,1.3333681363180072e-10
138,1.1922052869822276e-10
139,1.2109542381471865e-10
140,1.8182101378606693e-10
141,2.374998543465144e-10
142,2.4638405130074315e-10
143,1.814251446197629e-10
144,1.9675645038476033e-10
145,2.139107192945161e-10
146,2.0141146765053943e-10
147,1.9360578997678226e-10
148,1.9492880445752712e-10
149,1.7441560991014605e-10
150,1.7932883649549097e-10
151,1.9532134362194853e-10
152,1.745282791123798e-10
153,1.696097690631065e-10
154,1.964527443114681e-10
155,1.9479993832057637e-10
156,1.9028296256870914e-10
157,2.2312765620056542e-10
158,1.9982787392007008e-10
159,1.9741614716802262e-10
160,1.7923708379237528e-10
161,1.1037473147267253e-10
162,1.2307400099681334e-10
163,1.4247159363328835e-10
164,1.8823761533799653e-10
165,2.4946205166910956e-10
166,2.3127304505220087e-10
167,2.2678777190068981e-10
168,1.7946650266680891e-10
169,2.0618492922153665e-10
170,2.0968589772102587e-10
171,1.8743860641125762e-10
172,1.8912148049640312e-10
173,1.8507879479737596e-10
174,1.5697974275578456e-10
175,1.4123530278769345e-10
176,1.2933849971281078e-10
177,1.672332160614998e-10
178,1.9919143757796597e-10
179,2.3822302432955043e-10
180,2.235726000402385e-10
181,2.353609785130712e-10
182,2.4367432649633745e-10
183,2.1337027573282468e-10
184,1.8317193138551203e-10
185,1.5634213705741863e-10
186,1.4551824290162566e-10
187,1.5284561048389924e-10
188,2.0058315032383823e-10
189,2.6947057958747055e-10
190,2.484480087592594e-10
191,2.0804238282585255e-10
192,1.8082397846586467e-10
193,1.8794292440914548e-10
194,1.856002602395397e-10
195,1.9965721688700372e-10
196,1.8940504306928272e-10
197,1.8879504049662998e-10
198,2.062202856925556e-10
199,2.00264418926402e-10
200,2.15307585587886e-10
201,2.3965808293022436e-10
202,2.5066295258487753e-10
203,2.5541153241977155e-10
204,2.385271332464021e-10
205,2.6576581624126255e-10
206,2.571128941865133e-10
207,2.352335670838089e-10
208,1.9445841906428333e-10
209,1.6175081131442709e-10
210,1.6618700932944887e-10
211,1.940796699370439e-10
212,2.331748650499493e-10
213,2.502746087503802e-10
214,2.4923787653355874e-10
215,2.375005021757094e-10
216,2.1032880536173124e-10
217,2.0392215648187694e-10
218,2.7627245677321694e-10
219,2.656617159419304e-10
220,2.6730713896023796e-10
221,2.0417042690626653e-10
222,2.1111317281739595e-10
223,1.6145981907719628e-10
224,1.7591848949269204e-10
225,1.9531805802082702e-10
226,1.980178014884344e-10
227,2.4321235030763173e-10
228,2.536708483038588e-10
229,2.491270664658631e-10
230,2.3559925686893434e-10
231,2.4146750966763683e-10
232,1.9068888055985142e-10
233,1.7461607031118166e-10
234,1.7616826792914276e-10
235,1.8139027739045707e-10
236,2.0034689301065891e-10
237,2.5679298586928934e-10
238,2.5269858559921746e-10
239,2.587830657220676e-10
240,2.1526655808309723e-10
241,2.0244195213788218e-10
242,2.6072760290430976e-10
243,2.558743417738739e-10
244,2.5958862819270593e-10
245,2.1772009365789807e-10
246,2.0465317720877726e-10
247,1.792890234794733e-10
248,1.7526820929049704e-10
249,2.0380334883477434e-10
250,2.2466853623114543e-10
251,2.5440158322109495e-10
252,2.5892627322635055e-10
253,2.471873826252901e-10
254,2.4579159344011915e-10
255,2.552099405577308e-10
256,1.7592265460540867e-10
257,1.6042801073833817e-10
258,1.4535562927280771e-10
259,1.5464159450841335e-10
260,2.2731332704621213e-10
261,2.941726069595958e-10
262,2.432393565257299e-10
263,2.2302156093696014e-10
264,2.0186462948462772e-10
265,2.0287677736030263e-10
266,1.906160420417831e-10
267,1.823384997428115e-10
268,1.8597989187823284e-10
269,1.9043637640253777e-10
270,1.933660295056014e-10
271,1.5471274866510526e-10
272,1.5944314398895727e-10
273,1.863579608912116e-10
274,1.8585208705203825e-10
275,2.0641173568689046e-10
276,2.1404007949716865e-10
277,2.1769885271747963e-10
278,2.0955862236964633e-10
279,2.0736234129117628e-10
280,1.614360479093434e-10
281,1.660522528076075e-10
282,1.7429859723663346e-10
283,1.9263144552851724e-10
284,2.1776350183852095e-10
285,2.678985560025813e-10
286,2.5814040676021196e-10
287,2.0908666479188165e-10
288,2.0831378151502633e-10
289,1.7857169015160837e-10
290,1.761614397827637e-10
291,1.7492873515099684e-10
292,1.7526096802552655e-10
293,1.8907453004524075e-10
294,1.5315243233488985e-10
295,1.6408804627908228e-10
296,1.875199643459964e-10
297,1.9263676450571722e-10
298,2.1623175606056037e-10
299,2.3671897754784064e-10
300,2.493688851348944e-10
301,2.625658459502976e-10
302,2.347133216019457e-10
303,2.6012095460297827e-10
304,2.019083314100344e-10
305,1.8181701959077169e-10
306,1.9976662757313284e-10
307,2.0763973052571252e-10
308,2.1982108344533694e-10
309,2.8662624983933745e-10
310,2.320722573572495e-10
311,2.022707422333599e-10
312,2.1247208473018286e-10
313,1.9550256921592157e-10
314,2.0374633476543387e-10
315,2.2214317252157663e-10
316,2.2618734240875983e-10
317,1.9386931009348516e-10
318,1.4800859933173687e-10
319,1.4715101693552728e-10
320,1.682695871074494e-10
321,1.7074152006137817e-10
322,1.8449560334248856e-10
323,1.9801452563204852e-10
324,2.088421601529833e-10
325,2.1329876138965737e-10
326,1.89506407263529e-10
327,1.8375212481482897e-10
328,1.5815344142070642e-10
329,1.0559456421811581e-10
330,9.746081897713206e-11
331,1.0345857175586478e-10
332,1.2979496273843042e-10
333,1.9481637966272885e-10
334,2.2649422581705387e-10
335,2.1217812101662305e-10
336,1.7941618931098003e-10
337,1.9090510954333493e-10
338,2.2894028510180542e-10
339,2.5844405248123623e-10
340,2.275473739503931e-10
341,1.4449759483119684e-10
342,8.946255105574675e-11
343,1.4802918899255612e-10
344,1.3934060851106144e-10
345,1.4818388917608443e-10
346,1.659807212287925e-10
347,1.7978719160553767e-10
348,1.9015291991065352e-10
349,2.0508706866408732e-10
350,1.8731911752268623e-10
351,1.7945862417019174e-10
352,1.6214220477508672e-10
353,1.3582993968398586e-10
354,1.291167025965233e-10
355,1.5105127881895165e-10
356,2.0129493306074474e-10
357,2.644499098887414e-10
358,2.419401125408209e-10
359,2.0848999445008025e-10
360,2.0383829756141207e-10
361,2.0245734552276636e-10
362,2.3684044953195404e-10
363,2.523206776740572e-10
364,2.1292587068190972e-10
365,1.7887602139710594e-10
366,2.0807687610830808e-10
367,1.8911084903526736e-10
368,1.8411389143001357e-10
369,2.1623804449506367e-10
370,2.2568262100986415e-10
371,2.465209652585675e-10
372,2.4886718006877473e-10
373,2.761532080985787e-10
374,2.4561464758891883e-10
375,2.459062390662951e-10
376,1.9570319221665482e-10
377,1.644558573811187e-10
378,1.6385730990057093e-10
379,2.0863695480195414e-10
380,2.581297533964846e-10
381,2.487974400103596e-10
382,2.4145262388910144e-10
383,1.9231007302770441e-10
384,2.1512921715838944e-10
385,2.2228090418895497e-10
386,2.611663523017108e-10
387,2.5235059693357596e-10
388,2.5449296626219995e-10
389,1.913740758639589e-10
390,1.918029605199722e-10
391,1.87820330092433e-10
392,1.8679632112877497e-10
393,1.9485053461255998e-10
394,2.034348846955526e-10
395,2.0682515255147903e-10
396,2.2275484095936339e-10
397,2.388149029954458e-10
398,2.417217335425072e-10
399,2.447537062970416e-10
400,2.3181209822071e-10
401,1.5509637735638972e-10
402,1.264797698859021e-10
403,1.283410818545728e-10
404,1.4513585286535126e-10
405,1.870773481008375e-10
406,1.8423685306300329e-10
407,1.425089854754846e-10
408,1.6067038970628792e-10
409,1.997077338815183e-10
410,1.7370564488961725e-10
411,2.0106314777474115e-10
412,1.858120703916017e-10
413,1.6693825122746024e-10
414,1.6619867453970077e-10
415,1.5109981833166237e-10
416,1.6816725440703136e-10
417,1.9983922433901214e-10
418,2.529749024372946e-10
419,2.9708906982742536e-10
420,2.732951703357074e-10
421,2.688586459404147e-10
422,2.506044675896048e-10
423,2.351419609301091e-10
424,1.9397265420982915e-10
425,1.4565170793782175e-10
426,1.44195473008634e-10
427,1.504726429419125e-10
428,1.9979565479291394e-10
429,2.2991692211636114e-10
430,2.2785282882821407e-10
431,2.1825220734818558e-10
432,2.0380937793861243e-10
433,2.0139179124869074e-10
434,1.9406277794932602e-10
435,1.8552962989255284e-10
436,1.9092349358987228e-10
437,1.8033174042456393e-10
438,1.8511797049385591e-10
439,1.7737994921450913e-10
440,1.9645794477100602e-10
441,2.4542123504673383e-10
442,2.340260420466713e-10
443,2.2598552855383942e-10
444,2.353710339664568e-10
445,2.373402192148841e-10
446,2.0232012966683744e-10
447,2.0330329118885446e-10
448,1.9480034390181618e-10
449,1.4166314336848597e-10
