,demand
0,6928.343252153211
1,7018.774423644429
2,6871.183098389894
3,6610.606793857843
4,6318.064358046799
5,6518.145764413878
6,6712.461888563022
7,7179.2070821527695
8,7239.797344711617
9,7543.739379523573
10,7831.557806866504
11,8059.574594917722
12,8060.597047669282
13,7945.851589477958
14,7833.756385046667
15,7919.537730248799
16,7752.230362258079
17,7543.500000003275
18,7608.000000007743
19,7324.12852345892
20,7110.34922545981
21,6523.750000001076
22,6558.750000001559
23,7063.328705410507
24,7274.373193075041
25,7038.202457698581
26,6816.016470945972
27,6698.1766547133875
28,6906.848627312591
29,7310.27230280474
30,7639.9044958166905
31,8118.001313161172
32,8437.052017987397
33,8682.250000001373
34,8770.250000000893
35,8876.75000000102
36,8821.000000001128
37,8681.00000000124
38,8610.000000000968
39,8656.000000001368
40,8891.25000000208
41,9273.500000001937
42,9145.000000001382
43,8650.750000001548
44,8092.000000002412
45,7507.500000008085
46,8149.002505045115
47,8014.622417213781
48,7570.505090778813
49,7274.972958525787
50,7106.852449951902
51,7219.071855354622
52,7344.052239803125
53,7925.603197615313
54,8404.653777545444
55,9199.020073705164
56,9507.839457752474
57,9509.400132494808
58,9704.049272752074
59,9611.785309763345
60,9418.806778348951
61,9333.113873994871
62,9156.50000000194
63,9108.066877045401
64,9606.164987955803
65,9722.34014100409
66,9519.738673200927
67,9098.291546999912
68,9000.956586957984
69,8411.98407023569
70,8509.014022402967
71,7951.291620891952
72,7612.51104353146
73,7197.754716085891
74,7330.273127072189
75,7242.996035781016
76,7399.250959028571
77,7570.58294031964
78,7579.468813289191
79,8296.500000000853
80,8694.000000000815
81,8945.000000000697
82,9096.750000000742
83,9241.250000001197
84,9179.500000002625
85,9112.250000001355
86,9009.25000000147
87,9052.000000003607
88,9317.75000000288
89,9469.750000002523
90,9337.50000000148
91,8764.500000001277
92,8156.750000001581
93,7617.750000001321
94,7686.72034082667
95,7862.094350000364
96,7499.418579904843
97,7120.095853571521
98,6926.32550393477
99,7216.274855460517
100,7395.58467546646
101,7724.695974371653
102,8037.662659592091
103,8248.50000000614
104,8647.25000000123
105,8799.250000001202
106,8820.500000001175
107,8787.250000000831
108,8639.000000000822
109,8512.500000000744
110,8504.00000000082
111,8486.250000000824
112,8789.250000001071
113,9095.25000000089
114,8913.000000000751
115,8335.500000000593
116,7783.00000000058
117,7205.500000000936
118,7055.000000001769
119,6717.5186675305595
120,6324.174175683854
121,6231.1194936246975
122,6243.24900701434
123,6415.113992051974
124,6335.662230764347
125,6612.36426539044
126,6608.661949454358
127,6640.752670694303
128,6909.500000000694
129,7208.500000000551
130,7327.500000000569
131,7418.250000000586
132,7207.750000000519
133,6997.50000000058
134,6858.250000000564
135,6974.500000000681
136,7255.250000001037
137,7710.750000000833
138,7760.7500000009495
139,7358.0000000007585
140,7056.250000000978
141,6654.250000001143
142,7043.3349277483085
143,6983.262742251508
144,6864.979591384012
145,6978.78772119436
146,6872.364688079695
147,6759.666681618268
148,6800.068143813247
149,7045.007146697892
150,7193.61351743983
151,7667.11230742114
152,7826.945049620516
153,8218.26517093678
154,8354.087683978134
155,8380.159847157829
156,8193.544744636205
157,7954.461370707568
158,7744.688539576517
159,7849.333945150497
160,7563.893958630871
161,7711.250000002897
162,7762.750000001382
163,7417.000000000908
164,7085.250000000902
165,6697.250000001138
166,6780.500000001457
167,6837.519844865452
168,7302.793272101345
169,7073.864125154525
170,6930.905952269991
171,6818.205200452812
172,7116.051847446164
173,7609.223196029417
174,7943.00000000194
175,9051.000000001162
176,9416.500000001117
177,9492.25000000095
178,9524.500000000955
179,9572.750000000875
180,9388.500000000755
181,9327.500000000813
182,9270.000000000915
183,9260.500000001117
184,9437.500000001352
185,9632.750000001719
186,9489.500000001328
187,8876.000000001115
188,8322.500000001133
189,8141.262965612029
190,8086.67599269611
191,8359.36873023956
192,7922.879700037156
193,7527.641816582541
194,7550.607285813474
195,7353.378520470072
196,7480.202758485021
197,8115.695981587249
198,8017.250000001408
199,9111.500000002185
200,9442.000000001355
201,9452.000000001486
202,9477.750000003525
203,9557.000000001544
204,9341.000000001273
205,9250.500000000882
206,9184.25000000123
207,9237.750000002061
208,9369.750000004367
209,9638.500000003358
210,9465.750000001553
211,8900.000000000817
212,8351.546078377283
213,7834.130613454585
214,7682.7093409953095
215,7164.07108997188
216,7200.754212798651
217,7002.235960196445
218,6983.644571021114
219,6781.198727402682
220,7308.732403684583
221,7483.691142672776
