,demand
0,8545.750000000327
1,8222.988877235703
2,8098.782241261588
3,7848.911678876015
4,8099.445328570313
5,8117.228643832656
6,8197.04776510416
7,7660.984286706634
8,7686.984412674123
9,7726.988361464163
10,7835.493110876834
11,8195.250000000831
12,8599.250000000202
13,8860.75000000023
14,8866.208718728445
15,8925.500000000777
16,8994.000000001482
17,9303.500000005857
18,9312.250000000311
19,9147.50000000248
20,8917.500000000682
21,8728.750000000891
22,8993.250000001235
23,9118.250000001184
24,8633.998921561877
25,8772.368415833456
26,8439.585992951119
27,8376.116161728703
28,8600.814083429177
29,8747.91173289437
30,8984.755545729382
31,10110.277005050755
32,10691.082926483932
33,10645.000000000291
34,10828.250000000371
35,11091.750000000326
36,11154.750000000495
37,10995.750000001053
38,10915.000000001191
39,11045.50000000097
40,10964.500000002961
41,11300.250000000766
42,11305.000000001817
43,10908.750000004899
44,10416.250000001352
45,9945.250000000864
46,10012.250000001457
47,9853.250000004007
48,9452.742101042473
49,9643.383337015866
50,9042.855691891147
51,9056.66972334554
52,9446.246171589784
53,9473.747588102275
54,9850.649583447608
55,10118.250000000973
56,10753.50000000059
57,10999.00000000045
58,11181.75000000079
59,11369.000000000788
60,11241.98684493405
61,11322.500000000955
62,11278.21365492504
63,11626.79920346877
64,11706.410122828947
65,11763.000000000971
66,11772.25000000082
67,11295.250000000755
68,10710.500000000735
69,10233.500000000826
70,10298.75000000075
71,10247.250000000866
72,10356.141608726279
73,10288.700578085294
74,10041.296480944831
75,9855.731722724075
76,9988.217235745584
77,10232.902089437159
78,10019.750000000673
79,10754.750000000768
80,11544.250000004262
81,12010.25000000045
82,12110.250000000882
83,12108.750000000568
84,11893.750000000999
85,11834.500000000324
86,11547.75000000026
87,11548.75000000023
88,11462.75000000025
89,11942.250000000287
90,11971.75000000051
91,11492.000000000702
92,10865.250000000804
93,10492.000000001439
94,10603.750000000697
95,10482.500000000931
96,10401.214180479908
97,10282.712028094531
98,9927.130688419487
99,9761.97233634392
100,10110.054692319865
101,10465.44184800042
102,10082.750000000868
103,10820.750000000602
104,11628.00000000042
105,11858.250000000344
106,12077.250000000273
107,11915.500000000971
108,11988.250000000264
109,11667.750000001168
110,11624.000000000318
111,11333.250000008113
112,11593.894095614049
113,11972.500000000522
114,11906.750000000373
115,11484.000000000267
116,11272.596138165332
117,10518.336251960527
118,10709.694892328116
119,10769.250000000273
120,10192.469442221949
121,9950.391903190002
122,10275.364233386466
123,9991.804468801187
124,9812.862080081522
125,9491.304382404473
126,9781.127309815092
127,9793.541875485891
128,10238.040323097166
129,10604.000000000533
130,11031.500000000555
131,11197.250000000346
132,11226.000000000295
133,11040.250000000538
134,10723.000000000831
135,10839.132249679224
136,10647.000000163174
137,11166.000000002723
138,11174.00000000049
139,10729.500000000322
140,10224.500000000477
141,9821.500000076854
142,9860.750000000739
143,9930.25000000075
144,9573.436007419527
145,9127.89640212104
146,8805.077252304654
147,8874.551906582943
148,9048.674380835824
149,8951.82290832007
150,8960.569513114096
151,9059.988609873853
152,9268.45523419428
153,9403.25000000174
154,9939.750000000604
155,10375.000000000615
156,10590.500000000435
157,10404.750000000402
158,10340.216290740971
159,10063.669015141784
160,10067.25000000064
161,10802.500000000444
162,11019.250000000451
163,10871.250000000382
164,10419.750000000417
165,9989.50000000047
166,9989.750000001397
167,10006.250000000307
168,9444.250000008606
169,9849.560717965265
170,9607.958373812116
171,9746.395309815522
172,9910.95059290502
173,10092.755363651217
174,11119.870304599595
175,11689.000000000273
176,12385.250000000242
177,12592.250000000295
178,12642.750000000317
179,12692.250000000324
180,12497.75000000036
181,12876.42832983131
182,12501.075793743505
183,12515.166048228995
184,12182.250000000286
185,12786.250000000464
186,12580.000000000464
187,12220.000000000453
188,11890.750000000398
189,11533.423367646636
190,11340.25000000031
191,11697.32213457696
192,11223.657988639365
193,10896.994925510575
194,10562.56957977109
195,10687.971230508578
196,10776.30566896684
197,11160.99971281252
198,11630.621132011021
199,12251.250000000751
200,12587.750000001124
201,12564.500000001164
202,12573.750000000839
203,12596.000000001352
204,12357.25000000124
205,12352.500000000675
206,12267.250000001011
207,12196.750000003614
208,12233.75000001592
209,12908.250000001015
210,12888.000000000482
211,12297.250000000688
212,11698.00000000059
213,11133.500000000391
214,11122.500000000275
215,10985.00000000038
216,10519.089636876846
217,10943.268937753252
218,10719.659133927222
219,10274.58574050828
220,10361.970886485682
221,10875.857779880254
222,11162.394012846818
223,12187.285790140864
224,12224.500000000608
225,12388.750000000497
226,12316.2500000006
227,12344.50000000079
228,12283.000000000528
229,12326.750000000948
230,12365.7500000019
231,12446.750000002045
232,12403.621568386014
233,12938.986319574049
234,12884.000000000684
235,12385.250000000526
236,11844.500000000362
237,11294.000000000276
238,11262.500000000273
239,11168.750000000233
240,10530.750000000644
241,10870.25256677065
242,10782.94586442681
243,10629.971803886112
244,10932.74035871209
245,11370.307573229366
246,11832.14055071778
247,12518.633822721482
248,13007.313798986605
249,13156.977940266277
250,13135.659501694878
251,13140.912199413035
252,12821.944525745364
253,12819.628710528079
254,12713.812147353368
255,12600.022947894273
256,12505.243874709844
257,12972.500000001053
258,13040.750000000535
259,12537.250000000435
260,11972.750000000493
261,11351.250000000342
262,11441.250000000278
263,11265.250000000256
264,10659.56193215466
265,10762.996732609909
266,10586.236720644043
267,10554.974381446806
268,10575.726799355023
269,10975.640526138613
270,11301.41448278513
271,12254.25000000027
272,12679.500000000387
273,12688.250000000517
274,12675.000000004342
275,12688.48787155354
276,12453.385276489473
277,12384.583152916643
