,demand
0,44877.75000000039
1,43816.50000000052
2,42820.000000000866
3,42051.75000000246
4,42061.50000000216
5,42643.42491730746
6,42209.87576440084
7,42642.53189938657
8,43109.35698633256
9,44937.46096394855
10,47193.00000000559
11,49723.00000000137
12,51115.000000000684
13,50223.50000000048
14,49221.50000000076
15,49279.500000000495
16,51371.250000000335
17,54922.00000000035
18,55675.00000000038
19,54250.50000000043
20,51727.50000000044
21,49930.500000000415
22,49141.00000000041
23,46071.75000000123
24,43196.640610451264
25,42322.8747634822
26,42037.89892112689
27,41705.87786640134
28,43357.81156739123
29,46066.00000000111
30,52544.750000000495
31,58794.000000000335
32,62635.50000000038
33,64417.50000000042
34,66225.50000000044
35,67790.50000000042
36,68454.25000000036
37,67799.75000000033
38,66470.50000000033
39,65754.7500000004
40,66905.25000000035
41,69481.50000000041
42,69399.00000000032
43,68037.0000000004
44,63941.25000000043
45,60742.50000000041
46,58653.250000000415
47,54672.250000000444
48,51742.25000000143
49,49928.250000041255
50,49551.095603792994
51,50621.752937202706
52,52657.433904492915
53,55065.500000001484
54,61385.25000000054
55,66611.75000000035
56,70133.50000000036
57,71484.00000000041
58,72778.75000000045
59,74231.5000000004
60,73780.25000000042
61,72709.25000000044
62,71072.25000000045
63,70610.50000000044
64,72048.25000000041
65,74820.50000000048
66,74241.25000000054
67,72197.50000000041
68,68309.25000000042
69,64816.500000000924
70,62351.250000001
71,58188.500000001804
72,55283.916872562295
73,53006.45783440416
74,51638.355062549104
75,52243.25786086762
76,52590.903394681045
77,54885.250000001746
78,60675.50000000072
79,66166.50000000036
80,69200.00000000036
81,69556.50000000044
82,70684.00000000045
83,71695.00000000048
84,71242.7500000006
85,70280.75000000054
86,68854.7500000005
87,68469.25000000047
88,69531.2500000005
89,71475.75000000047
90,70892.5000000004
91,69106.25000000041
92,65981.7500000004
93,63258.00000000048
94,61166.25000000064
95,57216.00000000093
96,53560.38093146614
97,52652.03782676323
98,51598.06112339125
99,51839.96775841559
100,53267.76327329992
101,55344.895897362934
102,60390.00000000159
103,66348.25000000067
104,69154.00000000048
105,69907.75000000048
106,70832.25000000042
107,71998.5000000004
108,71721.00000000042
109,69963.0000000004
110,68087.0000000004
111,66717.00000000042
112,67206.50000000051
113,69402.2500000005
114,68900.00000000047
115,66529.00000000041
116,62357.25000000041
117,58834.25000000044
118,56987.0000000006
119,53621.75000000067
120,50116.250000000975
121,47771.453090512754
122,46660.37733564336
123,46685.08411065298
124,47230.31323063012
125,46516.20011059998
126,46643.500000001244
127,49498.75000000045
128,52199.5000000004
129,55023.25000000036
130,56933.25000000036
131,58668.75000000037
132,58718.25000000038
133,57322.25000000033
134,55575.75000000043
135,55287.000000000364
136,57226.25000000038
137,60680.00000000043
138,61651.25000000036
139,59964.500000000386
140,56479.000000000335
141,54040.75000000034
142,53333.75000000029
143,50005.00000000034
144,46420.500000000524
145,44358.500000000706
146,43349.00000000127
147,43904.4133594944
148,44000.81685736389
149,43442.125909036644
150,42979.355596970185
151,44228.93403990892
152,47236.00000000108
153,51066.75000000042
154,54096.00000000032
155,57179.2500000003
156,57268.25000000031
157,55895.50000000032
158,54181.50000000037
159,53822.000000000415
160,55990.75000000034
161,60665.00000000031
162,61949.500000000306
163,60311.7500000003
164,57730.000000000284
165,55990.500000000284
166,55859.50000000032
167,52592.500000000415
168,49454.50000000147
169,47968.061504478814
170,47646.30614516237
171,48338.011777451225
172,49366.50000001267
173,53916.750000000495
174,62552.000000000364
175,69778.75000000038
176,73042.0000000004
177,73463.75000000038
178,73982.50000000041
179,74521.75000000038
180,74129.00000000036
181,73414.25000000036
182,72365.7500000004
183,72102.0000000004
184,73067.0000000004
185,76824.2500000004
186,76740.50000000035
187,74768.50000000033
188,70348.75000000044
189,66687.00000000071
190,63850.00000000084
191,59187.50000000272
192,55927.00000000138
193,54136.500000000924
194,53333.47333151278
195,53887.13008002117
196,55641.00000000234
197,58932.250000000604
198,66867.25000000035
199,73204.50000000033
200,75275.50000000032
201,74609.75000000033
202,74833.75000000035
203,74693.50000000044
204,74314.0000000004
205,73727.2500000004
206,72688.50000000036
207,72056.00000000038
208,72725.50000000038
209,75823.50000000038
210,75323.7500000004
211,73219.75000000036
212,68706.0000000004
213,65449.500000000415
214,62340.5000000004
215,57841.00000000071
216,54097.000000002416
217,51901.50000000467
218,50892.77254075991
219,51314.327261694205
220,52290.61725670011
221,55811.75000000067
222,63538.500000000386
223,69888.00000000041
224,72056.75000000038
225,71661.25000000036
226,71460.25000000038
227,71609.75000000038
228,71180.25000000038
229,70182.25000000044
230,69599.7500000004
231,69356.00000000038
232,70250.75000000035
233,73411.00000000038
234,72989.00000000035
235,71348.50000000035
236,67193.25000000041
237,63510.500000000546
238,60497.00000000092
239,56187.50000000167
240,52573.00000000354
241,51355.33077813677
242,51172.30522269774
243,52156.10098785868
244,53255.31009768117
245,55399.10998124624
246,62698.7500000006
247,69260.00000000038
248,71550.50000000042
249,71191.7500000004
250,71697.7500000004
251,72221.00000000041
252,71709.00000000041
253,71628.00000000042
254,70775.7500000004
255,70707.2500000004
256,71089.75000000036
257,73461.75000000036
258,72878.75000000036
259,71082.7500000004
260,67121.7500000004
261,63907.750000000546
262,60953.00000000054
263,56798.750000000655
264,52962.50000000307
265,51064.37778849612
266,50703.47369093846
267,51667.44511951229
268,53288.77640662595
269,55126.25000007537
270,62806.00000000057
271,69366.75000000042
272,72190.00000000042
273,72551.0000000004
274,72921.00000000044
275,73393.75000000041
276,72736.50000000038
277,71715.2500000004
278,70150.00000000041
279,69746.00000000038
280,70113.00000000038
281,72241.25000000042
282,71449.75000000038
283,69081.00000000036
284,65028.75000000039
285,61873.250000000386
286,59734.7500000004
287,56174.25000000061
288,52536.750000000764
289,50436.50000000102
290,48923.50000000092
291,48680.250000000924
292,48761.250000001535
293,48712.50000000078
294,49697.0000000007
295,53260.750000000626
296,57469.00000000041
297,61190.750000000386
298,63485.00000000038
299,64369.00000000038
300,64020.00000000036
301,62027.00000000038
302,60152.5000000004
303,59635.750000000444
304,60762.500000000466
305,64102.50000000047
306,64702.75000000037
307,62659.25000000035
308,58726.75000000037
309,56225.25000000048
310,55441.250000000495
311,52305.25000000053
312,49060.75000000053
313,47036.00000000126
314,45728.750000003995
315,45502.75000000394
316,45744.10490823101
317,45459.01862690578
318,44979.26985289119
319,46543.50000000103
320,49799.50000000046
321,53578.25000000036
322,55811.00000000033
323,58332.250000000335
324,58083.25000000036
325,56013.50000000036
326,54694.00000000036
327,54372.0000000003
328,56017.250000000335
329,61148.25000000044
330,62843.00000000043
331,61636.000000000364
332,58891.250000000335
333,57270.25000000034
334,57359.000000000386
335,54391.25000000047
336,51856.50000000083
337,50145.75000000233
338,49747.00000000242
339,50201.750000012114
340,52058.000000001004
341,56491.2500000006
342,65692.50000000032
343,72653.50000000035
344,75120.00000000032
