,demand
0,3458.0717806205075
1,3341.1527427211668
2,3208.4506913421815
3,3073.4300006795397
4,2966.3155860743973
5,2879.8302968292364
6,2916.385894621292
7,3047.307680846236
8,3078.3171414191106
9,3310.125582498565
10,3525.386910339933
11,3762.8757902973152
12,3794.4103837302096
13,3663.844796481857
14,3843.5673372398264
15,3838.7640549767398
16,4110.994931018046
17,4411.673361833467
18,4307.13170780417
19,4095.377805780062
20,3787.177007797536
21,3533.8992919945276
22,3365.9896890769655
23,3140.2111465131147
24,2934.711597886497
25,2861.409217463476
26,2820.1677882470008
27,2821.137783083861
28,2920.1383870724417
29,3101.000000036689
30,3758.084740223953
31,4352.505167001943
32,4626.140635868545
33,4710.4962505463955
34,4784.430687096706
35,4745.910018140757
36,4645.003752061073
37,4635.009147590161
38,4619.72647307677
39,4610.757748659338
40,4917.000000075563
41,5276.000000046669
42,5018.00000002234
43,4730.087042320294
44,4414.320755067461
45,4118.044572032425
46,3801.4517084150802
47,3512.616189259387
48,3340.6034512181814
49,3256.4336691086405
50,3120.2414598555392
51,3104.4255283919283
52,3201.9630250592504
53,3575.7907014841826
54,4071.5292912403133
55,4753.882966131255
56,5127.684628202403
57,5190.730695598155
58,5311.198149965354
59,5234.9241439566995
60,5158.819562275101
61,5209.743573541151
62,5128.086452558736
63,5092.533259590934
64,5276.898850398579
65,5558.971323634013
66,5366.972133314366
67,5054.324384123953
68,4713.9906891353685
69,4330.503529732316
70,3968.000000010891
71,3626.000000007368
72,3463.995580256313
73,3275.4255332306097
74,3197.822678103337
75,3229.1486434202257
76,3274.670547351464
77,3527.9792855907062
78,4175.386910258495
79,4922.964824366227
80,5124.346344574404
81,5067.074646648807
82,5079.730757091056
83,5039.027358880936
84,4976.377588671946
85,4986.077200895719
86,4942.912358672808
87,4914.69753302053
88,5186.072768106318
89,5613.876018200967
90,5366.378726251507
91,4949.154729086734
92,4612.160236550676
93,4358.975749884448
94,3969.9801863434795
95,3627.0000000088103
96,3477.7312146026093
97,3443.348240737263
98,3282.081251940615
