,demand
0,25291.738291154776
1,24334.582345207156
2,22810.93108572933
3,21857.995217651427
4,21606.994259004838
5,21396.99957321297
6,21572.01347607141
7,21782.02371182134
8,21328.033660307177
9,21962.029633504866
10,23149.029726527988
11,23710.03956033037
12,24179.02880688855
13,24766.58959360897
14,25042.765888537637
15,24000.974359280262
16,23398.815687679886
17,23750.38160886219
18,25937.47847733271
19,27149.53397219335
20,28011.001177890128
21,28198.565735046934
22,27723.91432603762
23,25571.31006248558
24,24406.032964807426
25,23150.843104703745
26,22283.206422093845
27,22104.329450086414
28,22385.732111457124
29,22893.249302142634
30,24114.196425915652
31,27226.998206631353
32,30048.635032895563
33,32408.996043408522
34,33994.99483810412
35,34277.9948399617
36,34070.99482826417
37,34203.99393669314
38,33371.22353354443
39,32485.023807750087
40,32300.58549660716
41,32295.187373879642
42,34102.42329961892
43,34556.43893948711
44,34709.67931417898
45,34470.02097361296
46,32352.81659902378
47,30060.592458711264
48,28087.970588269687
49,27276.003798548718
50,26421.00277672943
51,25845.007832530075
52,25234.01241670102
53,25758.005741648267
54,27280.0009985896
55,28900.00844676855
56,31017.95048621177
57,33169.99700580235
58,34256.99651248231
59,34532.431213883814
60,34307.94224532079
61,34390.957309621954
62,33297.79601554798
63,32475.777989391303
64,31936.516787822402
65,32093.563013659623
66,33892.98382025033
67,34426.979517736094
68,34569.35616830217
69,34283.33495427411
70,32376.602683614215
71,30397.899066979186
72,29173.54647660843
73,28259.287935323555
74,27703.32699126089
75,27423.57099360916
76,27168.106034012428
77,27085.98977887721
78,28089.00599875292
79,29815.015279016625
80,31481.997051090908
81,33208.727547478855
82,34024.92929695873
83,34214.14168607143
84,34209.296570933526
85,34565.38799455429
86,34080.855689129974
87,33368.92568007381
88,32356.36324458021
89,32045.23243054391
90,33537.90624499296
91,34078.118989113595
92,34253.77586632672
93,33966.55051581471
94,32156.583554599194
95,29980.919855672473
96,29014.00220890255
97,28532.99595440517
98,27753.999586036938
99,27192.005538222027
100,26971.011881703802
101,27074.009386621387
102,27670.006714280156
103,29384.007623809084
104,31273.991445357246
105,32702.99320105588
106,33599.994184592644
107,33759.858380121776
108,33480.96097117755
109,33311.997034989654
110,32027.527007980803
111,30915.994354707127
112,30383.993815218648
113,30340.994637805637
114,31363.994620056317
115,31361.994866616053
116,31578.99415216955
117,31356.993524398666
118,29830.993689650415
119,27952.037310710788
120,26700.993250812284
121,24827.063863902047
122,23360.003084403084
123,22526.00762187272
124,22413.01415530678
125,22409.462779295307
126,22669.011216068895
127,23021.01527552867
128,23712.99856345887
129,24948.785847788437
130,27265.99474673405
131,28390.994723936965
132,28355.995573647157
133,27976.99527204709
134,27492.994998464146
135,25966.003056432164
136,25455.999247447427
137,25686.995667275223
138,27991.994200714762
139,29307.621541969613
140,29955.017805323536
