,demand
0,9715.000000000246
1,9410.000000000262
2,9242.000000000275
3,9260.000000000271
4,9364.000000000267
5,9586.00000000027
6,9597.000000000166
7,9813.000000000162
8,9827.000000000162
9,9864.000000000156
10,10047.000000000156
11,10071.000000000158
12,10070.000000000156
13,10173.000000000156
14,10488.000000000164
15,10650.00000000017
16,10667.000000000166
17,10754.000000000167
18,10742.00000000017
19,10550.000000000173
20,10184.000000000166
21,10458.000000000167
22,10289.000000000171
23,9856.000000000167
24,9562.00000000012
25,9367.000000000113
26,9271.000000000111
27,9304.000000000111
28,9584.000000000107
29,10326.000000000116
30,10758.000000000127
31,11049.000000000131
32,11113.000000000126
33,11070.000000000127
34,11095.000000000127
35,11166.000000000126
36,11126.000000000127
37,11154.00000000013
38,11322.000000000135
39,11514.000000000135
40,11507.000000000133
41,11489.000000000133
42,11451.000000000133
43,11262.000000000133
44,10711.000000000122
45,10851.000000000124
46,10678.000000000124
47,10094.000000000115
48,9669.000000000107
49,9379.000000000104
50,9338.000000000102
51,9328.0000000001
52,9579.000000000104
53,10330.000000000113
54,10799.000000000122
55,11165.000000000127
56,11199.00000000013
57,11008.000000000126
58,11110.000000000124
59,11131.000000000124
60,11071.000000000122
61,11179.000000000122
62,11467.000000000124
63,11576.000000000127
64,11573.000000000131
65,11512.000000000127
66,11497.000000000126
67,11321.000000000124
68,10811.00000000012
69,10886.000000000118
70,10638.000000000115
71,10222.000000000111
72,9799.000000000102
73,9632.000000000104
74,9553.000000000104
75,9598.000000000106
76,9835.00000000011
77,10690.000000000118
78,11088.000000000122
79,11392.000000000124
80,11430.000000000135
81,11314.000000000136
82,11351.000000000133
83,11398.000000000133
84,11351.000000000131
85,11439.000000000133
86,11618.000000000136
87,11702.000000000136
88,11680.000000000135
89,11570.000000000135
90,11569.000000000136
91,11470.000000000131
92,10972.000000000127
93,11071.000000000126
94,10818.000000000118
95,10325.000000000115
96,9997.00000000011
97,9778.000000000113
98,9671.000000000113
99,9680.000000000111
100,9975.00000000011
101,10707.000000000118
102,11166.000000000126
103,11543.00000000013
104,11577.000000000138
105,11447.000000000135
106,11434.000000000135
107,11328.000000000133
108,11353.000000000133
109,11370.000000000133
110,11525.000000000135
111,11641.000000000135
112,11587.000000000135
113,11599.000000000133
114,11559.000000000133
115,11231.00000000013
116,10759.000000000126
117,10820.000000000122
118,10587.000000000116
119,10070.00000000011
120,9751.000000000107
121,9464.000000000106
122,9351.000000000102
123,9298.0000000001
124,9377.000000000102
125,9551.000000000104
126,9645.00000000011
127,9985.000000000111
128,10018.000000000111
129,10092.000000000115
130,10336.00000000012
131,10444.000000000124
132,10386.000000000122
133,10459.000000000124
134,10726.00000000013
135,11019.000000000133
136,11063.000000000138
137,11217.000000000138
138,11251.00000000014
139,11041.000000000136
140,10641.000000000131
141,10850.00000000013
142,10641.00000000012
143,10187.000000000118
144,9822.000000000118
145,9570.000000000118
146,9518.000000000118
147,9491.00000000012
148,9577.000000000122
149,9812.00000000012
150,9900.000000000122
151,10160.000000000124
152,10256.000000000122
153,10421.000000000124
154,10631.000000000126
155,10711.000000000122
156,10608.000000000124
157,10577.000000000124
158,10831.000000000126
159,11189.00000000013
160,11381.000000000133
161,11478.000000000133
162,11476.000000000135
163,11273.000000000131
164,10859.000000000124
165,11060.000000000127
166,10930.000000000124
167,10558.00000000012
168,10216.000000000113
169,9981.000000000115
170,9976.000000000118
171,10031.000000000118
172,10388.00000000012
173,11344.000000000126
174,11931.000000000135
175,12183.00000000014
176,12116.000000000142
177,12032.00000000014
178,12009.000000000138
179,11924.00000000014
180,11809.000000000138
181,11751.000000000136
182,11889.000000000136
183,12154.000000000138
184,12228.00000000014
185,12213.000000000142
186,12161.000000000142
187,11971.000000000138
188,11468.000000000131
189,11435.000000000131
190,11246.000000000127
191,10642.000000000122
192,10247.000000000113
193,10048.000000000113
194,9904.000000000115
195,9969.00000000015
196,10437.000000000267
197,11280.000000000631
198,11834.00000000066
199,12153.000000000653
200,12061.000000000682
201,11878.000000000697
202,11787.00000000067
203,11752.00000000072
204,11648.00000000074
205,11601.000000000711
206,11660.000000000755
207,11896.000000000786
208,12018.000000000637
209,12047.000000000646
210,12082.000000000686
211,11896.000000000264
212,11275.00000000018
213,11343.00000000018
214,11132.000000000176
215,10682.000000000166
216,10366.000000000162
217,10174.00000000016
218,10084.000000000164
219,10211.000000000166
220,10634.000000000282
221,11492.00000000057
222,11911.0000000006
223,12173.00000000058
224,11934.00000000048
225,11927.000000000555
226,12038.00000000062
227,12014.000000000631
228,11935.00000000065
229,11895.000000000682
230,12063.000000000617
231,12339.00000000058
232,12369.000000000631
233,12392.000000000662
234,12412.000000000695
235,12236.00000000027
236,11754.000000000191
237,11791.000000000187
238,11468.000000000176
239,11000.00000000017
240,10722.000000000171
241,10476.000000000173
242,10460.00000000017
243,10563.000000000195
244,11001.000000000378
245,11874.000000000728
246,12373.000000000757
247,12514.000000000751
248,12309.000000000762
249,12270.0000000008
250,12246.000000000739
251,12244.000000000668
252,12206.000000000613
253,12212.000000000591
254,12285.000000000593
255,12552.000000000653
256,12574.000000000675
257,12565.000000000706
258,12566.0000000007
259,12462.000000000278
260,11919.000000000193
261,12028.000000000198
262,11796.000000000193
263,11347.00000000018
264,10996.00000000018
265,10772.00000000018
266,10735.000000000182
267,10852.000000000182
268,11253.000000000313
269,12202.000000000682
270,12630.000000000746
271,12732.000000000673
272,12750.000000000702
273,12638.00000000078
274,12617.000000000726
275,12555.000000000717
276,12488.000000000693
277,12473.000000000666
278,12555.00000000063
279,12783.000000000675
280,12801.000000000706
281,12755.000000000691
282,12677.000000000673
283,12423.000000000267
284,11876.000000000138
285,11917.000000000138
286,11622.000000000131
287,11131.000000000126
288,10699.00000000012
289,10401.00000000012
290,10342.000000000116
291,10339.00000000012
292,10472.000000000122
293,10713.000000000122
294,10807.000000000124
295,11199.000000000127
296,11144.000000000133
297,11236.000000000131
298,11309.000000000131
299,11328.000000000133
300,11368.000000000135
301,11334.000000000135
302,11549.000000000138
303,11844.000000000136
304,12038.000000000138
305,12092.000000000147
306,11979.000000000147
307,11610.000000000144
308,11099.000000000135
309,11210.000000000138
310,11034.000000000127
311,10579.000000000124
312,10182.000000000116
313,9927.000000000111
314,9789.00000000011
315,9808.00000000011
316,9871.000000000113
317,10044.000000000116
318,10103.000000000116
319,10380.00000000012
320,10466.000000000127
321,10629.000000000135
322,10754.000000000138
323,10801.000000000135
324,10810.000000000135
325,10786.000000000135
326,10930.000000000135
327,11276.00000000014
328,11367.000000000142
329,11363.000000000146
330,11351.000000000146
331,11170.00000000014
332,10622.000000000135
333,10916.000000000135
334,10841.000000000124
335,10514.00000000012
336,10211.000000000116
337,10005.000000000116
338,9959.000000000116
339,10099.000000000158
340,10551.000000000275
341,11540.000000000688
342,12056.000000000746
343,12443.000000000768
344,12441.000000000753
