,demand
0,4633.343757727683
1,4604.596264277423
2,4476.486506203314
3,4305.726492423202
4,4216.2668579987985
5,4260.107546435
6,4349.815376242209
7,4412.9001030691215
8,4516.891970461018
9,4509.789923279441
10,4628.3963453332435
11,4744.268221429141
12,4747.0183041536375
13,4647.613832860564
14,4552.037288739402
15,4609.908028165685
16,4652.834622396939
17,4607.750000001746
18,4587.250000002634
19,4585.750000007556
20,4622.373942664132
21,4484.697903693063
22,4229.86781126807
23,4038.9888251056227
24,3711.384237305197
25,3539.181582096534
26,3421.1884532990894
27,3362.7419950250246
28,3518.381197021866
29,3933.8486164149685
30,4445.570801799458
31,4824.25000000244
32,5033.000000000598
33,5250.000000000367
34,5384.500000000336
35,5498.250000000368
36,5573.750000000247
37,5508.500000000247
38,5487.750000000271
39,5529.000000000214
40,5662.500000000234
41,5648.500000000205
42,5575.000000000265
43,5497.750000000282
44,5317.750000000451
45,5147.000000002673
46,5087.897611322379
47,4887.925383922534
48,4683.946165806497
49,4399.62689129982
50,4201.539389097837
51,4245.75919669534
52,4312.579928202129
53,4767.77186033721
54,5292.6444987762015
55,5579.172414469778
56,5670.135596542317
57,5625.092199796817
58,5562.951195294917
59,5508.061247819262
60,5632.387206050796
61,5698.530218118036
62,5787.285194243839
63,6004.396172128199
64,6213.991420322989
65,6145.9761575769335
66,6190.946979031803
67,6043.3229888244405
68,5861.918089034014
69,5732.639113944793
70,5557.09935683834
71,5330.57957432674
72,5071.954244394357
73,4935.668677737803
74,4831.889246056669
75,4825.955346267261
76,4864.430289458306
77,5178.54277576248
78,5720.769911777663
79,5772.950131468211
80,5790.37872674255
81,5807.758085493955
82,5738.299068380234
83,5690.8153228838455
84,5629.123732383052
85,5547.668078706524
86,5573.75000000201
87,5679.000000003716
88,5894.250000000931
89,5954.500000002065
90,5881.086989670291
91,5835.108794404229
92,5720.515341774595
93,5520.9517858945055
94,5429.40998350466
95,5345.672684152512
96,5156.7089477840755
97,5044.847221568898
98,4861.769512340457
99,4827.055480337039
100,4934.533954036844
101,5171.707921130497
102,5651.633992681367
103,5695.841721435794
104,5738.662349434518
105,5700.56577685024
106,5614.000000003157
107,5657.250000001222
108,5690.000000000543
109,5630.000000000539
110,5613.250000000365
111,5675.750000000358
112,5890.00000000028
113,5900.750000000226
114,5784.250000000189
115,5651.500000000196
116,5434.250000000218
117,5273.250000000475
118,5061.500000004143
119,4904.055317262264
120,4525.3924960591385
121,4292.500000004296
122,4099.624552688238
123,4064.4723588748843
124,4138.382947419248
125,4413.22364476968
126,4643.889953335582
127,4856.3214749780645
128,4988.6411920780365
129,5178.250000000649
130,5312.750000000374
131,5386.7500000003
132,5363.500000000395
133,5159.750000000374
134,5040.250000000283
135,5055.750000000272
136,5292.750000000288
137,5387.750000000264
138,5312.500000000151
139,5237.500000000238
140,5094.500000000245
141,4903.500000000284
142,4665.000000000818
143,4424.25000000393
144,4400.262609212757
145,4306.258246679521
146,3998.0383233555335
147,3861.2136216572994
148,3869.812403156587
149,4058.8624451463015
150,4156.190747443816
151,4398.454714214557
152,4795.300852822663
153,5053.569805995486
154,5116.35732257943
155,5189.69749352909
156,5171.250336669089
157,4981.988155429909
158,4914.128369463695
159,5005.506264742644
160,5353.3950073760125
161,5589.696432367561
162,5569.033647364247
163,5520.174771171595
164,5420.701171494666
165,5220.8814254987055
166,5030.136110361901
167,4678.376826109203
168,4390.500126709263
169,4292.709302003486
170,4237.407045431617
171,4201.378285573693
172,4341.554504495122
173,4840.803460912342
174,5442.271142494854
175,5678.25479297783
176,5647.000000001291
177,5701.000000000586
178,5673.500000001702
179,5669.500000000874
180,5691.250000000694
181,5626.250000000855
182,5585.250000000694
183,5647.500000001315
184,5834.250000001024
185,5923.000000005327
186,5852.500000002781
187,5792.9188143797255
188,5790.329886901073
189,5596.730044554485
190,5414.057657314498
191,5130.9414181241455
192,5046.1182087224815
193,4712.541405607224
194,4492.538428011238
195,4403.247449509295
196,4453.870887734742
197,4883.100994002702
198,5351.750000009066
199,5697.750000000831
200,5720.25000000045
201,5738.500000000364
202,5760.500000000607
203,5785.750000000586
204,5798.500000000599
205,5763.250000000244
206,5744.250000000242
207,5821.0000000002865
208,5958.500000000278
209,5999.750000000346
210,5912.250000000265
211,5829.750000000256
212,5626.0000000003165
213,5396.500000000515
214,5134.750000003668
215,4892.028613395142
216,4565.250000006851
217,4354.250000000399
218,4155.500000000299
219,4073.000000000317
220,4201.250000000393
221,4577.250000002704
222,5393.25000000021
223,5737.25000000017
224,5772.500000000157
225,5830.000000000113
226,5869.750000000115
227,5921.250000000122
228,5952.50000000011
229,5941.500000000105
230,5933.7500000000955
231,5972.250000000092
232,6081.250000000087
233,6090.000000000096
234,5986.000000000098
235,5903.500000000097
236,5687.000000000109
237,5460.25000000011
238,5180.000000000144
239,4944.500000000177
240,4629.000000000193
241,4425.250000000152
242,4213.250000000136
243,4147.000000000129
244,4257.000000000144
245,4625.000000000185
246,5410.000000000143
247,5780.500000000102
248,5839.2500000001055
249,5895.000000000093
250,5923.250000000095
251,5964.750000000094
252,5971.500000000088
253,5917.750000000085
254,5873.500000000089
255,5918.000000000088
256,6038.000000000112
257,6058.750000000115
258,5957.250000000118
259,5866.250000000121
260,5673.500000000138
261,5446.750000000136
262,5194.000000000188
263,4961.000000000227
264,4645.000000000156
265,4430.750000000134
266,4231.000000000128
267,4154.750000000138
268,4282.50000000013
269,4638.000000000144
270,5425.250000000129
271,5782.250000000153
272,5831.750000000165
273,5898.250000000142
274,5953.750000000141
275,6008.750000000123
276,6024.5000000001355
277,5942.000000000133
278,5900.500000000127
279,5946.000000000136
280,6050.750000000146
281,6034.500000000154
282,5893.000000000149
283,5790.000000000143
284,5592.000000000156
285,5408.7500000001655
286,5187.00000000021
287,4944.000000000273
288,4608.750000001385
289,4394.500000000874
290,4175.000000000677
291,4092.7500000005225
292,4127.250000000543
293,4237.750000000617
294,4586.500000000306
295,4917.250000000249
296,5197.500000000342
297,5464.250000000214
298,5627.0000000002065
299,5743.500000000176
300,5747.750000000215
301,5574.500000000205
302,5452.000000000247
303,5420.2500000002265
