,demand
0,3103.5000000003283
1,3010.5000000003793
2,2829.000000000571
3,2634.00000000154
4,2501.000000000462
5,2420.5000000005057
6,2364.000000000699
7,2386.5000000008126
8,2427.500000001121
9,2414.5000000005807
10,2546.00000000088
11,2875.0000000005757
12,3163.0000000005252
13,3356.000000000711
14,3457.5000000005593
15,3375.00000000055
16,3291.5000000004625
17,3394.000000000274
18,3786.0000000001874
19,3816.0000000002215
20,3633.500000000174
21,3467.0000000001323
22,3331.0000000001187
23,3130.0000000001132
24,3036.5000000001155
25,2857.5000000002033
26,2613.500000000318
27,2450.5000000045297
28,2459.4171131868916
29,2375.7721271693836
30,2406.311702496562
31,2570.0000000004725
32,2973.5000000002888
33,3291.00000000021
34,3525.5000000002
35,3686.500000000221
36,3834.5000000002324
37,3901.5000000002346
38,3946.5000000002924
39,3973.500000000504
40,4015.5000000005757
41,4243.500000000551
42,4515.500000000208
43,4419.000000000145
44,4208.500000000143
45,4026.50000000029
46,3772.0000000002533
47,3489.500000000203
48,3337.0000000002833
49,3096.0000000003283
50,2868.0000000007917
51,2694.500000001465
52,2607.0000000011696
53,2595.500000000772
54,2611.5000000010145
55,2799.000000001193
56,3198.0000000005803
57,3483.5000000004006
58,3769.5000000003183
59,3928.000000000399
60,4047.000000000261
61,4135.50000000038
62,4159.000000000324
63,4112.5000000003265
64,4103.000000000307
65,4269.500000000283
66,4572.000000000237
67,4544.500000000209
68,4348.0000000002165
69,4086.500000000223
70,3848.500000000195
71,3550.5000000001423
72,3378.500000000136
73,3143.500000000218
74,2893.000000000507
75,2780.5000000005743
76,2709.000000001144
77,2666.000000000936
78,2664.000000000756
79,2862.0000000026425
80,3230.6377181582925
81,3525.000000034345
82,3760.500000006102
83,3881.5000000017385
84,3984.000000001386
85,4047.000000002205
86,4027.000000000905
87,3973.0000000009454
88,3988.5000000007626
89,4156.500000000215
90,4570.500000000234
91,4597.000000000229
92,4419.500000000228
93,4151.500000000217
94,3936.0000000002206
95,3618.000000000529
96,3460.50000011142
97,3349.250964765116
98,3070.4143712633586
99,2918.416691773295
100,2826.5679440635076
101,2806.1509940181263
102,2799.542707806278
103,2942.9159264061473
104,3282.8247342355294
105,3571.0000000020827
106,3796.0000000007467
107,3935.5000000004943
108,3986.000000000389
109,4056.0000000007612
110,4040.5000000007058
111,3964.500000000352
112,3949.000000000314
113,4076.0000000002856
114,4535.500000000288
115,4575.5000000002665
116,4405.000000000318
117,4141.500000000318
118,3916.0000000004566
119,3607.500000000412
120,3497.5000000003597
121,3280.000000000173
122,2988.500000000162
123,2800.5000000004698
124,2653.000000001934
125,2595.5000000012296
126,2540.500000000822
127,2615.000000001092
128,2815.5000000004006
129,2995.0000000004784
130,3287.5000000007117
