,demand
0,23071.000000000022
1,22305.0000000002
2,20971.000000000022
3,19875.000000000175
4,19074.00000000013
5,19346.0000000001
6,20168.000000000084
7,20810.000000000076
8,21102.000000000076
9,22429.00000000008
10,24334.000000000076
11,26221.000000000065
12,26951.000000000076
13,25704.000000000073
14,24619.000000000182
15,24462.000000000207
16,25641.00000000031
17,28437.0000000001
18,29306.000000000156
19,30026.000000000127
20,29421.000000000073
21,28143.000000000022
22,26158.000000000146
23,23894.000000000397
24,22324.200995205854
25,20898.43049989775
26,20511.939062008492
27,20524.735817993616
28,20924.036334468976
29,22380.272276883043
30,25364.880650314157
31,29381.313626993804
32,33469.943019551814
33,36427.94565897003
34,36814.15538865803
35,36669.55141424037
36,35771.0000000125
37,34421.00000001378
38,34686.00000000618
39,34955.65433297822
40,36393.9426943135
41,39985.93258725353
42,39963.92530907725
43,39276.93318348635
44,37102.9429156594
45,34768.95224973737
46,31177.213674991985
47,28048.342870615208
48,24884.893936853015
49,23409.832829999476
50,22618.899878664688
51,22287.116290488135
52,22097.833275443663
53,23321.863281955622
54,27082.95729164162
55,31636.259106325124
56,35857.3987735361
57,38190.18807313981
58,38243.583629430424
59,37698.000000011176
60,35842.26700879067
61,35463.000000000764
62,36567.00000000113
63,37528.68579281445
64,38827.07864223884
65,41481.13345889809
66,41293.00723712984
67,40353.63360843733
68,38071.40256921606
69,34918.53118638116
70,31716.53685445209
71,28353.518512285576
72,25335.026896338066
73,24343.130003214246
74,23606.07546471474
75,23328.641223413346
76,23656.31065750386
77,23616.54509026682
78,27189.704623050344
79,31730.940934810336
80,35856.92683096305
81,37830.926540227454
82,37884.00000000836
83,36922.00000000905
84,35708.000000020336
85,34851.000000004526
86,34863.00000000353
87,36040.000000005944
88,37805.95279688279
89,40803.940156242024
90,40570.931505382956
91,39983.93305348427
92,37517.4500673349
93,34784.21910674552
94,31464.747573697896
95,28358.59437686708
96,25313.667696655844
97,23666.897898308256
98,23760.669048020398
99,23778.813419294165
100,23750.47759687902
101,24481.38157357721
102,28227.889548863073
103,32181.412907404836
104,36153.31758520217
105,38294.55437596711
106,38687.55832425971
107,37561.00000000269
108,36337.00000000294
109,35495.00000000343
110,36226.0000000019
111,36492.00000000175
112,37672.00000000193
113,40232.06520017372
114,40585.710806593954
115,39804.70969338895
116,37031.000000001855
117,34077.00000000206
118,30771.969497187605
119,27871.9428250811
120,25365.489106226327
121,24042.311604909468
122,22743.799825907856
123,22363.194345868164
124,22353.08953351069
125,22817.4265289451
126,23094.197921310195
127,24570.74821270052
128,26088.292577756238
129,27895.276809363706
130,29037.32726990321
131,29502.00000000442
132,29438.58122408469
133,27674.882153379396
134,26889.00000000367
135,27158.000000008793
136,28766.000000079795
137,32281.90526533069
138,32472.9125824487
139,33090.00000001224
140,31895.000000001695
141,29827.000000001353
142,27601.28473836565
143,25300.653282798474
144,22832.584031359307
145,21593.10324781454
146,21251.326843329134
147,21371.601620472855
148,21395.68836037242
149,22022.91054079333
150,22812.66334567442
151,23046.389276990598
152,24000.87915811853
153,26132.951278900553
154,27393.588733035132
155,28018.356678735963
156,28056.722789167678
157,26887.070344405656
158,26339.000000004682
159,26480.000000043226
160,27836.104896387136
161,30994.57859812723
162,32205.925206850316
163,32628.000000079293
164,31629.00000000522
165,29771.000000010958
166,27174.269560463286
167,24758.23301729739
168,23875.40116479633
169,22418.480068328092
170,22616.228941986094
171,22526.24340382608
172,23028.652725621247
173,25109.21884280107
174,29638.857495306947
175,35803.91922532213
176,40410.90636406331
