,demand
0,262.253451991648
1,231.50262206425907
2,0.6252928178380615
3,0.5831346534443929
4,0.6048561294786202
5,0.8017390825284724
6,5.042460212823126
7,0.8042178868699139
8,0.7995027543102635
9,0.808012658384899
10,243.75734478433077
11,256.50679456278783
12,249.75652685608398
13,246.5062244752679
14,235.75563442893596
15,260.75606430324956
16,9.218634653082992
17,0.224701640479039
18,0.21473551085653383
19,0.19817408094481692
20,0.17819194769440214
21,0.15440662695587443
22,0.11495375605274662
23,1.1171883494280987
24,1.4055793983970455
25,1.5439725864710347
26,2.1176639449661043
27,0.8926243164300645
28,740.1489364282202
29,881.9530283438103
30,902.0299739768566
31,1517.000000000042
32,1581.0000000000466
33,1626.000000000038
34,1642.0000000000389
35,1636.0000000000402
36,1651.0000000000368
37,1645.0000000000412
38,1648.0000000000357
39,1701.000000000042
40,1719.0000000000516
41,1681.000000000055
42,1627.0000000000337
43,1569.0000000000325
44,1479.0000000000384
45,1346.000000000041
46,1219.000000000027
47,1141.0000000000255
48,1078.0000000000305
49,1039.000000000052
50,1022.0000000000643
51,1031.000000000066
52,1092.0000000000493
53,1285.000000000043
54,1503.000000000062
55,1651.0000000000616
56,1702.0000000000568
57,1713.000000000054
58,1725.0000000000505
59,1715.000000000061
60,1731.0000000000564
61,1725.000000000063
62,1728.0000000000596
63,1767.0000000000543
64,1770.0000000000498
65,1742.0000000000605
66,1691.0000000000657
67,1628.0000000000614
68,1531.0000000000518
69,1374.0000000000498
70,1232.0000000000516
71,1144.000000000053
72,1097.0000000000618
73,1068.0000000001135
74,1064.0000000001432
75,1074.0000000001671
76,1142.0000000000605
77,1350.000000000062
78,1554.0000000000628
79,1691.0000000000553
80,1739.0000000000327
81,1747.0000000000387
82,1746.0000000000414
83,1727.0000000000286
84,1738.0000000000332
85,1733.0000000000246
86,1728.000000000022
87,1768.000000000027
88,1763.000000000065
89,1737.00000000006
90,1674.0000000000507
91,1605.0000000000475
92,1511.000000000045
93,1362.0000000000748
94,1279.3755162578843
95,1179.4772859802665
96,1087.0000000005693
97,1063.0000000002283
98,1085.632032171842
99,1079.0000000017808
100,1140.0000000001676
101,1350.0000000000734
102,1546.000000000077
103,1680.0000000000534
104,1722.000000000043
105,1728.0000000000427
106,1737.0000000000412
107,1728.0000000000387
108,1742.0000000000355
109,1730.000000000035
110,1719.000000000036
111,1755.0000000000375
112,1772.0000000000393
113,1720.0000000000439
114,1662.0000000000439
115,1583.0000000000487
116,1489.0000000000484
117,1362.0000000000616
118,1248.000000000039
119,1162.0000000000387
120,1101.0000000000393
121,1068.0000000000518
122,1053.000000000057
123,1050.0000000000648
124,1072.0000000000905
125,1140.0000000001014
126,1224.000000000107
127,1310.0000000000875
128,1383.0000000000923
129,1458.0000000000596
130,1504.0000000000462
131,1522.000000000052
132,1517.0000000000484
133,1497.000000000049
134,1492.000000000053
135,1568.0000000000707
136,1611.0000000000598
137,1574.0000000000534
138,1534.000000000044
139,1486.0000000000368
140,1420.0000000000373
141,1323.0000000000373
142,1218.000000000024
143,1141.00000000003
144,1091.000000000034
145,1056.000000000041
146,1024.0000000001435
147,1026.0000000001435
148,1046.000000000044
149,1103.0000000000434
150,1173.0000000000482
151,90147.66012677006
152,1307.000000000048
153,1390.0000000000534
154,1427.0000000000696
155,1430.0000000000723
156,1428.000000000068
157,1424.0000000000725
158,1421.0000000000691
159,1500.000000000059
160,1611.000000000059
161,1607.0000000000653
162,1587.0000000000575
163,1550.0000000000668
164,1468.000000000062
165,1350.0000000000568
166,1227.0000000000475
167,1150.0000000000516
168,1094.000000000093
169,1072.0000000001196
170,1060.0000000001762
171,1077.0000000000646
172,1140.0000000000668
173,1380.0000000000502
174,1608.000000000042
175,1753.0000000000402
176,1797.0000000000514
177,1794.0000000000487
178,1772.0000000000423
179,1734.0000000000439
180,1737.0000000000416
181,1718.0000000000366
182,1712.0000000000375
183,1749.0000000000382
184,1808.0000000000446
185,1780.0000000000446
186,1717.0000000000366
187,1661.0000000000348
188,1561.0000000000407
189,1412.000000000036
190,1283.0000000001062
191,1198.0000000001305
192,1146.0000000000887
193,1212.2830647530204
194,1258.942177340877
195,1191.9608244345168
196,1170.0000000001085
197,1417.9817591179421
198,1752.9619398721456
199,1756.9809681630782
200,1801.0000000002485
201,1802.0000000004702
202,1799.00000000022
203,1772.0000000002144
204,1782.0000000001762
205,1771.0000000001519
206,1762.000000000438
207,1789.874797534181
208,1843.9806900631202
209,1783.0000000017071
210,1728.7660921829258
211,1673.0000000000923
212,1566.0000000000684
213,1398.0000000000487
214,1262.0000000000557
215,1185.0000000000543
216,1138.00000000009
217,1173.9645839591349
218,1249.943992572226
219,1410.9063642020776
220,1547.8955282176946
221,1705.9287020072657
222,1970.927623917636
223,2031.9648281103416
224,1963.100732264273
225,1931.747278488533
