,demand
0,14979.000000000393
1,14398.000000000404
2,13789.000000000357
3,13434.000000000375
4,13285.000000000411
5,13193.000000000584
6,13237.000000001013
7,13214.000000001048
8,13025.000000006223
9,13706.000000002337
10,14330.000000002332
11,14824.000000000497
12,15319.000000000417
13,15834.000000000393
14,15945.000000000357
15,16059.000000000373
16,17307.000000002605
17,17699.00000000246
18,17697.00000000195
19,17836.000000001088
20,17464.000000000822
21,16551.000000000968
22,15860.000000000546
23,14856.000000000719
24,14040.000000000293
25,13541.000000000337
26,13407.000000000364
27,13468.000000000362
28,13797.000000000355
29,14760.000000000313
30,17559.00000000022
31,19505.000000000222
32,20485.000000000233
33,21277.000000000222
34,21515.000000000226
35,21658.000000000226
36,21774.000000000222
37,22256.000000000215
38,22073.000000000215
39,22230.000000000215
40,23158.00000000022
41,23082.000000000222
42,22747.000000000222
43,22642.000000000222
44,21972.000000000226
45,20681.000000000222
46,19244.000000000222
47,17862.000000000226
48,16710.000000000233
49,16198.000000000233
50,15878.000000000227
51,15840.000000000253
52,16161.000000000256
53,16890.00000000026
54,19564.000000000262
55,21727.000000000244
56,22419.00000000025
57,22749.000000000262
58,22748.00000000027
59,23178.00000000027
60,23317.00000000027
61,23538.000000000276
62,23317.00000000027
63,23473.000000000262
64,24282.00000000026
65,24188.000000000273
66,23922.00000000027
67,23829.000000000262
68,23012.00000000027
69,21403.000000000262
70,19851.000000000276
71,18520.000000000255
72,17371.00000000029
73,16813.00000000044
74,16475.00000000089
75,16548.000000001
76,16739.000000001055
77,17455.000000000575
78,19951.00000000029
79,21894.000000000262
80,22638.000000000262
81,22886.000000000266
82,22893.00000000027
83,23075.000000000262
84,23171.000000000266
85,23423.000000000255
86,23132.00000000026
87,23158.000000000247
88,24183.000000000244
89,24057.00000000025
90,23745.00000000025
91,23656.00000000025
92,23030.000000000247
93,21602.000000000244
94,20029.000000000262
95,18718.000000000255
96,17468.00000000026
97,16855.000000000357
98,16594.000000000568
99,16718.00000000063
100,16845.00000000076
101,17663.00000000053
102,20093.000000000302
103,21965.000000000273
104,22564.000000000273
105,22860.000000000287
106,22807.00000000028
107,23014.00000000027
108,23075.000000000273
109,23360.00000000028
110,23088.00000000027
111,23188.00000000026
112,24072.000000000247
113,24062.000000000255
114,23710.000000000255
115,23504.00000000025
116,22733.00000000026
117,21331.000000000255
118,19870.000000000233
119,18516.00000000024
120,17261.00000000024
121,16546.000000000247
122,15997.000000000258
123,15879.000000000287
124,15774.000000000304
125,15547.00000000032
126,15620.000000000306
127,15803.000000000255
128,16351.000000000227
129,17285.00000000024
130,17955.000000000236
131,18333.000000000233
132,18548.000000000215
133,18597.000000000226
134,18256.000000000222
135,18225.00000000022
136,19327.00000000022
137,19451.000000000226
138,19213.000000000226
139,19134.00000000024
140,18818.00000000023
141,18092.000000000222
142,17390.000000000215
143,16358.000000000216
144,15330.000000000235
145,14662.00000000032
146,14368.00000000045
147,14296.000000000504
148,14253.000000000522
149,14437.000000000568
150,15029.0000000003
151,15406.000000000227
152,15793.000000000233
153,16873.000000000236
154,17689.000000000226
155,18015.000000000226
156,18448.000000000222
157,18755.00000000023
158,18661.000000000222
159,18635.00000000022
160,19687.00000000022
161,20049.000000000222
162,20172.000000000222
163,20386.000000000215
164,19827.000000000215
165,18737.00000000022
166,17887.000000000222
167,16836.000000000236
168,15993.000000000218
169,15634.000000000255
170,15463.000000000278
171,15446.000000000307
172,15892.00000000031
173,16939.00000000028
174,20231.000000000226
175,22551.00000000023
176,23598.00000000022
177,23969.000000000222
178,23929.000000000226
179,24129.000000000222
180,24188.000000000215
181,24276.000000000222
182,23909.000000000222
183,23782.000000000222
184,24752.00000000023
185,25003.000000000226
186,24548.000000000226
187,24530.000000000222
188,23937.00000000022
189,22274.00000000023
190,20676.000000000222
191,19270.000000000226
192,18228.000000000233
193,17728.000000000247
194,17473.00000000027
195,17431.000000000295
196,17764.0000000003
197,18542.000000000295
198,21319.00000000025
199,23334.000000000244
200,23889.000000000244
201,24056.000000000255
202,23885.000000000247
203,23934.000000000247
204,23885.000000000255
205,23895.000000000266
206,23694.00000000026
207,23739.000000000266
208,24977.000000000255
209,25021.000000000276
210,24673.000000000273
211,24535.000000000276
212,23881.000000000262
213,22343.000000000244
214,20671.000000000247
215,19320.000000000255
216,18169.000000000295
217,17606.00000000046
218,17369.00000000056
219,17435.00000000053
220,17658.000000000633
221,18424.000000000422
222,21096.000000000276
223,23172.000000000226
224,23732.000000000233
225,24036.000000000244
226,23958.000000000236
227,24233.000000000244
228,24362.000000000236
229,24462.000000000236
230,24256.000000000222
231,24074.00000000023
232,24938.00000000023
233,25001.000000000236
234,24718.000000000226
235,24496.000000000226
236,23893.000000000222
237,22305.00000000022
238,20643.000000000226
239,19365.00000000021
240,18278.00000000021
241,17704.000000000215
242,17413.000000000207
243,17359.00000000022
244,17544.00000000021
245,18350.00000000022
246,21001.000000000222
247,23112.000000000215
248,23750.000000000222
249,24211.00000000022
250,24148.000000000226
251,24485.00000000022
252,24684.000000000215
253,24864.000000000215
254,24431.00000000022
255,24322.00000000022
256,25010.00000000022
257,25068.000000000215
258,24648.000000000222
259,24501.000000000222
260,23886.00000000021
261,22267.00000000022
