,demand
0,5108.251358118462
1,4817.409011534599
2,4829.060532098365
3,4941.995649851058
4,4826.995224989438
5,4814.991192700256
6,5195.978126515185
7,5528.9687928524045
8,5666.959807694277
9,5496.963010775484
10,5734.965953815428
11,6391.960416233375
12,6454.971166077288
13,6458.976077376257
14,6295.974701049803
15,5990.976029941887
16,5878.976475050182
17,5761.979216091608
18,6134.9817618141715
19,6046.994846484853
20,6162.995324249917
21,5891.433303324856
22,5769.070692077164
23,5918.994357295574
24,6173.985209204056
25,5907.983594954909
26,5426.9864761250765
27,5345.984554417024
28,5305.984456666128
29,5086.986942568722
30,4992.983296074232
31,4648.997786518006
32,5076.362140335034
33,5629.001101555363
34,6213.002233902635
35,6536.002309532801
36,6768.002401979118
37,6812.00285235277
38,6752.772641825436
39,6853.972073441145
40,6751.410061011461
41,6729.809394401927
42,7041.5733170923695
43,7439.557560317748
44,7535.316941382256
45,7374.976623350648
46,7049.181671546527
47,6752.405048839963
48,5887.000000000094
49,6504.9890869992705
50,6260.988068038155
51,6200.982951240928
52,6100.980537224743
53,5809.985057480224
54,5435.991645733176
55,5616.989842875594
56,5724.0482023210625
57,6396.000954461952
58,6918.001188845283
59,7028.565901468924
60,7221.054655545338
61,7104.039928662302
62,7027.627613129809
63,7228.221698074942
64,7160.436043273814
65,7107.436111823852
66,7322.012848097634
67,7653.017212042288
68,7729.6407600724215
69,7530.706896614549
70,7214.94399589616
71,6779.099560423662
72,6499.44848647488
73,5961.703119211875
74,5782.661889453877
75,5601.416380331676
76,5540.882306783523
77,5412.998918691709
78,5814.986867198695
79,6142.982272303486
80,5815.0007170757735
81,6531.269970917645
82,7120.068174750641
83,7222.855658483521
84,7385.700141056819
85,7228.60751863618
86,7118.1380613457895
87,7372.067755933085
88,7192.632192800581
89,7144.764266483971
90,7324.091002898725
91,7661.878089103606
92,7758.223060589757
93,7597.093844230159
94,7202.003083565186
95,7096.078586754161
96,7064.993859687999
97,6614.995502566988
98,6634.989469114659
99,6771.981374119467
100,6910.974244884908
101,6810.977082591797
102,6244.985163342238
103,6302.986280992366
104,5987.00363751834
105,6658.00303393347
106,7173.002603943139
107,7363.138970415737
108,7539.0364934157715
109,7411.001924953023
110,7310.471921041755
111,7497.002460088086
112,7406.002672389599
113,7273.002307365735
114,7365.002541352191
115,7668.002494570762
116,7729.0026599629555
117,7546.002894395461
118,7195.002878916729
119,6852.95913393022
120,6273.004083425732
121,5650.934513586672
122,5644.99672171408
123,5632.991829136919
124,5640.989749836827
125,5728.986127484173
126,5578.9886910169425
127,5810.9842478334285
128,5476.994979488329
129,5578.210602895567
130,5824.002385474034
131,6099.0024964646345
132,6239.002128017876
133,6272.002231340054
134,6187.002225087503
135,6448.996182191089
136,6316.997323513272
137,6051.001523349033
138,6508.002483312149
139,7147.374738643671
140,7305.978231213708
141,7245.904700829374
142,7274.995446642122
143,7201.99151879173
144,6428.996224560253
145,6078.993817753584
146,5986.988974776258
147,5917.986276733097
148,6107.9779655513
149,6065.976532201562
150,6002.976257583326
151,5628.9831526791095
152,5683.980391551693
153,5226.41998371062
154,5458.545748715831
155,5693.000308304321
156,5974.000936767274
157,6196.0014190260345
158,6045.001744501934
159,5869.001506529999
160,5775.001849994136
161,5719.0019722312845
162,6226.002208684126
163,6907.002696370505
164,7126.002559718556
165,7141.002300474156
166,6862.0023101115785
167,6474.0021991546855
168,5822.001935641839
169,5657.430224094998
170,5932.247819769408
171,6126.973333796485
172,5881.9755939454135
173,5497.982601407973
174,4757.000638209378
175,5244.000994033144
176,5991.000967326868
177,6860.001419377496
178,7416.002124201861
179,7534.002057726552
180,7605.002026412493
181,7411.002050945462
182,7283.0020940912655
183,7374.002042354186
184,7267.00188596429
185,7177.001924421006
186,7490.001932665316
187,8061.002065386899
188,8276.001903646777
189,8194.002384412432
190,7888.002182653991
191,7376.768349792431
192,6583.145029541511
193,6255.994623856237
194,6738.979629595267
195,7106.9675254733065
196,7034.96660069779
197,6885.968379877974
198,6431.977541907061
199,5646.499678852717
200,6263.0013220514165
201,7124.00167225172
202,7772.001706454759
203,7993.001687230435
204,8280.001805391476
205,8148.001870798622
206,8048.0016961868705
207,8240.001856887577
208,8144.001850267453
209,7992.001910987702
210,8006.001919418808
211,8320.002016925115
212,8447.001992252071
213,8306.002304617616
214,7954.002099753372
215,7451.630847555561
