,demand
0,5095.000000000074
1,5142.000000000088
2,4908.000000000148
3,4654.829653364489
4,4683.46160945549
5,4528.569751105383
6,4444.4722125907565
7,4341.32523063959
8,4497.675781085584
9,4669.156542961677
10,4903.504020486935
11,4938.369786055898
12,4922.412347725714
13,4814.065442329438
14,4756.966855500937
15,4780.215365560808
16,5061.0000000000955
17,5228.000000000091
18,5205.000000000095
19,5186.000000000092
20,5142.000000000093
21,5053.000000000086
22,5047.000000000097
23,5028.000000000148
24,5004.000000000154
25,4698.000000000978
26,4472.422955588464
27,4215.352394577734
28,4114.971120990783
29,4048.199605550669
30,4091.0846230248985
31,4247.0000000003765
32,4598.982981936127
33,4922.000000000149
34,5112.000000000108
35,5219.000000000112
36,5233.000000000155
37,5172.000000000072
38,5046.000000000078
39,5072.00000000006
40,5326.00000000005
41,5470.000000000047
42,5445.000000000049
43,5429.000000000046
44,5383.000000000055
45,5279.000000000036
46,5331.00000000004
47,5324.000000000054
48,5184.000000000062
49,4772.000000000062
50,4410.000000000061
51,4130.0000000000655
52,4023.0000000000555
53,4134.000000000055
54,4506.000000000044
55,4829.000000000043
56,5109.000000000045
57,5337.000000000049
58,5383.000000000065
59,5322.000000000065
60,5271.000000000076
61,5197.000000000085
62,5073.000000000084
63,5195.000000000091
64,5553.000000000089
65,5813.00000000006
66,5746.000000000061
67,5690.000000000063
68,5606.000000000053
69,5519.000000000039
70,5509.000000000043
71,5450.000000000058
72,5328.000000000073
73,4891.00000000008
74,4557.069089884904
75,4252.268498317276
76,4122.000000000867
77,4235.000000000164
78,4548.000000000139
79,4884.000000000198
80,5169.00000000022
81,5356.0000000001255
82,5410.0000000001155
83,5373.000000000121
84,5287.000000000128
85,5201.000000000183
86,5089.000000000188
87,5164.000000000185
88,5611.000000000171
89,5841.000000000105
90,5804.000000000102
91,5771.000000000069
92,5673.000000000046
93,5575.000000000073
94,5545.000000000094
95,5452.000000000134
96,5319.000000000178
97,4867.00000000032
98,4704.74418026487
99,4456.855163663043
100,4378.474282207781
101,4407.127211472695
102,4514.000000000135
103,4885.000000001386
104,5199.588295961825
105,5349.000000000909
106,5395.000000000467
107,5316.0000000016735
108,5242.000000000527
109,5241.00000000086
110,5114.000000001762
111,5192.0000000011005
112,5616.000000000671
113,5901.0000000004775
114,5920.000000000942
115,5829.000000001243
