,demand
0,15563.000000001231
1,15229.000000002736
2,15259.000000007964
3,15026.000000009626
4,14844.000000004244
5,15033.000000003016
6,15298.000000001888
7,15539.000000005579
8,15766.000000006556
9,16082.000000009999
10,16602.000000003667
11,16815.00000000333
12,17066.00000000319
13,17160.000000002685
14,17423.00000000276
15,17940.000000003234
16,18351.00000000268
17,18432.000000002517
18,18196.000000002554
19,17920.00000000395
20,17445.000000003074
21,16800.00000000247
22,16320.00000000325
23,15619.923684121939
24,14992.459891861106
25,14632.914151793066
26,14524.000000020187
27,14667.000000001995
28,15629.000000000484
29,16426.000000000608
30,16861.035235154985
31,18792.00000013619
32,19328.69914298782
33,19374.000000018055
34,19799.00000000467
35,19915.000000003238
36,19881.00000000238
37,19743.000000002892
38,19846.00000000356
39,20361.000000006337
40,20540.000000008473
41,20741.000000003634
42,20642.000000002372
43,19918.000000004344
44,18988.000000003944
45,18278.000000003547
46,17329.448977580916
47,16755.568447827492
48,15756.000000006346
49,15387.000000062717
50,15396.665975250397
51,15286.548899417485
52,15405.056274224713
53,15869.000000003472
54,17475.662042892
55,18696.087040435374
56,19286.000000005653
57,19485.000000003507
58,20175.00000000189
59,20147.000000001528
60,20369.000000001495
61,20484.00000000133
62,20884.00000000084
63,21123.000000001015
64,21419.000000001404
65,21465.000000001324
66,21104.000000001124
67,20550.000000000946
68,19776.0000000015
69,18875.000000001302
70,18172.000000001695
71,17205.000000001644
72,16231.000000001268
73,16075.000000000955
74,15853.000000001219
75,15679.000000003007
76,16015.450102988412
77,16708.000000006024
78,18192.000000001943
79,20388.000000000804
80,20864.000000001517
81,20568.00000000358
82,21098.00000000272
83,21118.000000001968
84,21528.000000001648
85,21410.000000001583
86,21313.00000000237
87,21881.000000001757
88,21900.000000002146
89,22056.000000002296
90,21441.00000000262
91,21001.000000001648
92,20313.000000001743
93,19375.000000002245
94,18614.00000000132
95,17505.00000010271
96,16816.00000000399
97,16439.00000000251
98,16310.000000002541
99,16276.000000004375
100,16478.00000000856
101,16810.000000008524
102,18070.000000020253
103,19825.000000008185
104,20508.000000022967
105,20682.00000000733
106,21172.000000002947
107,21095.00000000328
108,21049.000000002914
109,20824.000000003238
110,20684.000000002918
111,21183.000000001877
112,21502.0000000021
113,21495.000000002176
114,21050.000000002376
115,20281.00000000242
116,19368.00000000414
117,18755.000000002725
118,17890.00000000285
119,17286.000000004464
120,16476.000000006345
121,16211.000000012971
122,16066.000000024183
123,16130.000000005262
124,16257.000000007121
125,16385.262581337112
126,16926.449245983782
127,17754.822156273072
128,18381.000000023694
129,18760.000000008382
130,19124.00000005064
131,19403.00000000987
132,19613.000000010477
133,19663.00000000503
134,19679.000000005024
135,20185.000000009022
136,20860.000000011587
137,20877.000000243148
138,20662.905023547122
139,20264.000000022694
140,19811.000000022315
141,19170.000000012435
142,18597.70753221116
143,17960.003203914926
144,17449.000000004642
145,17240.00000000479
146,17179.00000000364
147,17139.000000004802
148,17242.000000004766
149,17438.000000008637
150,18041.000000013002
151,28240.81408606119
152,19119.544285178064
153,19579.000000059063
154,19758.000000029733
155,19861.00000000477
156,19854.0000000033
157,19538.000000008964
158,19394.000000035096
159,20098.000000002954
160,20906.000000001866
161,21231.000000001342
162,21035.00000000138
163,20544.000000002252
164,19936.000000003838
165,19176.000000010627
166,18280.000000007072
167,17659.01101139095
168,16868.000000021817
169,16652.000000312924
170,16633.000000006254
171,16869.000000006534
172,17345.476764994622
173,18017.228502119586
174,20035.00000003762
175,21992.00000000573
176,22142.228124048845
177,22053.319969039283
178,22184.502269255532
179,22160.090437350915
180,22202.136030983143
181,21884.680914225617
182,21746.88604404197
183,22023.00000017747
184,22381.000000024545
185,22475.00000000837
186,22284.000000006316
187,21783.000000011234
188,20840.720542123072
189,20118.00000002348
190,19027.00000001369
191,18231.170685746096
192,17202.00000000503
193,16916.000000006847
194,16861.00000000866
195,16917.00000000528
196,17075.000000004162
197,17738.000000004296
198,19638.000000004122
199,21393.000000003656
200,22016.000000007105
201,21584.000000071675
202,21666.00000000853
203,21518.000000055512
204,21250.353927398857
205,21077.00000003774
206,21234.149011881786
207,21692.42988786337
208,22255.00000000816
209,22493.000000004766
210,22039.00000000427
211,21676.0000000019
212,21239.000000001284
213,20596.000000001233
214,19131.000000001706
215,18371.000000002517
216,17253.00000000223
217,17330.000000001513
218,17157.000000002507
219,17245.000000002663
220,17627.00000000204
221,18406.000000001848
222,20944.000000001564
223,23086.000000001648
224,23139.00000000217
225,22827.000000002776
226,22667.00000000772
227,22389.00000000658
228,22288.85865563879
229,22468.060289012323
230,22609.00000000524
231,23038.00000000225
232,23172.00000000446
233,23077.000000009237
234,22680.16779817032
235,22280.000000004515
236,21525.000000002008
237,20253.00000000136
238,19464.000000001906
239,18442.000000001462
240,17512.00000000173
241,17127.000000002412
242,16834.00000000572
243,16732.000000007578
244,17131.00000000951
245,18006.000000012882
246,19990.20868331429
247,21671.953173548958
248,22119.144879100604
249,21735.62515767712
250,21755.00000001899
251,21739.00000000761
252,21910.000000005624
253,21977.00000000435
254,22009.000000003507
255,22440.000000005388
256,22721.000000006632
257,22804.000000005115
258,22310.000000006796
259,21879.00000000412
260,20993.00000000291
261,20139.00000000264
262,19257.000000001728
263,18245.000000001462
264,17313.00000000195
265,17035.000000001823
266,16838.00000000221
267,16890.00000000194
268,17241.00000000292
269,18235.000000003067
270,20151.00000000454
271,22400.00000000196
272,22609.000000002536
273,22383.000000005002
274,22662.000000001986
275,22516.000000001924
276,22263.000000001724
277,22162.000000001703
278,21865.00000000151
279,21740.000000002285
280,21940.00000000481
281,22095.000000003893
282,21803.00000000284
283,20873.000000002077
284,19840.000000001994
285,19217.00000000119
286,18206.000000002325
287,17768.000000001797
288,16915.00000000175
289,16640.000000002427
290,16497.000000002514
291,16494.00000000199
292,16456.0000000039
293,16690.000000003594
294,17244.000000010692
295,18181.000000003343
296,18957.000000003405
297,19566.000000002667
298,20198.00000000133
299,20372.000000001506
300,20395.00000000158
301,20270.00000000173
