,demand
0,3443.6594127359294
1,3337.8976222964125
2,3397.717825351765
3,3352.202624622351
4,3357.750153916935
5,3391.7944690357217
6,3367.1632752656365
7,3384.719293825574
8,3549.848035727533
9,3454.347744185009
10,3420.4278918691216
11,3550.8872030825432
12,3470.2573476798457
13,3471.173820668688
14,3399.2102053394215
15,3394.3768021079977
16,3465.3034510622847
17,3327.5277996068758
18,3407.907212618585
19,3352.770896226358
20,3401.5603709576712
21,3294.8969431838545
22,3217.952554874199
23,3045.7183465498897
24,2889.235671322245
25,2748.198695795448
26,2696.835238348285
27,2673.04115290534
28,2737.9136544451194
29,2962.039017925116
30,3256.310364144444
31,3479.561641100212
32,3551.5044381973303
33,3607.0000000026303
34,3732.467727080522
35,3897.7431820062125
36,3849.503100048031
37,3804.978175557726
38,3816.8418979290655
39,3617.0000000031896
40,3801.655964208787
41,3948.4763854594607
42,3894.4973137338384
43,3977.8783238188935
44,3765.9573145563704
45,3647.1154528344982
46,3582.5383082711132
47,3440.3688511060736
48,3431.611915827339
49,3234.5788799415627
50,3352.024892685055
51,3392.139820276441
52,3422.651069821006
53,3611.3847152712888
54,3715.737128257405
55,3772.0989081452663
56,3989.0103713099593
57,4110.074919034299
58,4146.51494962044
59,4174.575408818258
60,4207.862182076708
61,4222.747286681438
62,4276.174714061227
63,4263.813541598222
64,4457.67130762587
65,4282.98376890286
66,4425.497203302561
67,4297.878003791337
68,4344.93612820169
69,4003.6467437185315
70,3849.860581702951
71,3674.9750279154123
72,3764.4042373210573
73,3773.0703351304473
74,3729.690835428821
75,3731.4992544294964
76,3764.6828668514027
77,3693.4310300450625
78,3824.7927530446264
79,3937.134407024974
80,4056.330285554406
81,4191.830689530306
82,4161.157987580645
83,4107.900308082703
84,4189.339934667868
85,4102.29986450045
86,4080.7114688594475
87,3987.901580563596
88,4014.3483720979966
89,4103.926349719502
90,4142.627971626514
91,4206.34448894978
92,4247.258012110964
93,3837.240746699713
94,3806.312931790778
95,3697.170172254976
96,3846.4197579229935
97,3869.239564992262
98,3848.7967425623237
99,3872.0160756131027
100,3908.3534852588236
101,3829.3030781633843
102,3942.6954484858256
103,3983.3136295740874
104,4136.3031281180965
105,4156.9053986089475
106,4205.205910756229
107,4302.786136268566
108,4186.858548395647
109,4167.744233161846
110,4107.850401405546
111,4025.2174317275767
112,4100.3238930085845
113,4062.984212992271
114,3926.644258044364
115,3999.7272447820237
116,3964.930819822076
117,3781.78081631814
118,3737.368016404859
119,3535.745540565978
120,3293.5813557863853
121,3137.73209729104
122,3148.435663806612
123,3251.069508397574
124,3298.34510320258
125,3383.727605093031
126,3393.8599625981674
127,3399.7317620394674
128,3541.7859022390694
129,3633.292881918301
130,3720.533646469953
131,3807.2869131220555
132,3758.9960279874504
133,3685.134113779298
134,3577.5350125564437
135,3425.9875553354045
136,3570.2038577445583
137,3568.9028247960864
138,3530.891684253792
139,3662.4670004218883
140,3566.33091208191
141,3355.138532617848
142,3291.881642563372
143,3192.9688149251315
144,3303.0442150838917
145,3274.3737687615494
146,3182.653822522364
147,3179.1130756875014
148,3198.3224030536157
149,3294.2583113457104
150,3374.6808101176343
151,3317.642456096363
152,3580.4417913886095
153,3790.480743042792
154,3797.967915224836
155,3885.736315088901
156,3807.080032436121
157,3734.9808368227036
158,3640.4054653630938
159,3644.3137461433544
160,3802.6230603291297
161,3925.5414469901716
162,3947.052121853011
163,3952.531902081938
164,3953.0536715231833
165,3731.0031451328327
166,3576.9853444224145
167,3388.9864767366457
168,3363.7129150099104
169,3235.7589561512564
170,3337.779652259849
171,3417.7403404394563
172,3501.909364664091
173,3596.954816606514
174,3935.973162565836
175,4127.461433434066
176,3982.729170765154
177,4197.059180375549
178,4247.018345485021
179,4320.364045691439
180,4291.423814836986
181,4237.318616765659
182,4192.614387192925
183,4196.492072957049
184,4256.046085082366
185,4240.61648933165
186,4331.496073241354
187,4376.817651380943
188,4282.874817192899
189,3997.5654718726555
190,3827.3023036873074
191,3644.8780788354097
192,3782.009560048673
193,3653.0499445147484
194,3626.942105804476
195,3609.804845515393
196,3699.5602547147228
197,3839.042040022152
198,3903.7594396932027
199,4062.597686269938
200,4043.18668826654
201,4117.54074034896
202,4121.4678416800525
203,4099.662093366631
204,4138.709753355
205,4097.982750658854
206,4066.7357620852295
207,3976.2345169261985
208,4052.000000015042
209,4292.982079468896
210,4181.07205740556
211,4254.7078314821765
212,4167.42891857603
213,3967.3559130727417
214,3725.222825274198
215,3575.077559193587
216,3562.6019811743004
217,3515.0016962473824
218,3449.7425504120392
219,3478.4985728217903
220,3552.7274824023316
221,3704.373452327575
222,3758.95421202491
223,3989.7147541872873
224,4036.0000000019754
225,4175.026015957716
226,4155.778523163955
227,4135.988756911573
228,4059.0000000039336
229,4079.0000000019722
230,4049.000000001904
231,4009.000000001156
232,4088.000000000886
233,4071.000000001807
234,4020.0000000024265
235,3968.000000001872
236,4044.599350688775
237,3675.092924104297
238,3507.0892692423754
239,3361.7003332158342
240,3365.0645941830903
241,3433.7048474294334
242,3382.2028117968653
243,3358.875969725981
244,3454.3894472739385
245,3381.6569534079244
246,3691.00000000724
247,3898.0000000009964
248,3987.000000001373
249,4045.0000000012515
250,3980.0000000019595
251,4010.0000000029304
252,3981.0000000010837
253,3977.0000000014406
254,3969.0000000013792
255,3941.00000000121
256,4043.0000000008586
257,4063.000000001281
258,4012.0000000022756
259,4030.5073587352945
260,3955.1288678228693
261,3637.0000000039854
262,3551.0807367997045
263,3375.918546020997
264,3491.4072700079737
265,3301.6373490198253
266,3289.4211856232027
267,3290.9585458562647
268,3386.744521009297
269,3594.9081254348316
270,3676.0000000026957
271,3922.9585994842414
272,4000.0000000020746
273,4104.000000003403
274,4170.147613312388
275,4099.000000008033
276,4169.478477656813
277,4085.0000000362274
278,4075.9703654587324
279,4010.6528727916675
280,4118.545096603357
281,4057.000000003099
282,4039.012271751517
283,4114.146500945593
284,3912.19703918948
285,3670.2123236398147
286,3565.2860900890028
287,3373.7350804708703
288,3331.0012127152268
289,3253.0582861474722
290,3214.6396833432655
291,3149.186127564214
292,3092.268795394167
293,3189.3147635065143
294,3241.8386059646564
295,3345.6188593467805
296,3607.741240994969
297,3815.1799754613144
298,3883.8577051663033
299,3995.7664437041917
300,4048.0293236094303
301,3959.5448046745664
302,3843.9536798078784
303,3748.3545258127365
304,3879.3914652607173
305,3892.750031628095
306,3875.480547492647
307,3808.4444120509656
308,3851.2507304983287
309,3596.9275858068963
310,3438.4165574672584
311,3391.025480830796
312,3256.4319831887506
313,3230.2423729276
314,3161.6793915977123
315,3131.243731875004
316,3158.282684185426
317,3253.7571364623764
318,3328.409791760864
319,3352.8981394644065
320,3534.2107177562366
321,3773.9477767326766
322,3895.845191475184
323,3925.6005493867838
324,3814.3416015111643
325,3778.560643204899
326,3781.730794588499
327,3826.989526761414
328,3987.3725927225537
329,4120.3876140927505
330,4157.240031724147
331,4245.892651097127
332,4079.0658930093628
333,4000.817271594823
334,3928.934141532496
335,3750.72699806186
336,3591.897999537118
337,3544.2788976379065
338,3504.8412862972295
339,3526.9740056267733
340,3714.3197490640914
341,3924.2063476439484
342,4276.373169991766
343,4342.107040632302
344,4437.181708814937
345,4569.629934101444
346,4635.775241661898
347,4686.33116460752
348,4680.2177113925
349,4547.697797287214
350,4521.839630495322
351,4481.782853605231
352,4467.963692583493
353,4691.3772269891915
354,4683.710832256333
355,4785.471593884484
356,4465.973011117841
357,4243.902538481713
358,4140.046920578578
359,3958.3792906036283
360,4036.1769908364945
361,4030.9298057060314
362,4029.1506384502873
363,4074.2684966375327
364,4023.722733168693
365,4303.288349556401
366,4336.121218050835
367,4445.425433075662
368,4780.958333399394
369,4867.531611003991
370,4727.770363917228
371,4702.449082285649
372,4788.9828863902785
373,4623.3119886211225
374,4595.794397996787
375,4537.082993917224
376,4427.99161208938
377,4569.353077581654
378,4244.000000000067
379,4606.089981017697
380,4453.2335826044
381,4178.838592641841
382,4005.333612346098
383,3937.0231923289502
384,3881.868692415324
385,3738.137271035463
386,3723.951076969382
387,3736.863311775751
388,3760.2003426556853
389,4041.693988404756
390,4122.484938251879
391,4276.798190901243
392,4317.1417601589665
393,4566.491743228617
394,4620.341061251634
395,4549.40694111881
396,4542.709675022965
397,4483.721538043279
398,4437.1651762077745
399,4368.207643416451
400,4334.582143704022
401,4556.888378380594
402,4582.773362716159
403,4627.467921675663
404,4375.287662015519
405,4173.543592770094
406,3922.0690534912733
407,3881.8948211071875
408,3905.5190743997928
409,3751.8921643703243
410,3769.139754265556
411,3771.6568546401813
412,3931.5018599290756
413,4054.5496444315963
414,4159.930244301886
415,4204.56882392416
416,4150.863096392894
417,4339.210322863255
418,4252.832535747044
419,4207.897608026901
420,4225.385795872433
421,4251.849815373039
422,4322.275853492508
423,4143.6190579200365
424,4207.51023583653
425,4395.930367905328
426,4427.287754253033
427,4310.997903595077
428,4295.900301353627
429,4088.2885778627965
430,3864.455450276277
431,3934.0306265183826
432,3653.994085156716
433,3646.5241588679282
434,3657.6216602018726
435,3675.478785065161
436,3675.808813699065
437,3845.3975176820686
438,4187.8672958684
439,4279.475103998686
440,4140.450481775019
441,4357.783738558685
442,4330.291761640491
443,4266.835719710533
444,4362.071870083666
445,4267.200640054259
446,4192.448281552598
447,4194.904210078183
448,4146.61014848117
449,4328.3396811077855
450,4480.465754243516
451,4520.524012998795
452,4371.979917742241
453,4126.584710784147
454,4027.34193469692
455,3747.815162739643
456,3469.286104063579
457,3319.0957548819706
458,3526.6808357497466
459,3445.921303329239
460,3540.42814115137
461,3663.0607715743135
462,3686.3343389155434
463,3877.3453417500823
464,4127.805288012057
465,4179.292130664937
466,4261.836435430115
467,4299.380803566085
468,4183.96261432782
469,4154.272842782387
470,4028.1028117842766
471,3984.224924758768
472,4193.3340411976005
473,4030.532937512473
474,4178.044269311929
475,4140.21467054985
476,4135.694417163449
477,3836.7335970395125
478,3616.4864000239827
479,3477.8814418684497
480,3377.754873569044
481,3125.757134204935
482,3100.9779944478255
483,3080.202430474872
484,3145.3099270258067
485,3217.875188976131
486,3394.9917668652924
487,3583.6756035981452
488,3874.5273470592047
489,4148.97235461146
490,4144.472394412592
491,4130.650098883678
492,4009.941675928596
493,3927.0753210005705
494,3727.2924187360995
495,3713.444046486949
496,3821.463129948744
497,3851.9518849100596
498,3987.8208743864675
499,3883.9387997043586
500,3891.581272012176
501,3630.926788968059
502,3449.358283028024
503,3412.8628927474047
504,3258.648508157249
505,3103.5796846052576
506,3153.075937520079
507,3344.790527248589
508,3459.5089283436014
509,3539.490227406121
510,3921.582275695683
