,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
0,282.0,0.0,3471.0,996.0,194.0,1076.0,1162.0,7057.0,52.0,79.0,9.0,237.0,12348.0
1,275.0,0.0,3269.0,959.0,191.0,1046.0,799.0,7057.0,51.0,77.0,9.0,238.0,11156.0
2,278.0,0.0,3541.0,1014.0,191.0,1048.0,898.0,7058.0,51.0,79.0,9.0,236.0,9437.0
3,278.0,0.0,3450.0,1043.0,191.0,1021.0,714.0,7061.0,52.0,79.0,9.0,238.0,6474.0
4,279.0,0.0,3318.0,1063.0,191.0,1033.0,661.0,7066.0,51.0,79.0,9.0,239.0,6329.0
5,278.0,0.0,3334.0,1054.0,191.0,1013.0,612.0,7069.0,51.0,77.0,9.0,238.0,6172.0
6,278.0,0.0,3395.0,1062.0,187.0,1041.0,693.0,7077.0,50.0,75.0,9.0,237.0,6189.0
7,283.0,0.0,3909.0,1135.0,193.0,1056.0,792.0,7102.0,51.0,75.0,9.0,240.0,5782.0
8,287.0,0.0,3241.0,1027.0,195.0,1040.0,573.0,7111.0,52.0,76.0,34.0,238.0,5963.0
9,275.0,0.0,3398.0,1095.0,198.0,1053.0,691.0,7113.0,52.0,78.0,601.0,239.0,5770.0
10,273.0,0.0,2616.0,1039.0,199.0,1029.0,810.0,7112.0,51.0,78.0,1635.0,237.0,6448.0
11,270.0,0.0,2555.0,1064.0,199.0,1049.0,1009.0,7108.0,50.0,77.0,2479.0,236.0,7056.0
12,279.0,0.0,2564.0,1058.0,195.0,1070.0,1151.0,7107.0,51.0,78.0,2942.0,242.0,8335.0
13,281.0,0.0,2535.0,1016.0,193.0,1049.0,1243.0,7106.0,51.0,80.0,2898.0,241.0,9002.0
14,284.0,0.0,2452.0,989.0,196.0,1025.0,1013.0,7103.0,50.0,79.0,2778.0,241.0,11860.0
15,270.0,0.0,2558.0,1001.0,199.0,1033.0,782.0,7095.0,49.0,78.0,2554.0,245.0,12244.0
16,265.0,0.0,2515.0,1015.0,200.0,1034.0,785.0,7089.0,49.0,75.0,1876.0,245.0,12635.0
17,268.0,0.0,2681.0,968.0,202.0,1054.0,1141.0,7085.0,49.0,77.0,781.0,245.0,13564.0
