,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
0,757.5,5475.0,1341.5,0.0,22.5,353.5,7268.0,89.0,0.0,3804.5,5333.0
1,729.5,5525.5,1298.0,0.0,0.0,351.5,7265.5,89.0,0.0,3801.0,5475.0
2,756.5,5834.5,1597.0,0.0,103.0,352.0,7259.0,88.5,0.0,3821.0,5379.0
3,750.5,5175.0,1615.0,0.0,0.0,335.5,7258.0,89.0,0.0,3800.5,5211.5
4,757.0,4562.5,1659.5,0.0,0.0,282.0,7254.5,89.0,0.0,3773.5,5198.5
5,756.5,3694.0,1513.0,0.0,0.0,275.0,7262.0,89.0,0.0,3732.5,5046.0
6,757.5,3685.5,1637.0,0.0,0.0,267.0,7257.5,89.0,0.0,3675.5,4868.0
7,758.0,4723.0,1764.0,0.0,41.0,265.5,7261.0,89.0,4.0,3624.5,4492.5
8,754.5,5836.0,1729.0,0.0,10.5,435.0,7263.5,89.0,0.0,3629.5,4256.5
9,757.5,6644.0,1651.0,0.0,306.0,371.5,7265.5,88.5,5.5,3415.0,3770.0
10,751.5,8441.0,1659.5,0.0,450.5,488.0,7263.0,88.5,326.5,3088.0,3653.5
11,746.5,10144.5,1681.5,0.0,505.5,603.5,7260.0,89.0,776.5,3016.0,3676.5
12,756.5,12088.5,1767.0,0.0,480.5,632.5,7259.0,89.0,1285.0,2917.0,3728.5
13,757.5,13855.5,1734.0,0.0,488.5,545.0,7264.0,89.0,1855.0,2717.0,3763.0
14,755.0,14992.0,1630.0,0.0,747.5,548.5,7255.5,89.0,1502.5,2070.0,3622.0
15,745.5,14989.0,1904.5,0.0,362.5,483.5,7257.0,89.0,1051.0,2014.0,3780.0
16,741.5,14767.0,2194.5,0.0,520.0,490.5,7251.0,88.5,252.5,1946.5,4022.5
17,754.5,16216.0,2198.5,0.0,753.5,743.0,7263.0,88.5,1.0,2292.5,4506.0
18,720.0,17223.5,2315.0,0.0,1157.0,701.0,7258.5,89.0,0.5,3057.5,4691.5
19,733.0,16729.0,2169.0,0.0,467.0,713.0,7251.5,89.0,0.0,2874.5,4911.0
20,743.0,15343.5,2043.5,0.0,302.5,619.0,7262.5,89.0,0.0,3180.5,4908.5
21,747.0,13284.5,1370.5,0.0,402.5,508.0,7261.5,88.5,0.0,3466.0,5210.0
22,741.5,11312.5,1361.0,0.0,492.5,406.5,7259.0,89.0,0.0,3411.5,5023.0
23,744.5,9308.5,1347.0,0.0,190.5,321.5,7264.5,89.0,0.0,3486.5,4719.0
24,744.5,7805.0,974.0,0.0,0.0,320.0,7254.5,89.0,0.0,3538.5,4460.0
25,741.5,7421.5,1003.0,0.0,0.0,313.0,7263.5,89.0,0.0,3329.0,4202.5
26,745.5,8226.5,1198.0,0.0,0.0,314.0,7266.5,90.0,0.0,3324.5,3590.5
27,745.0,8120.0,1323.0,0.0,0.0,279.0,7273.5,91.0,0.0,3198.5,3017.0
28,739.5,8715.5,1359.0,0.0,0.0,261.0,7263.5,90.0,0.0,2871.5,2514.5
29,735.5,9074.5,1376.0,0.0,0.0,252.0,7262.0,90.0,0.0,2714.5,2240.0
30,718.5,9457.5,1440.5,0.0,0.0,245.0,7257.5,91.0,0.0,2489.0,2549.0
31,701.5,11028.5,1657.5,0.0,0.0,244.5,7261.5,91.0,0.0,2569.0,2775.5
32,699.5,15198.0,1890.5,0.0,237.5,252.5,7265.5,91.0,0.0,2323.5,3313.5
33,691.5,17067.0,2291.0,0.0,369.0,360.0,7261.0,91.0,4.5,2401.0,3833.0
34,681.5,18696.5,2466.5,0.0,473.5,551.0,7261.5,91.0,46.0,2604.0,4272.5
35,680.5,20529.0,2209.0,0.0,653.5,517.0,7255.0,91.0,176.0,2292.5,4969.0
36,680.5,20874.5,2565.5,0.0,325.0,481.0,7265.0,91.0,337.0,2436.0,5233.0
37,678.5,20365.0,2595.0,0.0,321.0,471.0,7264.5,90.5,479.0,2959.5,5711.0
38,680.0,19847.0,2946.5,0.0,225.5,435.0,7263.0,91.0,510.5,3300.0,5507.0
39,679.0,18989.0,2819.0,0.0,282.5,439.5,7259.0,91.0,228.5,3525.0,5575.0
40,680.5,18976.0,2888.0,0.0,355.0,462.5,7257.0,91.0,27.5,3581.5,5449.5
