,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore
0,115.0,262.5,648.5,,5.0,0.0,1937.75,84.0,11.0,14.75,90.0
1,112.5,282.75,622.25,,5.0,0.0,1936.75,84.75,9.25,15.5,141.0
2,88.0,299.0,634.5,,5.0,0.0,1901.25,80.0,6.0,15.75,142.5
3,78.0,267.0,530.0,,5.0,0.0,1860.5,80.0,6.0,15.75,157.75
4,76.5,266.75,513.25,,5.0,0.0,1719.5,84.0,6.0,15.75,154.0
5,79.75,264.5,647.75,,5.0,0.0,1636.0,96.0,6.5,16.25,119.0
6,98.5,266.75,660.5,,5.0,0.0,1636.25,100.0,11.0,17.5,97.25
7,113.75,264.25,640.25,,5.0,0.0,1637.75,99.0,12.75,16.5,81.0
8,115.0,283.25,664.5,,5.0,0.0,1639.25,97.0,13.5,16.25,43.0
9,116.25,282.75,675.75,,5.0,0.0,1671.0,97.0,14.0,16.5,21.5
10,113.5,263.25,643.5,,5.0,0.0,1786.5,94.0,14.25,14.0,49.5
11,117.0,259.5,681.0,,5.0,0.0,1785.25,94.0,14.0,15.5,43.75
12,116.25,260.75,714.25,,5.0,0.0,1784.75,98.0,14.0,15.75,25.5
13,115.5,264.25,712.25,,5.0,0.0,1783.25,96.0,14.0,16.25,11.75
14,115.75,260.0,694.5,,5.0,0.0,1781.5,98.0,13.5,15.5,1.75
15,114.25,265.25,718.75,,5.0,0.0,1906.0,93.0,13.75,15.0,2.0
16,115.25,288.0,680.5,,5.0,0.0,1926.5,93.5,13.25,14.75,1.5
17,116.5,275.25,682.5,,5.0,0.0,1929.75,89.75,14.0,16.0,1.3333333333333333
18,118.5,266.0,667.5,,5.0,0.0,1932.75,95.0,13.0,15.0,5.25
19,118.75,270.0,663.5,,5.0,0.0,1935.25,94.0,13.0,15.25,10.25
20,117.5,270.5,690.5,,5.0,0.0,1935.0,94.0,12.5,15.75,14.5
21,117.0,301.0,689.75,,5.0,0.0,1933.0,94.0,11.75,15.5,15.5
22,115.75,284.0,669.0,,5.0,0.0,1935.0,93.0,12.0,16.25,18.25
23,116.0,261.5,673.5,,5.0,0.0,1937.0,93.0,11.0,15.75,16.75
24,116.0,268.25,604.75,,5.0,0.0,1937.75,84.0,10.75,14.25,15.0
25,112.75,268.75,612.0,,5.0,0.0,1939.0,84.75,8.75,16.25,8.0
26,86.75,268.25,649.5,,5.0,0.0,1936.0,80.0,6.0,15.5,3.0
27,78.5,265.75,657.0,,5.0,0.0,1934.0,80.0,6.0,16.0,1.5
28,81.0,266.5,589.25,,5.0,0.0,1934.0,84.0,6.0,16.0,3.5
29,101.25,329.25,708.75,,5.0,0.0,1932.5,96.0,7.75,16.25,1.0
30,114.5,471.0,700.5,,5.0,0.0,1934.25,100.0,10.75,15.75,0.3333333333333333
31,116.0,509.0,833.25,,5.0,0.0,1934.0,99.0,12.0,16.5,0.75
32,112.25,520.75,932.0,,5.0,0.0,1930.5,97.0,12.5,16.75,1.0
33,113.75,521.25,968.75,,5.0,0.0,1933.25,97.0,12.75,15.75,19.5
