,Actual Total Load [MW] - Bulgaria (BG)
0,4094.0
1,3910.0
2,3761.0
3,3654.0
4,3602.0
5,3591.0
6,3646.0
7,3815.0
8,4057.0
9,4185.0
10,4211.0
11,4138.0
12,3993.0
13,3907.0
14,3940.0
15,4153.0
16,4713.0
17,4992.0
18,4922.0
19,4775.0
20,4582.0
21,4515.0
22,4254.0
23,3952.0
24,3717.0
25,3617.0
26,3592.0
27,3594.0
28,3730.0
29,4080.0
30,4520.0
31,5032.0
32,5366.0
33,5416.0
34,5354.0
35,5176.0
36,5099.0
37,5023.0
38,5046.0
39,5195.0
40,5522.0
41,5712.0
42,5641.0
43,5414.0
44,5203.0
45,5050.0
46,4902.0
47,4276.0
48,4012.0
49,3876.0
50,3834.0
51,3857.0
52,4001.0
53,4444.0
54,4957.0
55,5381.0
56,5632.0
57,5598.0
58,5502.0
59,5367.0
60,5287.0
61,5184.0
62,5189.0
63,5284.0
64,5662.0
65,5941.0
66,5891.0
67,5653.0
68,5416.0
69,5212.0
70,4852.0
71,4413.0
72,4134.0
73,4007.0
74,3982.0
75,3995.0
76,4133.0
77,4602.0
78,5145.0
79,5555.0
80,5778.0
81,5749.0
82,5688.0
83,5557.0
84,5505.0
85,5457.0
86,5469.0
87,5564.0
88,5848.0
89,6078.0
90,6020.0
91,5773.0
92,5535.0
93,5302.0
94,4856.0
95,4578.0
96,4305.0
97,4194.0
98,4184.0
99,4190.0
100,4354.0
101,4817.0
102,5358.0
103,5713.0
104,5816.0
105,5609.0
106,5474.0
107,5258.0
108,5273.0
109,5223.0
110,5216.0
111,5382.0
112,5718.0
113,5949.0
114,5911.0
115,5662.0
116,5348.0
117,5189.0
118,4923.0
119,4503.0
120,4190.0
121,4094.0
122,4077.0
123,4072.0
124,4130.0
125,4302.0
126,4546.0
127,5004.0
128,5243.0
129,5164.0
130,4996.0
131,4794.0
132,4690.0
133,4585.0
134,4552.0
135,4764.0
136,5303.0
137,5616.0
138,5467.0
139,5223.0
140,4992.0
141,4920.0
142,4635.0
143,4348.0
144,4101.0
145,3981.0
146,3897.0
147,3899.0
148,3938.0
149,4041.0
150,4258.0
151,4659.0
152,4989.0
153,4979.0
154,4915.0
155,4793.0
156,4659.0
157,4551.0
158,4589.0
159,4804.0
160,5434.0
161,5727.0
162,5568.0
163,5344.0
164,5145.0
165,4961.0
166,4604.0
167,4274.0
168,4010.0
169,3898.0
170,3847.0
171,3900.0
172,4083.0
173,4647.0
174,5238.0
175,5642.0
176,5838.0
177,5696.0
178,5581.0
179,5444.0
180,5371.0
181,5307.0
182,5341.0
183,5421.0
184,5681.0
185,5989.0
186,5949.0
187,5727.0
188,5458.0
189,5259.0
190,4888.0
191,4477.0
192,4202.0
193,4096.0
194,4043.0
195,4079.0
196,4233.0
197,4728.0
198,5321.0
199,5729.0
200,5914.0
201,5814.0
202,5693.0
203,5566.0
204,5587.0
205,5543.0
206,5590.0
207,5674.0
208,5910.0
209,6122.0
210,6079.0
211,5843.0
212,5530.0
213,5344.0
214,4932.0
215,4531.0
216,4259.0
217,4144.0
218,4106.0
219,4100.0
220,4270.0
221,4759.0
222,5302.0
223,5710.0
224,5908.0
225,5824.0
226,5758.0
227,5631.0
228,5664.0
229,5635.0
230,5632.0
231,5655.0
232,5932.0
233,6129.0
234,6074.0
235,5809.0
236,5483.0
237,5299.0
238,4707.0
239,4462.0
240,4206.0
241,4031.0
242,4011.0
243,4039.0
244,4176.0
245,4626.0
246,5140.0
247,5554.0
248,5762.0
249,5694.0
250,5654.0
251,5556.0
252,5540.0
253,5468.0
254,5515.0
255,5500.0
256,5734.0
257,5920.0
258,5886.0
259,5613.0
260,5402.0
261,5233.0
262,4838.0
263,4469.0
264,4208.0
265,4058.0
266,3974.0
267,4020.0
268,4160.0
269,4619.0
270,5171.0
271,5587.0
272,5780.0
273,5690.0
274,5630.0
275,5522.0
276,5563.0
277,5493.0
278,5543.0
279,5606.0
280,5807.0
281,5983.0
282,5899.0
283,5629.0
284,5344.0
285,5177.0
286,4904.0
287,4562.0
288,4290.0
289,4166.0
290,4119.0
291,4088.0
292,4129.0
293,4310.0
294,4580.0
295,5082.0
296,5507.0
297,5639.0
298,5675.0
299,5586.0
300,5528.0
301,5432.0
302,5426.0
303,5520.0
304,5834.0
305,5937.0
306,5812.0
307,5575.0
308,5306.0
309,5215.0
310,4972.0
311,4612.0
312,4357.0
313,4220.0
314,4147.0
315,4129.0
316,4180.0
317,4280.0
318,4516.0
319,4988.0
320,5444.0
321,5589.0
322,5663.0
323,5653.0
324,5598.0
325,5539.0
326,5545.0
327,5679.0
328,6121.0
329,6346.0
330,6250.0
331,6023.0
332,5744.0
333,5574.0
334,5167.0
335,4828.0
336,4560.0
337,4432.0
338,4411.0
339,4435.0
340,4660.0
341,5225.0
342,5831.0
343,6326.0
344,6559.0
345,6534.0
346,6467.0
347,6312.0
348,6369.0
349,6318.0
350,6256.0
351,6271.0
352,6478.0
353,6660.0
354,6686.0
355,6426.0
356,6137.0
357,5928.0
358,5524.0
359,5078.0
360,4794.0
361,4658.0
362,4593.0
363,4626.0
364,4793.0
365,5320.0
366,5855.0
367,6231.0
368,6428.0
369,6264.0
370,6088.0
371,5928.0
372,5916.0
373,5863.0
374,5896.0
375,5972.0
376,6262.0
377,6572.0
378,6541.0
379,6237.0
380,5948.0
381,5732.0
382,5132.0
383,4767.0
384,4496.0
385,4411.0
386,4368.0
387,4424.0
388,4579.0
389,5091.0
390,5689.0
391,6035.0
392,6157.0
393,5926.0
394,5765.0
395,5593.0
396,5555.0
397,5466.0
398,5475.0
399,5591.0
400,5893.0
401,6183.0
402,6095.0
403,5852.0
404,5565.0
405,5367.0
406,4927.0
407,4538.0
408,4310.0
409,4083.0
410,4078.0
411,4146.0
412,4332.0
413,4823.0
414,5400.0
415,5851.0
416,6146.0
417,6136.0
418,5966.0
419,5723.0
420,5690.0
421,5608.0
422,5563.0
423,5612.0
424,5882.0
425,6279.0
426,6237.0
427,5958.0
428,5639.0
429,5467.0
430,5111.0
431,4806.0
432,4544.0
433,4428.0
434,4373.0
435,4412.0
436,4583.0
437,5051.0
438,5596.0
439,5944.0
440,5864.0
441,5531.0
442,5256.0
443,5030.0
444,4957.0
445,4931.0
446,5033.0
447,5242.0
448,5686.0
449,6096.0
450,6083.0
451,5832.0
452,5543.0
453,5392.0
454,5105.0
455,4710.0
456,4426.0
457,4268.0
458,4229.0
459,4232.0
460,4254.0
461,4448.0
462,4769.0
463,5274.0
464,5571.0
465,5665.0
466,5617.0
467,5567.0
468,5512.0
469,5408.0
470,5416.0
471,5610.0
472,5939.0
473,6079.0
474,5963.0
475,5703.0
476,5373.0
477,5213.0
478,4937.0
479,4625.0
480,4421.0
481,4279.0
482,4226.0
483,4223.0
484,4230.0
485,4368.0
486,4599.0
487,5085.0
488,5547.0
489,5683.0
490,5731.0
491,5658.0
492,5613.0
493,5529.0
494,5581.0
495,5720.0
496,6063.0
497,6213.0
498,6098.0
499,5860.0
500,5557.0
501,5393.0
502,4995.0
503,4547.0
504,4304.0
505,4159.0
506,4163.0
507,4216.0
508,4447.0
509,4983.0
510,5492.0
511,5984.0
512,6229.0
513,6146.0
514,6069.0
515,5929.0
516,5944.0
517,5896.0
518,5906.0
519,5951.0
520,6091.0
521,6347.0
522,6287.0
523,6008.0
524,5746.0
525,5532.0
526,5163.0
527,4727.0
528,4498.0
529,4395.0
530,4394.0
531,4413.0
532,4640.0
533,5137.0
534,5653.0
535,6058.0
536,6204.0
537,6022.0
538,5882.0
539,5672.0
540,5644.0
541,5624.0
542,5661.0
543,5806.0
544,6060.0
545,6382.0
546,6310.0
547,6017.0
548,5768.0
549,5653.0
550,5292.0
551,4821.0
552,4569.0
553,4475.0
554,4459.0
555,4494.0
556,4655.0
557,5194.0
558,5741.0
559,6160.0
560,6301.0
561,6111.0
562,5958.0
563,5814.0
564,5792.0
565,5722.0
566,5735.0
567,5872.0
568,6210.0
569,6649.0
570,6628.0
571,6384.0
572,6143.0
573,5944.0
574,5300.0
575,5059.0
576,4812.0
577,4700.0
578,4675.0
579,4714.0
580,4915.0
581,5451.0
582,6055.0
583,6495.0
584,6607.0
585,6363.0
586,6188.0
587,5970.0
588,5904.0
589,5808.0
590,5815.0
591,5924.0
592,6207.0
593,6670.0
594,6757.0
595,6495.0
596,6223.0
597,6040.0
598,5659.0
599,5200.0
600,4914.0
601,4805.0
602,4761.0
603,4807.0
604,4992.0
605,5471.0
606,6084.0
607,6470.0
608,6567.0
609,6349.0
610,6151.0
611,5919.0
612,5800.0
613,5714.0
614,5754.0
615,5845.0
616,6175.0
617,6612.0
618,6588.0
619,6307.0
620,6034.0
621,5868.0
622,5543.0
623,5147.0
624,4900.0
625,4755.0
626,4708.0
627,4675.0
628,4727.0
629,4965.0
630,5288.0
631,5811.0
632,6053.0
633,5964.0
634,5783.0
635,5603.0
636,5420.0
637,5232.0
638,5195.0
639,5400.0
640,5854.0
641,6334.0
642,6240.0
643,6000.0
644,5725.0
645,5580.0
646,5270.0
647,4968.0
648,4715.0
649,4568.0
650,4527.0
651,4490.0
652,4568.0
653,4680.0
654,4940.0
655,5449.0
656,5806.0
657,5762.0
658,5650.0
659,5478.0
660,5320.0
661,5173.0
662,5149.0
663,5362.0
664,5894.0
665,6379.0
666,6325.0
667,6057.0
668,5714.0
669,5524.0
670,5114.0
671,4726.0
672,4475.0
673,4342.0
674,4296.0
675,4340.0
676,4523.0
677,5064.0
678,5632.0
679,6062.0
680,6156.0
681,5935.0
682,5740.0
683,5496.0
684,5437.0
685,5345.0
686,5322.0
687,5321.0
688,5595.0
689,6079.0
690,6097.0
691,5842.0
692,5588.0
693,5416.0
694,4998.0
695,4563.0
696,4307.0
697,4194.0
698,4126.0
699,4174.0
700,4410.0
701,4860.0
702,5415.0
703,5832.0
704,5825.0
705,5590.0
706,5371.0
707,5125.0
708,5072.0
709,4956.0
710,4939.0
711,5011.0
712,5296.0
713,5857.0
714,5946.0
715,5767.0
716,5335.0
717,5114.0
718,4846.0
719,4436.0
720,4202.0
721,4077.0
722,4043.0
723,4115.0
724,4296.0
725,4762.0
726,5328.0
727,5702.0
728,5702.0
729,5446.0
730,5289.0
731,5053.0
732,5024.0
733,4951.0
734,4937.0
735,5036.0
736,5357.0
737,5899.0
738,5878.0
739,5737.0
740,5546.0
741,5242.0
742,4894.0
743,4490.0
744,4229.0
745,4120.0
746,4097.0
747,4147.0
748,4285.0
749,4740.0
750,5306.0
751,5713.0
752,5748.0
753,5514.0
754,5329.0
755,5113.0
756,5052.0
757,4940.0
758,4932.0
759,4979.0
760,5300.0
761,5830.0
762,5860.0
763,5602.0
764,5338.0
765,5164.0
766,4789.0
767,4407.0
768,4191.0
769,4048.0
770,4019.0
771,4040.0
772,4200.0
773,4666.0
774,5166.0
775,5544.0
776,5656.0
777,5508.0
778,5382.0
779,5180.0
780,5162.0
781,5055.0
782,5008.0
783,5079.0
784,5355.0
785,5743.0
786,5679.0
787,5379.0
788,5104.0
789,4958.0
790,4646.0
791,4316.0
792,4053.0
793,3915.0
794,3884.0
795,3854.0
796,3874.0
797,4005.0
798,4319.0
799,4755.0
800,4945.0
801,4966.0
802,4954.0
803,4822.0
804,4720.0
805,4523.0
806,4523.0
807,4658.0
808,4990.0
809,5345.0
810,5202.0
811,4961.0
812,4716.0
813,4590.0
814,4330.0
815,4047.0
816,3817.0
817,3693.0
818,3641.0
819,3639.0
820,3664.0
821,3774.0
822,3967.0
823,4420.0
824,4778.0
825,4927.0
826,5014.0
827,5011.0
828,4908.0
829,4812.0
830,4750.0
831,4852.0
832,5156.0
833,5557.0
834,5526.0
835,5303.0
836,5019.0
837,4887.0
838,4594.0
839,4227.0
840,3989.0
841,3868.0
842,3878.0
843,3896.0
844,4106.0
845,4581.0
846,5141.0
847,5628.0
848,5724.0
849,5531.0
850,5336.0
851,5122.0
852,5142.0
853,5085.0
854,5081.0
855,5138.0
856,5373.0
857,5881.0
858,5919.0
859,5667.0
860,5406.0
861,5208.0
862,4841.0
863,4486.0
864,4251.0
865,4113.0
866,4103.0
867,4142.0
868,4300.0
869,4716.0
870,5244.0
871,5676.0
872,5762.0
873,5542.0
874,5335.0
875,5134.0
876,5119.0
877,5013.0
878,5007.0
879,5127.0
880,5443.0
881,5961.0
882,6014.0
883,5766.0
884,5426.0
885,5308.0
886,4865.0
887,4455.0
888,4210.0
889,4116.0
890,4078.0
891,4111.0
892,4267.0
893,4797.0
894,5314.0
895,5673.0
896,5798.0
897,5661.0
898,5568.0
899,5452.0
900,5501.0
901,5436.0
902,5472.0
903,5507.0
904,5681.0
905,6071.0
906,6091.0
907,5805.0
908,5519.0
909,5329.0
910,4899.0
911,4485.0
912,4218.0
913,4083.0
914,4050.0
915,4100.0
916,4226.0
917,4718.0
918,5234.0
919,5638.0
920,5727.0
921,5551.0
922,5418.0
923,5202.0
924,5144.0
925,5032.0
926,5043.0
927,5128.0
928,5362.0
929,5860.0
930,5892.0
931,5623.0
932,5394.0
933,5196.0
934,4828.0
935,4425.0
936,4151.0
937,4041.0
938,4013.0
939,4036.0
940,4190.0
941,4670.0
942,5178.0
943,5463.0
944,5481.0
945,5270.0
946,5134.0
947,4938.0
948,4914.0
949,4868.0
950,4854.0
951,4907.0
952,5188.0
953,5757.0
954,5813.0
955,5574.0
956,5304.0
957,5148.0
958,4818.0
959,4451.0
960,4212.0
961,4081.0
962,4034.0
963,4039.0
964,4091.0
965,4258.0
966,4571.0
967,4996.0
968,5230.0
969,5169.0
970,5139.0
971,5081.0
972,5062.0
973,4999.0
974,5013.0
975,5142.0
976,5377.0
977,5644.0
978,5516.0
979,5283.0
980,5018.0
981,4943.0
982,4717.0
983,4415.0
984,4169.0
985,4051.0
986,3989.0
987,3987.0
988,4034.0
989,4150.0
990,4390.0
991,4881.0
992,5296.0
993,5490.0
994,5545.0
995,5454.0
996,5345.0
997,5243.0
998,5251.0
999,5400.0
1000,5665.0
1001,6036.0
1002,5989.0
1003,5773.0
1004,5463.0
1005,5217.0
1006,4855.0
1007,4499.0
1008,4255.0
1009,4157.0
1010,4106.0
1011,4127.0
1012,4332.0
1013,4860.0
1014,5458.0
1015,5884.0
1016,6036.0
1017,5885.0
1018,5797.0
1019,5673.0
1020,5700.0
1021,5660.0
1022,5640.0
1023,5638.0
1024,5725.0
1025,6125.0
1026,6162.0
1027,5941.0
1028,5655.0
1029,5438.0
1030,5062.0
1031,4640.0
1032,4408.0
1033,4278.0
1034,4261.0
1035,4295.0
1036,4478.0
1037,5002.0
1038,5536.0
1039,5924.0
1040,5986.0
1041,5798.0
1042,5697.0
1043,5571.0
1044,5598.0
1045,5530.0
1046,5595.0
1047,5695.0
1048,5876.0
1049,6181.0
1050,6220.0
1051,5918.0
1052,5632.0
1053,5383.0
1054,5012.0
1055,4612.0
1056,4367.0
1057,4227.0
1058,4203.0
1059,4235.0
1060,4408.0
1061,4881.0
1062,5434.0
1063,5884.0
1064,6096.0
1065,6013.0
1066,5957.0
1067,5794.0
1068,5805.0
1069,5770.0
1070,5743.0
1071,5721.0
1072,5852.0
1073,6257.0
1074,6223.0
1075,5935.0
1076,5625.0
1077,5471.0
1078,5132.0
1079,4742.0
1080,4451.0
1081,4329.0
1082,4281.0
1083,4308.0
