"Time (CET)","Serbia (RS) > Bulgaria (BG) [MW]","Bulgaria (BG) > Serbia (RS) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","301"
"01.01.2019 01:00 - 01.01.2019 02:00","0","325"
"01.01.2019 02:00 - 01.01.2019 03:00","0","312"
"01.01.2019 03:00 - 01.01.2019 04:00","0","304"
"01.01.2019 04:00 - 01.01.2019 05:00","0","258"
"01.01.2019 05:00 - 01.01.2019 06:00","0","255"
"01.01.2019 06:00 - 01.01.2019 07:00","0","265"
"01.01.2019 07:00 - 01.01.2019 08:00","0","222"
"01.01.2019 08:00 - 01.01.2019 09:00","0","260"
"01.01.2019 09:00 - 01.01.2019 10:00","0","272"
"01.01.2019 10:00 - 01.01.2019 11:00","0","294"
"01.01.2019 11:00 - 01.01.2019 12:00","0","319"
"01.01.2019 12:00 - 01.01.2019 13:00","0","329"
"01.01.2019 13:00 - 01.01.2019 14:00","0","367"
"01.01.2019 14:00 - 01.01.2019 15:00","0","326"
"01.01.2019 15:00 - 01.01.2019 16:00","0","288"
"01.01.2019 16:00 - 01.01.2019 17:00","0","232"
"01.01.2019 17:00 - 01.01.2019 18:00","0","266"
"01.01.2019 18:00 - 01.01.2019 19:00","0","277"
"01.01.2019 19:00 - 01.01.2019 20:00","0","291"
"01.01.2019 20:00 - 01.01.2019 21:00","0","317"
"01.01.2019 21:00 - 01.01.2019 22:00","0","330"
"01.01.2019 22:00 - 01.01.2019 23:00","0","363"
"01.01.2019 23:00 - 02.01.2019 00:00","0","382"
"02.01.2019 00:00 - 02.01.2019 01:00","0","414"
"02.01.2019 01:00 - 02.01.2019 02:00","0","366"
"02.01.2019 02:00 - 02.01.2019 03:00","0","347"
"02.01.2019 03:00 - 02.01.2019 04:00","0","317"
"02.01.2019 04:00 - 02.01.2019 05:00","0","286"
"02.01.2019 05:00 - 02.01.2019 06:00","0","328"
"02.01.2019 06:00 - 02.01.2019 07:00","0","301"
"02.01.2019 07:00 - 02.01.2019 08:00","0","339"
"02.01.2019 08:00 - 02.01.2019 09:00","0","326"
"02.01.2019 09:00 - 02.01.2019 10:00","0","349"
"02.01.2019 10:00 - 02.01.2019 11:00","0","351"
"02.01.2019 11:00 - 02.01.2019 12:00","0","366"
"02.01.2019 12:00 - 02.01.2019 13:00","0","349"
"02.01.2019 13:00 - 02.01.2019 14:00","0","302"
"02.01.2019 14:00 - 02.01.2019 15:00","0","271"
"02.01.2019 15:00 - 02.01.2019 16:00","0","279"
"02.01.2019 16:00 - 02.01.2019 17:00","0","289"
"02.01.2019 17:00 - 02.01.2019 18:00","0","305"
"02.01.2019 18:00 - 02.01.2019 19:00","0","285"
"02.01.2019 19:00 - 02.01.2019 20:00","0","283"
"02.01.2019 20:00 - 02.01.2019 21:00","0","306"
"02.01.2019 21:00 - 02.01.2019 22:00","0","314"
"02.01.2019 22:00 - 02.01.2019 23:00","0","389"
"02.01.2019 23:00 - 03.01.2019 00:00","0","395"
"03.01.2019 00:00 - 03.01.2019 01:00","0","414"
"03.01.2019 01:00 - 03.01.2019 02:00","0","452"
"03.01.2019 02:00 - 03.01.2019 03:00","0","444"
"03.01.2019 03:00 - 03.01.2019 04:00","0","424"
"03.01.2019 04:00 - 03.01.2019 05:00","0","369"
"03.01.2019 05:00 - 03.01.2019 06:00","0","301"
"03.01.2019 06:00 - 03.01.2019 07:00","0","205"
"03.01.2019 07:00 - 03.01.2019 08:00","0","176"
"03.01.2019 08:00 - 03.01.2019 09:00","0","186"
"03.01.2019 09:00 - 03.01.2019 10:00","0","150"
"03.01.2019 10:00 - 03.01.2019 11:00","0","138"
"03.01.2019 11:00 - 03.01.2019 12:00","0","120"
"03.01.2019 12:00 - 03.01.2019 13:00","0","111"
