"Time (CET)","Malta (MT) > Italy (IT) [MW]","Italy (IT) > Malta (MT) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","80"
"01.01.2019 01:00 - 01.01.2019 02:00","0","69"
"01.01.2019 02:00 - 01.01.2019 03:00","0","55"
"01.01.2019 03:00 - 01.01.2019 04:00","0","50"
"01.01.2019 04:00 - 01.01.2019 05:00","0","51"
"01.01.2019 05:00 - 01.01.2019 06:00","0","62"
"01.01.2019 06:00 - 01.01.2019 07:00","0","77"
"01.01.2019 07:00 - 01.01.2019 08:00","0","87"
"01.01.2019 08:00 - 01.01.2019 09:00","0","97"
"01.01.2019 09:00 - 01.01.2019 10:00","0","112"
"01.01.2019 10:00 - 01.01.2019 11:00","0","107"
"01.01.2019 11:00 - 01.01.2019 12:00","0","101"
"01.01.2019 12:00 - 01.01.2019 13:00","0","84"
"01.01.2019 13:00 - 01.01.2019 14:00","0","76"
"01.01.2019 14:00 - 01.01.2019 15:00","0","85"
"01.01.2019 15:00 - 01.01.2019 16:00","0","108"
"01.01.2019 16:00 - 01.01.2019 17:00","0","124"
"01.01.2019 17:00 - 01.01.2019 18:00","0","160"
"01.01.2019 18:00 - 01.01.2019 19:00","0","171"
"01.01.2019 19:00 - 01.01.2019 20:00","0","174"
"01.01.2019 20:00 - 01.01.2019 21:00","0","162"
"01.01.2019 21:00 - 01.01.2019 22:00","0","142"
"01.01.2019 22:00 - 01.01.2019 23:00","0","117"
"01.01.2019 23:00 - 02.01.2019 00:00","0","96"
"02.01.2019 00:00 - 02.01.2019 01:00","0","73"
"02.01.2019 01:00 - 02.01.2019 02:00","0","61"
"02.01.2019 02:00 - 02.01.2019 03:00","0","53"
"02.01.2019 03:00 - 02.01.2019 04:00","0","52"
"02.01.2019 04:00 - 02.01.2019 05:00","0","55"
"02.01.2019 05:00 - 02.01.2019 06:00","0","73"
"02.01.2019 06:00 - 02.01.2019 07:00","0","97"
"02.01.2019 07:00 - 02.01.2019 08:00","0","107"
"02.01.2019 08:00 - 02.01.2019 09:00","0","107"
"02.01.2019 09:00 - 02.01.2019 10:00","0","136"
"02.01.2019 10:00 - 02.01.2019 11:00","0","144"
"02.01.2019 11:00 - 02.01.2019 12:00","0","133"
"02.01.2019 12:00 - 02.01.2019 13:00","0","140"
"02.01.2019 13:00 - 02.01.2019 14:00","0","145"
"02.01.2019 14:00 - 02.01.2019 15:00","0","134"
"02.01.2019 15:00 - 02.01.2019 16:00","0","137"
"02.01.2019 16:00 - 02.01.2019 17:00","0","169"
"02.01.2019 17:00 - 02.01.2019 18:00","0","116"
"02.01.2019 18:00 - 02.01.2019 19:00","0","127"
"02.01.2019 19:00 - 02.01.2019 20:00","0","124"
"02.01.2019 20:00 - 02.01.2019 21:00","0","97"
"02.01.2019 21:00 - 02.01.2019 22:00","0","188"
"02.01.2019 22:00 - 02.01.2019 23:00","0","150"
"02.01.2019 23:00 - 03.01.2019 00:00","0","118"
"03.01.2019 00:00 - 03.01.2019 01:00","0","84"
"03.01.2019 01:00 - 03.01.2019 02:00","0","74"
"03.01.2019 02:00 - 03.01.2019 03:00","0","68"
"03.01.2019 03:00 - 03.01.2019 04:00","0","66"
"03.01.2019 04:00 - 03.01.2019 05:00","0","72"
"03.01.2019 05:00 - 03.01.2019 06:00","0","94"
"03.01.2019 06:00 - 03.01.2019 07:00","0","150"
"03.01.2019 07:00 - 03.01.2019 08:00","0","181"
"03.01.2019 08:00 - 03.01.2019 09:00","0","170"
"03.01.2019 09:00 - 03.01.2019 10:00","0","145"
"03.01.2019 10:00 - 03.01.2019 11:00","0","119"
"03.01.2019 11:00 - 03.01.2019 12:00","0","115"
"03.01.2019 12:00 - 03.01.2019 13:00","0","123"
"03.01.2019 13:00 - 03.01.2019 14:00","0","133"
"03.01.2019 14:00 - 03.01.2019 15:00","0","141"
"03.01.2019 15:00 - 03.01.2019 16:00","0","174"
"03.01.2019 16:00 - 03.01.2019 17:00","0","181"
"03.01.2019 17:00 - 03.01.2019 18:00","0","129"
"03.01.2019 18:00 - 03.01.2019 19:00","0","149"
"03.01.2019 19:00 - 03.01.2019 20:00","0","134"
"03.01.2019 20:00 - 03.01.2019 21:00","0","112"
"03.01.2019 21:00 - 03.01.2019 22:00","0","128"
"03.01.2019 22:00 - 03.01.2019 23:00","0","149"
"03.01.2019 23:00 - 04.01.2019 00:00","0","116"
"04.01.2019 00:00 - 04.01.2019 01:00","0","102"
"04.01.2019 01:00 - 04.01.2019 02:00","0","85"
"04.01.2019 02:00 - 04.01.2019 03:00","0","77"
"04.01.2019 03:00 - 04.01.2019 04:00","0","73"
"04.01.2019 04:00 - 04.01.2019 05:00","0","82"
"04.01.2019 05:00 - 04.01.2019 06:00","0","98"
"04.01.2019 06:00 - 04.01.2019 07:00","0","147"
"04.01.2019 07:00 - 04.01.2019 08:00","0","184"
"04.01.2019 08:00 - 04.01.2019 09:00","0","127"
