"Time (CET)","Bosnia and Herz. (BA) > Montenegro (ME) [MW]","Montenegro (ME) > Bosnia and Herz. (BA) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","386","0"
"01.01.2019 01:00 - 01.01.2019 02:00","329","0"
"01.01.2019 02:00 - 01.01.2019 03:00","295","0"
"01.01.2019 03:00 - 01.01.2019 04:00","265","0"
"01.01.2019 04:00 - 01.01.2019 05:00","234","0"
"01.01.2019 05:00 - 01.01.2019 06:00","209","0"
"01.01.2019 06:00 - 01.01.2019 07:00","134","0"
"01.01.2019 07:00 - 01.01.2019 08:00","243","0"
"01.01.2019 08:00 - 01.01.2019 09:00","259","0"
"01.01.2019 09:00 - 01.01.2019 10:00","261","0"
"01.01.2019 10:00 - 01.01.2019 11:00","347","0"
"01.01.2019 11:00 - 01.01.2019 12:00","361","0"
"01.01.2019 12:00 - 01.01.2019 13:00","377","0"
"01.01.2019 13:00 - 01.01.2019 14:00","277","0"
"01.01.2019 14:00 - 01.01.2019 15:00","302","0"
"01.01.2019 15:00 - 01.01.2019 16:00","408","0"
"01.01.2019 16:00 - 01.01.2019 17:00","567","0"
"01.01.2019 17:00 - 01.01.2019 18:00","590","0"
"01.01.2019 18:00 - 01.01.2019 19:00","623","0"
"01.01.2019 19:00 - 01.01.2019 20:00","587","0"
"01.01.2019 20:00 - 01.01.2019 21:00","568","0"
"01.01.2019 21:00 - 01.01.2019 22:00","467","0"
"01.01.2019 22:00 - 01.01.2019 23:00","459","0"
"01.01.2019 23:00 - 02.01.2019 00:00","418","0"
"02.01.2019 00:00 - 02.01.2019 01:00","360","0"
"02.01.2019 01:00 - 02.01.2019 02:00","306","0"
"02.01.2019 02:00 - 02.01.2019 03:00","291","0"
"02.01.2019 03:00 - 02.01.2019 04:00","263","0"
"02.01.2019 04:00 - 02.01.2019 05:00","228","0"
"02.01.2019 05:00 - 02.01.2019 06:00","181","0"
"02.01.2019 06:00 - 02.01.2019 07:00","139","0"
"02.01.2019 07:00 - 02.01.2019 08:00","230","0"
"02.01.2019 08:00 - 02.01.2019 09:00","399","0"
"02.01.2019 09:00 - 02.01.2019 10:00","410","0"
"02.01.2019 10:00 - 02.01.2019 11:00","455","0"
"02.01.2019 11:00 - 02.01.2019 12:00","454","0"
"02.01.2019 12:00 - 02.01.2019 13:00","459","0"
"02.01.2019 13:00 - 02.01.2019 14:00","464","0"
"02.01.2019 14:00 - 02.01.2019 15:00","432","0"
"02.01.2019 15:00 - 02.01.2019 16:00","363","0"
"02.01.2019 16:00 - 02.01.2019 17:00","219","0"
"02.01.2019 17:00 - 02.01.2019 18:00","243","0"
"02.01.2019 18:00 - 02.01.2019 19:00","199","0"
"02.01.2019 19:00 - 02.01.2019 20:00","198","0"
"02.01.2019 20:00 - 02.01.2019 21:00","354","0"
"02.01.2019 21:00 - 02.01.2019 22:00","465","0"
"02.01.2019 22:00 - 02.01.2019 23:00","532","0"
"02.01.2019 23:00 - 03.01.2019 00:00","416","0"
"03.01.2019 00:00 - 03.01.2019 01:00","396","0"
"03.01.2019 01:00 - 03.01.2019 02:00","201","0"
"03.01.2019 02:00 - 03.01.2019 03:00","136","0"
"03.01.2019 03:00 - 03.01.2019 04:00","135","0"
"03.01.2019 04:00 - 03.01.2019 05:00","165","0"
"03.01.2019 05:00 - 03.01.2019 06:00","227","0"
"03.01.2019 06:00 - 03.01.2019 07:00","304","0"
"03.01.2019 07:00 - 03.01.2019 08:00","328","0"
"03.01.2019 08:00 - 03.01.2019 09:00","264","0"
"03.01.2019 09:00 - 03.01.2019 10:00","366","0"
"03.01.2019 10:00 - 03.01.2019 11:00","397","0"
"03.01.2019 11:00 - 03.01.2019 12:00","421","0"
"03.01.2019 12:00 - 03.01.2019 13:00","420","0"
"03.01.2019 13:00 - 03.01.2019 14:00","413","0"
"03.01.2019 14:00 - 03.01.2019 15:00","372","0"
"03.01.2019 15:00 - 03.01.2019 16:00","404","0"
"03.01.2019 16:00 - 03.01.2019 17:00","382","0"
"03.01.2019 17:00 - 03.01.2019 18:00","334","0"
"03.01.2019 18:00 - 03.01.2019 19:00","251","0"
"03.01.2019 19:00 - 03.01.2019 20:00","164","0"
"03.01.2019 20:00 - 03.01.2019 21:00","285","0"
"03.01.2019 21:00 - 03.01.2019 22:00","321","0"
"03.01.2019 22:00 - 03.01.2019 23:00","329","0"
"03.01.2019 23:00 - 04.01.2019 00:00","359","0"
"04.01.2019 00:00 - 04.01.2019 01:00","260","0"
"04.01.2019 01:00 - 04.01.2019 02:00","194","0"
"04.01.2019 02:00 - 04.01.2019 03:00","154","0"
"04.01.2019 03:00 - 04.01.2019 04:00","146","0"
"04.01.2019 04:00 - 04.01.2019 05:00","154","0"
"04.01.2019 05:00 - 04.01.2019 06:00","157","0"
"04.01.2019 06:00 - 04.01.2019 07:00","220","0"
"04.01.2019 07:00 - 04.01.2019 08:00","232","0"
"04.01.2019 08:00 - 04.01.2019 09:00","116","0"
"04.01.2019 09:00 - 04.01.2019 10:00","146","0"
"04.01.2019 10:00 - 04.01.2019 11:00","189","0"
"04.01.2019 11:00 - 04.01.2019 12:00","181","0"
"04.01.2019 12:00 - 04.01.2019 13:00","236","0"
"04.01.2019 13:00 - 04.01.2019 14:00","232","0"
"04.01.2019 14:00 - 04.01.2019 15:00","285","0"
"04.01.2019 15:00 - 04.01.2019 16:00","282","0"
"04.01.2019 16:00 - 04.01.2019 17:00","329","0"
"04.01.2019 17:00 - 04.01.2019 18:00","375","0"
"04.01.2019 18:00 - 04.01.2019 19:00","283","0"
"04.01.2019 19:00 - 04.01.2019 20:00","257","0"
"04.01.2019 20:00 - 04.01.2019 21:00","368","0"
"04.01.2019 21:00 - 04.01.2019 22:00","381","0"
"04.01.2019 22:00 - 04.01.2019 23:00","551","0"
"04.01.2019 23:00 - 05.01.2019 00:00","577","0"
"05.01.2019 00:00 - 05.01.2019 01:00","648","0"
"05.01.2019 01:00 - 05.01.2019 02:00","497","0"
"05.01.2019 02:00 - 05.01.2019 03:00","422","0"
"05.01.2019 03:00 - 05.01.2019 04:00","406","0"
"05.01.2019 04:00 - 05.01.2019 05:00","365","0"
"05.01.2019 05:00 - 05.01.2019 06:00","415","0"
"05.01.2019 06:00 - 05.01.2019 07:00","391","0"
"05.01.2019 07:00 - 05.01.2019 08:00","336","0"
"05.01.2019 08:00 - 05.01.2019 09:00","354","0"
"05.01.2019 09:00 - 05.01.2019 10:00","388","0"
"05.01.2019 10:00 - 05.01.2019 11:00","472","0"
"05.01.2019 11:00 - 05.01.2019 12:00","486","0"
"05.01.2019 12:00 - 05.01.2019 13:00","478","0"
"05.01.2019 13:00 - 05.01.2019 14:00","487","0"
"05.01.2019 14:00 - 05.01.2019 15:00","499","0"
"05.01.2019 15:00 - 05.01.2019 16:00","486","0"
"05.01.2019 16:00 - 05.01.2019 17:00","381","0"
"05.01.2019 17:00 - 05.01.2019 18:00","428","0"
"05.01.2019 18:00 - 05.01.2019 19:00","375","0"
"05.01.2019 19:00 - 05.01.2019 20:00","328","0"
"05.01.2019 20:00 - 05.01.2019 21:00","380","0"
"05.01.2019 21:00 - 05.01.2019 22:00","434","0"
"05.01.2019 22:00 - 05.01.2019 23:00","641","0"
"05.01.2019 23:00 - 06.01.2019 00:00","532","0"
"06.01.2019 00:00 - 06.01.2019 01:00","470","0"
"06.01.2019 01:00 - 06.01.2019 02:00","313","0"
"06.01.2019 02:00 - 06.01.2019 03:00","286","0"
"06.01.2019 03:00 - 06.01.2019 04:00","237","0"
"06.01.2019 04:00 - 06.01.2019 05:00","303","0"
"06.01.2019 05:00 - 06.01.2019 06:00","375","0"
"06.01.2019 06:00 - 06.01.2019 07:00","382","0"
"06.01.2019 07:00 - 06.01.2019 08:00","488","0"
"06.01.2019 08:00 - 06.01.2019 09:00","525","0"
"06.01.2019 09:00 - 06.01.2019 10:00","562","0"
"06.01.2019 10:00 - 06.01.2019 11:00","591","0"
