"Time (CET)","Serbia (RS) > Montenegro (ME) [MW]","Montenegro (ME) > Serbia (RS) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","69"
"01.01.2019 01:00 - 01.01.2019 02:00","0","27"
"01.01.2019 02:00 - 01.01.2019 03:00","0","25"
"01.01.2019 03:00 - 01.01.2019 04:00","0","44"
"01.01.2019 04:00 - 01.01.2019 05:00","0","31"
"01.01.2019 05:00 - 01.01.2019 06:00","0","12"
"01.01.2019 06:00 - 01.01.2019 07:00","28","0"
"01.01.2019 07:00 - 01.01.2019 08:00","58","0"
"01.01.2019 08:00 - 01.01.2019 09:00","104","0"
"01.01.2019 09:00 - 01.01.2019 10:00","103","0"
"01.01.2019 10:00 - 01.01.2019 11:00","62","0"
"01.01.2019 11:00 - 01.01.2019 12:00","53","0"
"01.01.2019 12:00 - 01.01.2019 13:00","49","0"
"01.01.2019 13:00 - 01.01.2019 14:00","77","0"
"01.01.2019 14:00 - 01.01.2019 15:00","87","0"
"01.01.2019 15:00 - 01.01.2019 16:00","57","0"
"01.01.2019 16:00 - 01.01.2019 17:00","0","19"
"01.01.2019 17:00 - 01.01.2019 18:00","0","63"
"01.01.2019 18:00 - 01.01.2019 19:00","0","53"
"01.01.2019 19:00 - 01.01.2019 20:00","0","10"
"01.01.2019 20:00 - 01.01.2019 21:00","0","56"
"01.01.2019 21:00 - 01.01.2019 22:00","0","37"
"01.01.2019 22:00 - 01.01.2019 23:00","0","16"
"01.01.2019 23:00 - 02.01.2019 00:00","0","17"
"02.01.2019 00:00 - 02.01.2019 01:00","0","16"
"02.01.2019 01:00 - 02.01.2019 02:00","0","2"
"02.01.2019 02:00 - 02.01.2019 03:00","0","11"
"02.01.2019 03:00 - 02.01.2019 04:00","0","6"
"02.01.2019 04:00 - 02.01.2019 05:00","11","0"
"02.01.2019 05:00 - 02.01.2019 06:00","41","0"
"02.01.2019 06:00 - 02.01.2019 07:00","63","0"
"02.01.2019 07:00 - 02.01.2019 08:00","132","0"
"02.01.2019 08:00 - 02.01.2019 09:00","90","0"
"02.01.2019 09:00 - 02.01.2019 10:00","100","0"
"02.01.2019 10:00 - 02.01.2019 11:00","71","0"
"02.01.2019 11:00 - 02.01.2019 12:00","71","0"
"02.01.2019 12:00 - 02.01.2019 13:00","56","0"
"02.01.2019 13:00 - 02.01.2019 14:00","50","0"
"02.01.2019 14:00 - 02.01.2019 15:00","63","0"
"02.01.2019 15:00 - 02.01.2019 16:00","55","0"
"02.01.2019 16:00 - 02.01.2019 17:00","0","60"
"02.01.2019 17:00 - 02.01.2019 18:00","0","81"
"02.01.2019 18:00 - 02.01.2019 19:00","0","47"
"02.01.2019 19:00 - 02.01.2019 20:00","0","34"
"02.01.2019 20:00 - 02.01.2019 21:00","0","14"
"02.01.2019 21:00 - 02.01.2019 22:00","0","14"
"02.01.2019 22:00 - 02.01.2019 23:00","27","0"
"02.01.2019 23:00 - 03.01.2019 00:00","0","35"
"03.01.2019 00:00 - 03.01.2019 01:00","0","61"
"03.01.2019 01:00 - 03.01.2019 02:00","0","10"
"03.01.2019 02:00 - 03.01.2019 03:00","19","0"
"03.01.2019 03:00 - 03.01.2019 04:00","0","0"
"03.01.2019 04:00 - 03.01.2019 05:00","0","13"
"03.01.2019 05:00 - 03.01.2019 06:00","0","32"
"03.01.2019 06:00 - 03.01.2019 07:00","0","74"
"03.01.2019 07:00 - 03.01.2019 08:00","0","100"
"03.01.2019 08:00 - 03.01.2019 09:00","0","140"
"03.01.2019 09:00 - 03.01.2019 10:00","0","168"
"03.01.2019 10:00 - 03.01.2019 11:00","0","185"
"03.01.2019 11:00 - 03.01.2019 12:00","0","235"
"03.01.2019 12:00 - 03.01.2019 13:00","0","241"
"03.01.2019 13:00 - 03.01.2019 14:00","0","201"
"03.01.2019 14:00 - 03.01.2019 15:00","0","182"
"03.01.2019 15:00 - 03.01.2019 16:00","0","208"
"03.01.2019 16:00 - 03.01.2019 17:00","0","217"
"03.01.2019 17:00 - 03.01.2019 18:00","0","210"
"03.01.2019 18:00 - 03.01.2019 19:00","0","142"
"03.01.2019 19:00 - 03.01.2019 20:00","0","95"
"03.01.2019 20:00 - 03.01.2019 21:00","27","0"
"03.01.2019 21:00 - 03.01.2019 22:00","26","0"
"03.01.2019 22:00 - 03.01.2019 23:00","31","0"
"03.01.2019 23:00 - 04.01.2019 00:00","5","0"
"04.01.2019 00:00 - 04.01.2019 01:00","43","0"
"04.01.2019 01:00 - 04.01.2019 02:00","70","0"
"04.01.2019 02:00 - 04.01.2019 03:00","53","0"
"04.01.2019 03:00 - 04.01.2019 04:00","31","0"
"04.01.2019 04:00 - 04.01.2019 05:00","42","0"
"04.01.2019 05:00 - 04.01.2019 06:00","29","0"
"04.01.2019 06:00 - 04.01.2019 07:00","26","0"
"04.01.2019 07:00 - 04.01.2019 08:00","105","0"
"04.01.2019 08:00 - 04.01.2019 09:00","66","0"
"04.01.2019 09:00 - 04.01.2019 10:00","106","0"
"04.01.2019 10:00 - 04.01.2019 11:00","88","0"
"04.01.2019 11:00 - 04.01.2019 12:00","68","0"
"04.01.2019 12:00 - 04.01.2019 13:00","37","0"
"04.01.2019 13:00 - 04.01.2019 14:00","36","0"
"04.01.2019 14:00 - 04.01.2019 15:00","9","0"
"04.01.2019 15:00 - 04.01.2019 16:00","0","40"
"04.01.2019 16:00 - 04.01.2019 17:00","0","182"
"04.01.2019 17:00 - 04.01.2019 18:00","0","205"
"04.01.2019 18:00 - 04.01.2019 19:00","0","229"
"04.01.2019 19:00 - 04.01.2019 20:00","0","196"
"04.01.2019 20:00 - 04.01.2019 21:00","0","109"
"04.01.2019 21:00 - 04.01.2019 22:00","0","118"
"04.01.2019 22:00 - 04.01.2019 23:00","0","165"
"04.01.2019 23:00 - 05.01.2019 00:00","0","224"
"05.01.2019 00:00 - 05.01.2019 01:00","0","85"
"05.01.2019 01:00 - 05.01.2019 02:00","0","23"
"05.01.2019 02:00 - 05.01.2019 03:00","0","21"
"05.01.2019 03:00 - 05.01.2019 04:00","0","7"
"05.01.2019 04:00 - 05.01.2019 05:00","11","0"
"05.01.2019 05:00 - 05.01.2019 06:00","23","0"
"05.01.2019 06:00 - 05.01.2019 07:00","0","6"
"05.01.2019 07:00 - 05.01.2019 08:00","47","0"
"05.01.2019 08:00 - 05.01.2019 09:00","6","0"
"05.01.2019 09:00 - 05.01.2019 10:00","0","0"
"05.01.2019 10:00 - 05.01.2019 11:00","0","13"
"05.01.2019 11:00 - 05.01.2019 12:00","0","0"
"05.01.2019 12:00 - 05.01.2019 13:00","11","0"
"05.01.2019 13:00 - 05.01.2019 14:00","8","0"
"05.01.2019 14:00 - 05.01.2019 15:00","6","0"
"05.01.2019 15:00 - 05.01.2019 16:00","7","0"
"05.01.2019 16:00 - 05.01.2019 17:00","0","12"
"05.01.2019 17:00 - 05.01.2019 18:00","0","42"
"05.01.2019 18:00 - 05.01.2019 19:00","0","5"
"05.01.2019 19:00 - 05.01.2019 20:00","32","0"
"05.01.2019 20:00 - 05.01.2019 21:00","114","0"
"05.01.2019 21:00 - 05.01.2019 22:00","103","0"
"05.01.2019 22:00 - 05.01.2019 23:00","19","0"
"05.01.2019 23:00 - 06.01.2019 00:00","0","27"
"06.01.2019 00:00 - 06.01.2019 01:00","29","0"
"06.01.2019 01:00 - 06.01.2019 02:00","45","0"
"06.01.2019 02:00 - 06.01.2019 03:00","28","0"
"06.01.2019 03:00 - 06.01.2019 04:00","30","0"
"06.01.2019 04:00 - 06.01.2019 05:00","9","0"
"06.01.2019 05:00 - 06.01.2019 06:00","3","0"
"06.01.2019 06:00 - 06.01.2019 07:00","0","21"
"06.01.2019 07:00 - 06.01.2019 08:00","36","0"
"06.01.2019 08:00 - 06.01.2019 09:00","9","0"
"06.01.2019 09:00 - 06.01.2019 10:00","5","0"
"06.01.2019 10:00 - 06.01.2019 11:00","12","0"
"06.01.2019 11:00 - 06.01.2019 12:00","19","0"
"06.01.2019 12:00 - 06.01.2019 13:00","29","0"
"06.01.2019 13:00 - 06.01.2019 14:00","50","0"
"06.01.2019 14:00 - 06.01.2019 15:00","76","0"
"06.01.2019 15:00 - 06.01.2019 16:00","38","0"
"06.01.2019 16:00 - 06.01.2019 17:00","0","21"
"06.01.2019 17:00 - 06.01.2019 18:00","5","0"
"06.01.2019 18:00 - 06.01.2019 19:00","18","0"
"06.01.2019 19:00 - 06.01.2019 20:00","48","0"
"06.01.2019 20:00 - 06.01.2019 21:00","88","0"
"06.01.2019 21:00 - 06.01.2019 22:00","92","0"
"06.01.2019 22:00 - 06.01.2019 23:00","57","0"
"06.01.2019 23:00 - 07.01.2019 00:00","0","27"
"07.01.2019 00:00 - 07.01.2019 01:00","0","19"
"07.01.2019 01:00 - 07.01.2019 02:00","9","0"
"07.01.2019 02:00 - 07.01.2019 03:00","45","0"
"07.01.2019 03:00 - 07.01.2019 04:00","0","4"
"07.01.2019 04:00 - 07.01.2019 05:00","0","24"
"07.01.2019 05:00 - 07.01.2019 06:00","0","74"
"07.01.2019 06:00 - 07.01.2019 07:00","0","52"
"07.01.2019 07:00 - 07.01.2019 08:00","0","70"
"07.01.2019 08:00 - 07.01.2019 09:00","0","188"
"07.01.2019 09:00 - 07.01.2019 10:00","0","217"
"07.01.2019 10:00 - 07.01.2019 11:00","0","198"
"07.01.2019 11:00 - 07.01.2019 12:00","0","21"
"07.01.2019 12:00 - 07.01.2019 13:00","0","34"
"07.01.2019 13:00 - 07.01.2019 14:00","4","0"
"07.01.2019 14:00 - 07.01.2019 15:00","3","0"
"07.01.2019 15:00 - 07.01.2019 16:00","0","71"
"07.01.2019 16:00 - 07.01.2019 17:00","0","223"
"07.01.2019 17:00 - 07.01.2019 18:00","0","252"
"07.01.2019 18:00 - 07.01.2019 19:00","0","231"
"07.01.2019 19:00 - 07.01.2019 20:00","0","187"
"07.01.2019 20:00 - 07.01.2019 21:00","0","62"
"07.01.2019 21:00 - 07.01.2019 22:00","0","5"
"07.01.2019 22:00 - 07.01.2019 23:00","0","46"
"07.01.2019 23:00 - 08.01.2019 00:00","0","99"
"08.01.2019 00:00 - 08.01.2019 01:00","0","53"
"08.01.2019 01:00 - 08.01.2019 02:00","8","0"
"08.01.2019 02:00 - 08.01.2019 03:00","0","21"
"08.01.2019 03:00 - 08.01.2019 04:00","0","36"
"08.01.2019 04:00 - 08.01.2019 05:00","0","64"
"08.01.2019 05:00 - 08.01.2019 06:00","0","129"
"08.01.2019 06:00 - 08.01.2019 07:00","0","61"
"08.01.2019 07:00 - 08.01.2019 08:00","0","290"
"08.01.2019 08:00 - 08.01.2019 09:00","0","324"
"08.01.2019 09:00 - 08.01.2019 10:00","0","322"
"08.01.2019 10:00 - 08.01.2019 11:00","0","278"
"08.01.2019 11:00 - 08.01.2019 12:00","0","312"
"08.01.2019 12:00 - 08.01.2019 13:00","0","325"
"08.01.2019 13:00 - 08.01.2019 14:00","0","320"
"08.01.2019 14:00 - 08.01.2019 15:00","0","329"
"08.01.2019 15:00 - 08.01.2019 16:00","0","325"
"08.01.2019 16:00 - 08.01.2019 17:00","0","376"
"08.01.2019 17:00 - 08.01.2019 18:00","0","347"
"08.01.2019 18:00 - 08.01.2019 19:00","0","297"
"08.01.2019 19:00 - 08.01.2019 20:00","0","242"
"08.01.2019 20:00 - 08.01.2019 21:00","0","172"
"08.01.2019 21:00 - 08.01.2019 22:00","46","0"
"08.01.2019 22:00 - 08.01.2019 23:00","0","67"
"08.01.2019 23:00 - 09.01.2019 00:00","0","88"
"09.01.2019 00:00 - 09.01.2019 01:00","0","59"
"09.01.2019 01:00 - 09.01.2019 02:00","0","72"
"09.01.2019 02:00 - 09.01.2019 03:00","0","106"
"09.01.2019 03:00 - 09.01.2019 04:00","0","99"
"09.01.2019 04:00 - 09.01.2019 05:00","0","99"
"09.01.2019 05:00 - 09.01.2019 06:00","0","43"
"09.01.2019 06:00 - 09.01.2019 07:00","0","33"
"09.01.2019 07:00 - 09.01.2019 08:00","0","91"
"09.01.2019 08:00 - 09.01.2019 09:00","0","234"
"09.01.2019 09:00 - 09.01.2019 10:00","0","265"
"09.01.2019 10:00 - 09.01.2019 11:00","0","254"
"09.01.2019 11:00 - 09.01.2019 12:00","0","271"
"09.01.2019 12:00 - 09.01.2019 13:00","0","300"
"09.01.2019 13:00 - 09.01.2019 14:00","0","286"
"09.01.2019 14:00 - 09.01.2019 15:00","0","270"
"09.01.2019 15:00 - 09.01.2019 16:00","0","251"
"09.01.2019 16:00 - 09.01.2019 17:00","0","247"
"09.01.2019 17:00 - 09.01.2019 18:00","0","239"
"09.01.2019 18:00 - 09.01.2019 19:00","0","203"
"09.01.2019 19:00 - 09.01.2019 20:00","0","168"
"09.01.2019 20:00 - 09.01.2019 21:00","0","19"
"09.01.2019 21:00 - 09.01.2019 22:00","5","0"
"09.01.2019 22:00 - 09.01.2019 23:00","0","28"
"09.01.2019 23:00 - 10.01.2019 00:00","0","103"
"10.01.2019 00:00 - 10.01.2019 01:00","0","42"
"10.01.2019 01:00 - 10.01.2019 02:00","0","18"
"10.01.2019 02:00 - 10.01.2019 03:00","0","33"
"10.01.2019 03:00 - 10.01.2019 04:00","0","49"
"10.01.2019 04:00 - 10.01.2019 05:00","0","19"
"10.01.2019 05:00 - 10.01.2019 06:00","0","8"
"10.01.2019 06:00 - 10.01.2019 07:00","0","68"
"10.01.2019 07:00 - 10.01.2019 08:00","0","100"
"10.01.2019 08:00 - 10.01.2019 09:00","0","255"
"10.01.2019 09:00 - 10.01.2019 10:00","0","240"
"10.01.2019 10:00 - 10.01.2019 11:00","0","246"
